#Extracted using:
#./run pminer globalperf /tmp/PropagationAnalysis-dataset/musco/ /tmp/javapdg/bak/db/ -j -c ";" -v -t > javapdg_cia.csv
"Project";"graph";"Type";"Op";"nbmut";"nbalives";"nunbound";"nisolated";"nbnodes";"nbedges";"CIS";"AIS";"CAIS";"FPIS";"DIS";"prec";"recall";"fscore";"S";"C";"O";"U";"D";"time"
"commons-lang";"pdg_commons-lang";"avg";"LCR";447;0;162;0;6033;8892;18.564912;4.800000;4.010526;14.554386;0.789474;0.332982;0.598843;0.354115;0.158837;0.592841;0.434004;0.031320;0.013423;2.550877
"commons-lang";"pdg_commons-lang";"avg";"UOI";452;0;242;0;6033;8892;13.538095;6.919048;5.490476;8.047619;1.428571;0.301147;0.409907;0.286372;0.146018;0.396018;0.250000;0.050885;0.017699;1.790476
"commons-lang";"pdg_commons-lang";"avg";"ROR";466;0;217;0;6033;8892;15.730924;5.056225;4.522088;11.208835;0.534137;0.344905;0.508329;0.366687;0.221030;0.489270;0.268240;0.012876;0.032189;2.132530
"commons-lang";"pdg_commons-lang";"avg";"ABS";278;0;145;0;6033;8892;8.563910;4.187970;3.150376;5.413534;1.037594;0.320574;0.440791;0.324109;0.190647;0.431655;0.241007;0.032374;0.014388;2.075188
"commons-lang";"pdg_commons-lang";"avg";"AOR";480;0;307;0;6033;8892;13.433526;5.294798;3.815029;9.618497;1.479769;0.200468;0.320731;0.193854;0.085417;0.314583;0.229167;0.035417;0.010417;0.520231
"commons-codec";"pdg_commons-codec";"avg";"LCR";497;0;128;0;1338;1959;17.029810;6.631436;3.788618;13.241192;2.842818;0.250448;0.488351;0.205376;0.002012;0.432596;0.430584;0.116700;0.193159;0.138211
"commons-codec";"pdg_commons-codec";"avg";"UOI";470;0;139;0;1338;1959;17.655589;9.806647;6.256798;11.398792;3.549849;0.388136;0.467070;0.259948;0.025532;0.421277;0.395745;0.195745;0.087234;0.105740
"commons-codec";"pdg_commons-codec";"avg";"ROR";484;0;173;0;1338;1959;13.450161;10.408360;6.167203;7.282958;4.241158;0.368420;0.394130;0.258443;0.043388;0.318182;0.274793;0.177686;0.146694;0.151125
"commons-codec";"pdg_commons-codec";"avg";"ABS";302;0;170;0;1338;1959;16.613636;9.484848;5.636364;10.977273;3.848485;0.244078;0.299085;0.154147;0.019868;0.261589;0.241722;0.142384;0.033113;0.037879
"commons-codec";"pdg_commons-codec";"avg";"AOR";458;0;157;0;1338;1959;18.684385;9.551495;6.401993;12.282392;3.149502;0.364878;0.432961;0.227907;0.028384;0.397380;0.368996;0.189956;0.069869;0.026578
"spojo";"pdg_spojo";"avg";"LCR";48;0;0;0;306;630;51.583333;14.270833;14.000000;37.583333;0.270833;0.308240;0.958796;0.414166;0.000000;0.916667;0.916667;0.000000;0.083333;0.104167
"spojo";"pdg_spojo";"avg";"UOI";15;0;0;0;306;630;43.066667;18.666667;18.000000;25.066667;0.666667;0.631230;0.761111;0.494788;0.000000;0.733333;0.733333;0.266667;0.000000;0.000000
