# Generated using:
# ./run pminer globalperf /tmp/PropagationAnalysis-dataset/musco/ callgraph.xml:callgraph_cha.xml:callgraph_f_cha.xml -v -t -c ";" > cia_perf.csv
"Project";"graph";"Type";"Op";"nbmut";"nbalives";"nunbound";"nisolated";"nbnodes";"nbedges";"CIS";"AIS";"CAIS";"FPIS";"DIS";"prec";"recall";"fscore";"S";"C";"O";"U";"D";"time"
"commons-lang";"callgraph_f_cha.xml";"avg";"LCR";447;0;0;0;7357;16012;42.885906;4.758389;4.293065;38.592841;0.465324;0.459686;0.973156;0.527823;0.259508;0.953020;0.693512;0.004474;0.042506;0.718121
"commons-lang";"callgraph_f_cha.xml";"avg";"UOI";452;0;0;0;7357;16012;38.079646;5.568584;5.391593;32.688053;0.176991;0.570865;0.977778;0.625758;0.353982;0.935841;0.581858;0.017699;0.046460;0.225664
"commons-lang";"callgraph_f_cha.xml";"avg";"ROR";466;0;0;0;7357;16012;34.656652;4.791845;4.590129;30.066524;0.201717;0.592359;0.975765;0.641710;0.403433;0.963519;0.560086;0.010730;0.025751;0.225322
"commons-lang";"callgraph_f_cha.xml";"avg";"ABS";278;0;0;0;7357;16012;30.870504;4.287770;4.212230;26.658273;0.075540;0.602584;0.986695;0.664294;0.413669;0.964029;0.550360;0.003597;0.032374;0.194245
"commons-lang";"callgraph_f_cha.xml";"avg";"AOR";480;0;0;0;7357;16012;32.281250;4.143750;3.983333;28.297917;0.160417;0.563307;0.987020;0.624929;0.366667;0.954167;0.587500;0.008333;0.037500;0.206250
"commons-lang";"callgraph.xml";"avg";"LCR";447;0;8;0;6105;9312;16.886105;4.788155;3.863326;13.022779;0.924829;0.531863;0.904618;0.553646;0.270694;0.885906;0.615213;0.049217;0.046980;0.066059
"commons-lang";"callgraph.xml";"avg";"UOI";452;0;8;0;6105;9312;10.822072;5.551802;4.862613;5.959459;0.689189;0.692649;0.899730;0.690943;0.407080;0.876106;0.469027;0.068584;0.037611;0.042793
"commons-lang";"callgraph.xml";"avg";"ROR";466;0;7;0;6105;9312;13.856209;4.727669;4.326797;9.529412;0.400871;0.654961;0.936723;0.689516;0.431330;0.901288;0.469957;0.025751;0.057940;0.069717
"commons-lang";"callgraph.xml";"avg";"ABS";278;0;2;0;6105;9312;9.188406;4.311594;3.449275;5.739130;0.862319;0.668181;0.937331;0.696235;0.424460;0.924460;0.500000;0.039568;0.028777;0.047101
"commons-lang";"callgraph.xml";"avg";"AOR";480;0;14;0;6105;9312;9.296137;4.190987;3.478541;5.817597;0.712446;0.647399;0.909877;0.664771;0.395833;0.895833;0.500000;0.050000;0.025000;0.025751
"commons-lang";"callgraph_cha.xml";"avg";"LCR";447;0;1;0;6195;9653;24.282511;4.766816;4.183857;20.098655;0.582960;0.482314;0.970624;0.555889;0.270694;0.950783;0.680089;0.002237;0.044743;0.087444
"commons-lang";"callgraph_cha.xml";"avg";"UOI";452;0;0;0;6195;9653;17.024336;5.568584;5.329646;11.694690;0.238938;0.640338;0.976035;0.696204;0.402655;0.933628;0.530973;0.017699;0.048673;0.064159
"commons-lang";"callgraph_cha.xml";"avg";"ROR";466;0;1;0;6195;9653;17.759140;4.791398;4.561290;13.197849;0.230108;0.635718;0.973601;0.690022;0.431330;0.939914;0.508584;0.008584;0.049356;0.066667
"commons-lang";"callgraph_cha.xml";"avg";"ABS";278;0;0;0;6195;9653;13.384892;4.287770;3.910072;9.474820;0.377698;0.636230;0.976863;0.702532;0.424460;0.953237;0.528777;0.003597;0.043165;0.061151
"commons-lang";"callgraph_cha.xml";"avg";"AOR";480;0;1;0;6195;9653;13.820459;4.150313;3.876827;9.943633;0.273486;0.605802;0.985041;0.674671;0.395833;0.954167;0.558333;0.006250;0.037500;0.054280
"commons-codec";"callgraph_f_cha.xml";"avg";"LCR";497;0;0;0;1825;3567;59.426559;7.939638;7.523139;51.903421;0.416499;0.169005;0.939314;0.234393;0.012072;0.865191;0.853119;0.010060;0.124748;0.179074
"commons-codec";"callgraph_f_cha.xml";"avg";"UOI";470;0;0;0;1825;3567;56.344681;11.282979;10.282979;46.061702;1.000000;0.256844;0.902476;0.302871;0.010638;0.806383;0.795745;0.042553;0.151064;0.202128
"commons-codec";"callgraph_f_cha.xml";"avg";"ROR";484;0;0;0;1825;3567;54.495868;10.859504;9.491736;45.004132;1.367769;0.269162;0.882016;0.305243;0.016529;0.785124;0.768595;0.051653;0.163223;0.171488
"commons-codec";"callgraph_f_cha.xml";"avg";"ABS";302;0;0;0;1825;3567;55.466887;8.807947;7.625828;47.841060;1.182119;0.229089;0.870685;0.276251;0.013245;0.798013;0.784768;0.039735;0.162252;0.145695
"commons-codec";"callgraph_f_cha.xml";"avg";"AOR";458;0;0;0;1825;3567;59.026201;9.893013;8.980349;50.045852;0.912664;0.225672;0.909299;0.276924;0.000000;0.812227;0.812227;0.034934;0.152838;0.168122
"commons-codec";"callgraph.xml";"avg";"LCR";497;0;9;0;1373;2242;18.561475;7.573770;4.336066;14.225410;3.237705;0.342267;0.682550;0.282739;0.020121;0.619718;0.599598;0.140845;0.221328;0.034836
"commons-codec";"callgraph.xml";"avg";"UOI";470;0;6;0;1373;2242;20.989224;11.198276;7.224138;13.765086;3.974138;0.464647;0.734044;0.385320;0.038298;0.663830;0.625532;0.172340;0.151064;0.053879
"commons-codec";"callgraph.xml";"avg";"ROR";484;0;14;0;1373;2242;16.912766;11.065957;7.017021;9.895745;4.048936;0.478302;0.654643;0.392591;0.049587;0.547521;0.497934;0.179752;0.243802;0.046809
"commons-codec";"callgraph.xml";"avg";"ABS";302;0;5;0;1373;2242;17.127946;8.636364;5.222222;11.905724;3.414141;0.414814;0.682604;0.313599;0.029801;0.619205;0.589404;0.198675;0.165563;0.026936
"commons-codec";"callgraph.xml";"avg";"AOR";458;0;6;0;1373;2242;22.758850;9.924779;6.557522;16.201327;3.367257;0.409505;0.747091;0.341593;0.028384;0.696507;0.668122;0.157205;0.133188;0.035398
"commons-codec";"callgraph_cha.xml";"avg";"LCR";497;0;0;0;1410;2360;54.271630;7.939638;7.307847;46.963783;0.631791;0.172757;0.908608;0.237641;0.012072;0.832998;0.820926;0.010060;0.156942;0.110664
"commons-codec";"callgraph_cha.xml";"avg";"UOI";470;0;3;0;1410;2360;52.107066;11.312634;10.149893;41.957173;1.162741;0.275618;0.881671;0.324261;0.010638;0.789362;0.778723;0.040426;0.163830;0.109208
"commons-codec";"callgraph_cha.xml";"avg";"ROR";484;0;5;0;1410;2360;49.390397;10.926931;9.521921;39.868476;1.405010;0.278947;0.876373;0.326926;0.018595;0.776860;0.758264;0.041322;0.171488;0.093946
"commons-codec";"callgraph_cha.xml";"avg";"ABS";302;0;3;0;1410;2360;49.066890;8.849498;7.665552;41.401338;1.183946;0.236347;0.868524;0.293962;0.016556;0.794702;0.778146;0.033113;0.162252;0.130435
"commons-codec";"callgraph_cha.xml";"avg";"AOR";458;0;5;0;1410;2360;54.348786;9.918322;8.907285;45.441501;1.011038;0.238680;0.893140;0.297628;0.000000;0.807860;0.807860;0.028384;0.152838;0.119205
"spojo";"callgraph_f_cha.xml";"avg";"LCR";48;0;0;0;515;1331;56.750000;14.270833;14.270833;42.479167;0.000000;0.269869;1.000000;0.384329;0.000000;1.000000;1.000000;0.000000;0.000000;0.104167
"spojo";"callgraph_f_cha.xml";"avg";"UOI";15;0;0;0;515;1331;47.200000;18.666667;18.466667;28.733333;0.200000;0.576503;0.800000;0.475826;0.000000;0.800000;0.800000;0.200000;0.000000;0.133333
