count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;543;1357741963565;825;3;38;19;0;0;0;0;0;0;0;0;0;0
2;543;1357744082018;825;5;3;1;4;1;1;1;1;1;1;1;1;1
3;543;1357743707472;825;3;3;1;6;1;1;1;1;1;1;1;1;1
4;543;1357742141378;825;3;50;25;10;8;6;5;5;5;5;5;6;5
5;543;1357742768097;825;2;1;0;8;0;1;0;0;0;0;0;0;0
6;543;1357742751893;825;3;50;25;45;38;26;22;22;21;22;21;24;21
7;543;1357742302581;825;2;1;0;6;0;0;0;0;0;0;0;0;0
8;543;1357742706722;825;0;8;4;2;2;2;2;2;2;2;2;2;2
9;543;1357742673722;825;1;1;0;1;0;0;0;0;0;0;0;0;0
10;543;1357744073659;825;1;11;5;0;0;0;0;0;0;0;0;0;0
11;543;1357742530143;825;1;1;0;0;0;0;0;0;0;0;0;0;0
12;543;1357744049315;825;3;8;4;6;1;1;1;1;1;1;1;1;1
13;543;1357742818675;825;1;1;0;8;0;1;0;0;0;0;0;0;0
14;543;1357743622909;825;0;7;3;3;3;3;3;3;3;3;3;3;3
15;543;1357742185081;825;3;5;2;9;3;3;3;3;3;3;3;3;3
16;543;1357742192972;825;3;52;26;1;0;0;0;0;0;0;0;0;0
17;543;1357742506143;825;0;8;4;1;1;1;1;1;1;1;1;1;1
18;543;1357742407628;825;2;8;4;2;0;0;0;0;0;0;0;0;0
19;543;1357743453065;825;1;3;1;6;1;1;1;1;1;1;1;1;1
20;543;1357743868362;825;1;8;4;7;7;6;6;4;4;4;4;4;4
21;543;1357742452550;825;1;21;10;2;0;0;0;0;0;0;0;0;0
22;543;1357742431862;825;1;11;5;0;0;0;0;0;0;0;0;0;0
23;543;1357743264409;825;1;3;1;1;1;1;1;1;1;1;1;1;1
24;543;1357743755206;825;1;1;0;1;0;0;0;0;0;0;0;0;0
25;543;1357743615018;825;2;50;25;3;1;1;1;1;1;1;1;1;1
26;543;1357742290284;825;4;7;3;5;0;0;0;0;0;0;0;0;0
27;543;1357743787253;825;1;6;3;1;1;0;0;0;0;0;0;0;0
28;543;1357743651112;825;5;0;-1;13;13;0;0;0;0;0;0;0;0
29;543;1357743000643;825;1;7;3;3;3;3;3;3;3;3;3;3;3
30;543;1357742036159;825;1;9;4;0;0;0;0;0;0;0;0;0;0
31;543;1357742578347;825;0;20;10;0;0;0;0;0;0;0;0;0;0
32;543;1357743802768;825;3;50;25;22;20;13;11;11;11;11;11;13;11
33;543;1357742980893;825;1;53;26;14;14;14;14;14;14;14;14;14;14
34;543;1357742803284;825;2;50;25;4;1;3;1;1;1;1;1;3;1
35;543;1357741930862;825;5;50;25;3;1;1;1;1;1;1;1;1;1
36;543;1357742177222;825;1;4;2;7;0;1;0;0;0;0;0;1;0
37;543;1357744018831;825;2;1;-1;1;1;1;1;1;1;1;1;1;1
38;543;1357743618972;825;2;50;25;29;26;20;18;18;18;18;18;20;18
39;543;1357743536206;825;1;2;1;1;1;1;1;1;1;1;1;1;1
40;543;1357742513940;825;1;6;3;1;0;0;0;0;0;0;0;0;0
41;543;1357744034190;825;4;18;9;6;0;0;0;0;0;0;0;0;0
42;543;1357742637409;825;1;5;2;0;0;0;0;0;0;0;0;0;0
43;543;1357743020268;825;0;11;5;7;7;7;7;7;7;7;7;7;7
44;543;1357742314315;825;3;18;9;9;2;0;0;0;0;0;0;0;0
45;543;1357743406050;825;1;5;2;11;1;6;1;1;1;1;1;4;1
46;543;1357741942737;825;1;19;9;5;1;0;0;0;0;0;0;0;0
47;543;1357742899550;825;2;8;4;2;1;1;1;1;1;1;1;1;1
48;543;1357743513472;825;5;50;25;31;27;18;18;12;12;12;12;12;12
49;543;1357742232034;825;2;116;58;1;1;1;1;1;1;1;1;1;1
50;543;1357743662268;825;1;53;26;8;8;8;8;8;8;8;8;8;8
51;543;1357743088112;825;1;8;4;6;6;4;4;4;4;4;4;4;4
52;543;1357743123347;825;0;8;4;8;6;5;5;5;5;5;5;5;5
53;543;1357742497206;825;2;3;1;4;1;1;1;1;1;1;1;1;1
54;543;1357742948706;825;2;8;4;4;4;4;4;4;4;4;4;4;4
55;543;1357742120768;825;1;10;5;0;0;0;0;0;0;0;0;0;0
56;543;1357742031706;825;0;9;4;0;0;0;0;0;0;0;0;0;0
57;543;1357742570518;825;1;0;-1;2;2;0;0;0;0;0;0;0;0
58;543;1357743481534;825;1;5;2;11;1;4;1;1;1;1;1;4;1
59;543;1357743739081;825;1;2;1;1;1;1;1;1;1;1;1;1;1
60;543;1357742137909;825;1;8;4;7;7;6;6;5;5;5;5;5;5
61;543;1357743575909;825;0;11;5;1;1;1;1;1;1;1;1;1;1
62;543;1357742795143;825;0;4;2;2;2;2;2;2;2;2;2;2;2
63;543;1357743525331;825;1;2;1;13;1;1;1;1;1;1;1;1;1
64;543;1357743413940;825;7;0;-1;7;7;0;0;0;0;0;0;0;0
65;543;1357742339831;825;2;3;1;7;1;1;1;1;1;1;1;1;1
