count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;543;1357743860315;1;800;485;4;485;3;1;13;1;1;1;1;1;1;1;1;1
2;543;1357742481737;1;800;485;1;485;9;4;0;0;0;0;0;0;0;0;0;0
3;543;1357743847847;1;800;485;2;485;1;0;6;0;1;0;0;0;0;0;1;0
4;543;1357744011003;1;800;485;8;485;0;-1;4;4;0;0;0;0;0;0;0;0
5;543;1357742100597;1;800;485;5;485;0;-1;2;2;0;0;0;0;0;0;0;0
6;543;1357743771425;1;800;485;5;485;2;1;4;0;0;0;0;0;0;0;0;0
7;543;1357742476925;1;800;485;1;485;6;3;1;1;1;1;1;1;1;1;1;1
8;543;1357743176112;1;800;485;2;485;5;2;10;4;4;4;4;4;4;4;4;4
9;543;1357742361253;1;800;485;1;485;7;3;0;0;0;0;0;0;0;0;0;0
10;543;1357742860503;1;800;485;0;485;3;1;0;0;0;0;0;0;0;0;0;0
11;543;1357741991847;1;800;485;3;485;34;17;4;2;2;2;2;2;2;2;2;2
12;543;1357742440143;1;800;485;7;485;11;5;8;2;0;0;0;0;0;0;0;0
13;543;1357743723378;1;800;485;10;485;0;-1;15;15;0;0;0;0;0;0;0;0
14;543;1357742212362;1;800;485;1;485;3;1;1;0;0;0;0;0;0;0;0;0
15;543;1357743626847;1;800;485;3;485;1;0;8;0;1;0;0;0;0;0;0;0
16;543;1357743791237;1;800;485;3;485;34;17;9;5;1;0;0;0;0;0;1;0
17;543;1357742887878;1;800;485;1;485;24;12;5;4;5;4;5;4;5;4;5;4
18;543;1357742542206;1;800;485;0;485;7;3;1;1;1;1;1;1;1;1;1;1
19;543;1357743071128;1;800;485;4;485;0;-1;6;6;2;2;2;2;2;2;2;2
20;543;1357742129018;1;800;485;0;485;3;1;0;0;0;0;0;0;0;0;0;0
21;543;1357744007065;1;800;485;5;485;6;3;2;0;0;0;0;0;0;0;0;0
22;543;1357742807222;1;800;485;3;485;3;1;6;1;1;1;1;1;1;1;1;1
23;543;1357743622909;1;800;485;1;485;7;3;3;3;3;3;3;3;3;3;3;3
24;543;1357742108472;1;800;485;3;485;0;-1;1;1;0;0;0;0;0;0;0;0
25;543;1357743224159;1;800;485;2;485;5;2;11;1;6;1;1;1;1;1;4;1
26;543;1357742330315;1;800;485;0;485;1;0;1;0;0;0;0;0;0;0;0;0
