count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;543;1357743260331;1;514;825;2;425;4;2;84;0;0;0;0;0;0;0;0;0;0;0
2;543;1357742027784;1;514;825;1;425;33;16;23;5;8;5;8;5;8;5;8;5;8;5
3;543;1357743473097;1;514;825;3;425;3;1;217;2;10;1;1;1;1;1;1;1;1;1
4;543;1357743517472;1;514;825;1;425;33;16;228;31;4;1;4;1;4;1;4;1;4;1
5;543;1357743658284;1;514;825;1;425;33;16;102;14;19;13;19;13;19;13;19;13;19;13
6;543;1357742493347;1;514;825;3;425;0;-1;220;220;3;3;0;0;0;0;0;0;0;0
7;543;1357742129018;1;514;825;0;425;3;1;10;0;0;0;0;0;0;0;0;0;0;0
8;543;1357743791237;1;514;825;2;425;30;15;53;9;9;5;1;0;0;0;0;0;1;0
9;543;1357743521456;1;514;825;2;425;3;1;46;1;7;1;1;1;1;1;1;1;1;1
10;543;1357742617784;1;514;825;1;425;3;1;150;1;1;1;0;0;0;0;0;0;0;0
11;543;1357742497206;1;514;825;2;425;3;1;210;1;4;1;1;1;1;1;1;1;1;1
12;543;1357743750878;1;514;825;2;425;30;15;81;9;2;0;0;0;0;0;0;0;0;0
13;543;1357743224159;1;514;825;1;425;5;2;137;4;11;1;6;1;1;1;1;1;4;1
14;543;1357742747956;1;514;825;1;425;5;2;72;0;3;1;1;1;1;1;1;1;1;1
15;543;1357743881097;1;514;825;1;425;5;2;156;3;12;1;5;1;1;1;1;1;3;1
16;543;1357742330315;1;514;825;1;425;1;0;95;0;1;0;0;0;0;0;0;0;0;0
17;543;1357742810768;1;514;825;1;425;33;16;154;18;3;1;3;1;3;1;3;1;3;1
18;543;1357743369237;1;514;825;1;425;5;2;174;4;11;1;4;1;1;1;1;1;4;1
19;543;1357742016378;1;514;825;1;425;30;15;17;2;3;1;1;1;1;1;1;1;1;1
20;543;1357742787331;1;514;825;1;425;6;3;118;1;7;4;7;4;7;4;7;4;7;4
21;543;1357741983128;1;514;825;1;425;5;2;126;3;5;3;5;3;5;3;5;3;5;3
22;543;1357743248753;1;514;825;2;425;3;1;11;0;6;1;1;1;1;1;1;1;1;1
