count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;543;1357742980893;1;722;428;2;428;23;-1;33;33;14;14;14;14;14;14;14;14;14;14
2;543;1357743779253;1;722;428;3;428;2;1;70;0;13;1;1;1;1;1;1;1;1;1
3;543;1357742988847;1;722;428;2;428;5;2;13;0;5;3;5;3;4;2;4;2;4;2
4;543;1357742157597;1;722;428;3;428;20;-1;95;95;5;5;3;3;2;2;2;2;3;3
5;543;1357743445018;1;722;428;1;428;4;2;44;2;11;1;6;1;1;1;1;1;4;1
6;543;1357742669409;1;722;428;5;428;0;-1;124;124;1;1;0;0;0;0;0;0;0;0
7;543;1357742173315;1;722;428;0;428;4;2;19;0;2;2;2;2;2;2;2;2;2;2
8;543;1357742899550;1;722;428;3;428;5;2;119;3;2;0;1;0;1;0;1;0;1;0
9;543;1357742059987;1;722;428;4;428;5;2;147;3;11;4;7;2;4;2;4;2;4;2
10;543;1357743235878;1;722;428;1;428;0;-1;74;74;2;2;0;0;0;0;0;0;0;0
11;543;1357742617784;1;722;428;1;428;3;1;8;0;1;1;0;0;0;0;0;0;0;0
12;543;1357743731659;1;722;428;4;428;1;0;23;0;8;0;1;0;0;0;0;0;0;0
13;543;1357743591737;1;722;428;2;428;23;-1;99;99;20;20;20;20;20;20;20;20;20;20
14;543;1357742694222;1;722;428;2;428;0;-1;163;163;3;3;0;0;0;0;0;0;0;0
15;543;1357742043972;1;722;428;0;428;3;1;189;1;5;1;4;1;3;1;3;1;4;1
16;543;1357743373472;1;722;428;1;428;23;-1;214;214;3;3;3;3;3;3;3;3;3;3
17;543;1357742530143;1;722;428;0;428;1;0;136;0;0;0;0;0;0;0;0;0;0;0
18;543;1357743979893;1;722;428;1;428;6;3;160;4;0;0;0;0;0;0;0;0;0;0
19;543;1357742008409;1;722;428;1;428;23;-1;154;154;7;7;7;7;7;7;7;7;7;7
20;543;1357743975940;1;722;428;3;428;13;6;162;6;3;1;1;1;1;1;1;1;1;1
21;543;1357742551378;1;722;428;0;428;17;8;9;0;1;1;1;1;1;1;1;1;1;1
