count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;352;1358532760341;63250;33;2586;1293;247;73;247;73;247;73;247;73;247;73
2;352;1358536168074;63250;20;2586;-1;281;281;281;281;281;281;281;281;281;281
3;352;1358532341356;63250;2;41;20;12;12;12;12;12;12;12;12;12;12
4;352;1358533057857;63250;10;820;410;24;21;24;21;24;21;24;21;24;21
5;352;1358525993716;63250;19;2586;1293;0;0;0;0;0;0;0;0;0;0
6;352;1358529487688;63250;7;820;410;218;132;218;132;218;132;218;132;218;132
7;352;1358530262703;63250;8;820;410;20;18;20;18;20;18;20;18;20;18
8;352;1358527294347;63250;304;0;-1;13;13;5;5;968;968;5;5;5;5
9;352;1358533513318;63250;46;10130;-1;2;2;2;2;2;2;2;2;2;2
10;352;1358537565368;63250;10;2586;-1;280;280;280;280;280;280;280;280;280;280
11;352;1358539297749;63250;4;820;410;232;136;232;136;232;136;232;136;232;136
12;352;1358530086228;63250;2;0;-1;49;49;2;2;2;2;2;2;2;2
13;352;1358533428193;63250;10;2586;-1;281;281;281;281;281;281;281;281;281;281
14;352;1358529419197;63250;9;2586;-1;169;169;169;169;169;169;169;169;169;169
15;352;1358531227581;63250;10;0;-1;320;320;15;15;15;15;15;15;15;15
16;352;1358535965079;63250;9;2586;-1;280;280;280;280;280;280;280;280;280;280
17;352;1358539927500;63250;1;1;-1;3;3;3;3;3;3;3;3;3;3
18;352;1358528764304;63250;1;41;-1;14;14;14;14;14;14;14;14;14;14
19;352;1358527995502;63250;4;820;410;155;124;155;124;155;124;155;124;155;124
20;352;1358536456933;63250;1;30;-1;5;5;5;5;5;5;5;5;5;5
21;352;1358535130732;63250;1;13;6;6;5;6;5;6;5;6;5;6;5
22;352;1358528600159;63250;4;820;410;116;98;116;98;116;98;116;98;116;98
23;352;1358536903235;63250;1;34;17;4;2;4;2;4;2;4;2;4;2
24;352;1358526735356;63250;2;11;-1;2;2;2;2;2;2;2;2;2;2
25;352;1358536600000;63250;1;0;-1;971;971;971;971;971;971;971;971;971;971
26;352;1358531188919;63250;7;0;-1;49;49;49;49;968;968;55;55;49;49
27;352;1358535827183;63250;14;2586;-1;280;280;280;280;280;280;280;280;280;280
28;352;1358533265126;63250;14;2586;1293;92;27;92;27;92;27;92;27;92;27
29;352;1358538174831;63250;10;0;-1;283;283;1;1;1;1;1;1;1;1
30;352;1358531976171;63250;1;23;11;5;5;4;4;4;4;4;4;4;4
31;352;1358529845011;63250;6;820;-1;234;234;234;234;234;234;234;234;234;234
32;352;1358536530261;63250;299;11945;-1;168;168;160;160;132;132;132;132;155;155
33;352;1358527108914;63250;1;20;10;1;1;1;1;1;1;1;1;1;1
34;352;1358529870690;63250;4;820;410;75;62;75;62;75;62;75;62;75;62
35;352;1358532683875;63250;1;3;1;0;0;0;0;0;0;0;0;0;0
36;352;1358529610054;63250;0;11;5;5;5;5;5;5;5;5;5;5;5
37;352;1358527843371;63250;9;2586;-1;281;281;281;281;281;281;281;281;281;281
38;352;1358527623942;63250;9;2586;-1;68;68;68;68;68;68;68;68;68;68
39;352;1358526402704;63250;1;20;10;2;2;2;2;2;2;2;2;2;2
40;352;1358531417466;63250;1;11;5;2;1;2;1;2;1;2;1;2;1
41;352;1358528200458;63250;9;2586;-1;89;89;89;89;89;89;89;89;89;89
42;352;1358529690403;63250;9;2586;-1;281;281;281;281;281;281;281;281;281;281
43;352;1358530689073;63250;1;28;-1;4;4;4;4;4;4;4;4;4;4
44;352;1358526066103;63250;8;0;-1;107;107;2;2;2;2;2;2;2;2
45;352;1358530726345;63250;9;0;-1;46;46;1;1;1;1;1;1;1;1
46;352;1358537405429;63250;4;820;410;206;125;206;125;206;125;206;125;206;125
47;352;1358527149949;63250;0;30;15;11;7;11;7;11;7;11;7;11;7
48;352;1358530954708;63250;10;5;-1;142;142;2;2;2;2;2;2;2;2
49;352;1358538817337;63250;8;2586;-1;445;445;445;445;445;445;445;445;445;445
50;352;1358531303202;63250;27;2548;1274;179;51;6;5;6;5;6;5;6;5
51;352;1358528160027;63250;40;2548;-1;177;177;179;179;987;987;214;214;179;179
52;352;1358528681717;63250;12;2586;-1;20;20;20;20;20;20;20;20;20;20
53;352;1358537969085;63250;0;3;1;0;0;0;0;0;0;0;0;0;0
54;352;1358534278205;63250;4;0;-1;223;223;226;226;968;968;226;226;226;226
55;352;1358533470882;63250;1;4;2;0;0;0;0;0;0;0;0;0;0
56;352;1358529052207;63250;875;10106;5053;99;35;10;5;10;5;10;5;10;5
57;352;1358537052875;63250;9;2586;-1;149;149;149;149;149;149;149;149;149;149
58;352;1358538419805;63250;8;2586;-1;281;281;281;281;281;281;281;281;281;281
59;352;1358538784884;63250;1;1;-1;971;971;971;971;971;971;971;971;971;971
60;352;1358536128152;63250;8;2586;-1;205;205;205;205;205;205;205;205;205;205
61;352;1358536721802;63250;70;2547;-1;66;66;1;1;1;1;1;1;1;1
62;352;1358534568497;63250;0;41;20;4;4;4;4;4;4;4;4;4;4
63;352;1358533978439;63250;1;0;-1;966;966;966;966;971;971;966;966;966;966
64;352;1358528640921;63250;9;2586;1293;5;5;5;5;5;5;5;5;5;5
65;352;1358539681965;63250;1;0;-1;971;971;971;971;971;971;971;971;971;971
66;352;1358538010076;63250;1;25;12;3;3;3;3;3;3;3;3;3;3
67;352;1358531146290;63250;0;30;-1;5;5;5;5;5;5;5;5;5;5
68;352;1358534090517;63250;3;820;410;216;130;216;130;216;130;216;130;216;130
69;352;1358531456018;63250;11;3199;1599;9;7;9;7;9;7;9;7;9;7
70;352;1358535704241;63250;8;2586;1293;14;11;14;11;14;11;14;11;14;11
71;352;1358531265852;63250;0;11;5;1;0;1;0;1;0;1;0;1;0
72;352;1358530171917;63250;8;2586;1293;14;11;14;11;14;11;14;11;14;11
73;352;1358533790750;63250;4;820;410;38;29;38;29;38;29;38;29;38;29
74;352;1358527265790;63250;9;2586;-1;281;281;281;281;281;281;281;281;281;281
75;352;1358534476725;63250;8;2586;-1;276;276;276;276;276;276;276;276;276;276
76;352;1358528571812;63250;9;2586;-1;201;201;201;201;201;201;201;201;201;201
77;352;1358531868964;63250;8;2586;-1;281;281;281;281;281;281;281;281;281;281
78;352;1358528322789;63250;1;11;5;4;4;4;4;4;4;4;4;4;4
79;352;1358527224002;63250;1;23;11;4;4;3;3;3;3;3;3;3;3
80;352;1358534394288;63250;0;0;-1;962;962;962;962;971;971;962;962;962;962
81;352;1358526035596;63250;33;10130;-1;2;2;2;2;2;2;2;2;2;2
82;352;1358536819896;63250;1;3;1;1;0;0;0;0;0;0;0;0;0
83;352;1358537092986;63250;4;820;410;232;135;232;135;232;135;232;135;232;135
84;352;1358528364301;63250;9;2586;-1;281;281;281;281;281;281;281;281;281;281
85;352;1358539494619;63250;1;3;1;0;0;0;0;0;0;0;0;0;0
86;352;1358528445990;63250;0;11;5;1;1;1;1;1;1;1;1;1;1
87;352;1358532797941;63250;1;11;-1;4;4;4;4;4;4;4;4;4;4
88;352;1358533122710;63250;8;2586;-1;280;280;280;280;280;280;280;280;280;280
89;352;1358534851219;63250;1;0;-1;971;971;971;971;971;971;971;971;971;971
90;352;1358529012050;63250;9;2586;-1;49;49;49;49;49;49;49;49;49;49
91;352;1358533031427;63250;4;0;-1;49;49;49;49;968;968;55;55;49;49
92;352;1358527498996;63250;0;11;-1;4;4;4;4;4;4;4;4;4;4
93;352;1358538971689;63250;0;1;-1;123;123;123;123;123;123;123;123;123;123
94;352;1358532185922;63250;4;820;-1;228;228;228;228;228;228;228;228;228;228
95;352;1358530135110;63250;0;0;-1;971;971;971;971;971;971;971;971;971;971
96;352;1358539175765;63250;9;0;-1;299;299;4;4;4;4;4;4;4;4
97;352;1358530480581;63250;1;4;2;0;0;0;0;0;0;0;0;0;0
98;352;1358536250475;63250;9;2586;-1;280;280;280;280;280;280;280;280;280;280
99;352;1358526443839;63250;1;0;-1;2;2;1;1;1;1;1;1;1;1
100;352;1358530441668;63250;1;20;10;3;3;3;3;3;3;3;3;3;3
101;352;1358532263228;63250;9;5;-1;47;47;1;1;1;1;1;1;1;1
102;352;1358538379761;63250;1;3;1;0;0;0;0;0;0;0;0;0;0
103;352;1358533637564;63250;8;2586;-1;39;39;39;39;39;39;39;39;39;39
104;352;1358535213751;63250;9;2586;-1;280;280;280;280;280;280;280;280;280;280
105;352;1358532873467;63250;3;820;410;31;23;31;23;31;23;31;23;31;23
106;352;1358536372539;63250;8;2586;-1;280;280;280;280;280;280;280;280;280;280
107;352;1358527191390;63250;13;2586;1293;4;4;4;4;4;4;4;4;4;4
108;352;1358535895816;63250;4;820;-1;226;226;226;226;226;226;226;226;226;226
109;352;1358535664100;63250;0;4;2;0;0;0;0;0;0;0;0;0;0
110;352;1358526941217;63250;9;2586;-1;281;281;281;281;281;281;281;281;281;281
111;352;1358534319144;63250;8;2586;-1;281;281;281;281;281;281;281;281;281;281
112;352;1358531830350;63250;8;2586;-1;37;37;37;37;37;37;37;37;37;37
113;352;1358527924646;63250;149;10125;5062;13;3;6;3;6;3;6;3;6;3
114;352;1358534611038;63250;1;11;5;4;3;4;3;4;3;4;3;4;3
115;352;1358535481166;63250;1;1;-1;6;6;6;6;6;6;6;6;6;6
116;352;1358539968377;63250;0;1;-1;1;1;1;1;1;1;1;1;1;1
117;352;1358526693495;63250;0;3;1;0;0;0;0;0;0;0;0;0;0
118;352;1358526568863;63250;4;820;-1;238;238;238;238;238;238;238;238;238;238
119;352;1358532006705;63250;1;23;11;2;2;2;2;2;2;2;2;2;2
120;352;1358539805443;63250;8;0;-1;78;78;15;15;15;15;15;15;15;15
121;352;1358534806119;63250;25;2548;-1;183;183;188;188;992;992;227;227;188;188
122;352;1358533832035;63250;9;2586;-1;280;280;280;280;280;280;280;280;280;280
123;352;1358534360953;63250;0;1;-1;11;11;11;11;11;11;11;11;11;11
124;352;1358538094290;63250;1;3;1;0;0;0;0;0;0;0;0;0;0
125;352;1358526484557;63250;0;0;-1;1;1;0;0;0;0;0;0;0;0
126;352;1358537928781;63250;8;0;-1;63;63;6;6;6;6;6;6;6;6
127;352;1358530878193;63250;9;2586;-1;33;33;33;33;33;33;33;33;33;33
128;352;1358530764381;63250;5;820;410;78;66;78;66;78;66;78;66;78;66
129;352;1358531495242;63250;8;2586;-1;281;281;281;281;281;281;281;281;281;281
130;352;1358538338084;63250;1;3;1;0;0;0;0;0;0;0;0;0;0
131;352;1358530048377;63250;13;0;-1;321;321;16;16;16;16;16;16;16;16
132;352;1358537446017;63250;8;2586;-1;79;79;79;79;79;79;79;79;79;79
133;352;1358529215161;63250;664;10118;5059;55;23;2;1;2;1;2;1;2;1
134;352;1358537606457;63250;4;820;410;247;136;247;136;247;136;247;136;247;136
135;352;1358536639240;63250;8;2586;1293;50;23;50;23;50;23;50;23;50;23
136;352;1358526192368;63250;8;2586;-1;267;267;267;267;267;267;267;267;267;267
137;352;1358527541055;63250;9;5;-1;48;48;1;1;1;1;1;1;1;1
138;352;1358539561601;63250;139;0;-1;16;16;0;0;0;0;0;0;0;0
139;352;1358526526920;63250;8;2586;-1;281;281;281;281;281;281;281;281;281;281
140;352;1358537376344;63250;174;734;-1;13;13;6;6;6;6;6;6;6;6
141;352;1358538256096;63250;9;2586;-1;390;390;390;390;390;390;390;390;390;390
142;352;1358539094921;63250;9;0;-1;76;76;13;13;13;13;13;13;13;13
143;352;1358527376185;63250;9;0;-1;280;280;1;1;1;1;1;1;1;1
144;352;1358534061876;63250;8;2586;-1;26;26;26;26;26;26;26;26;26;26
145;352;1358535172022;63250;9;2586;-1;279;279;279;279;279;279;279;279;279;279
146;352;1358539338080;63250;0;41;20;4;4;4;4;4;4;4;4;4;4
147;352;1358534880446;63250;3;820;410;153;123;153;123;153;123;153;123;153;123
148;352;1358536087095;63250;1;4;2;0;0;0;0;0;0;0;0;0;0
149;352;1358526860088;63250;1;41;20;9;9;9;9;9;9;9;9;9;9
150;352;1358539013776;63250;10;0;-1;294;294;2;2;2;2;2;2;2;2
151;352;1358531031472;63250;1;3;1;0;0;0;0;0;0;0;0;0;0
152;352;1358537314924;63250;9;2586;-1;281;281;281;281;281;281;281;281;281;281
153;352;1358538741649;63250;3;820;410;12;12;12;12;12;12;12;12;12;12
154;352;1358530650319;63250;4;820;410;60;49;60;49;60;49;60;49;60;49
155;352;1358529132978;63250;0;1;-1;3;3;3;3;3;3;3;3;3;3
156;352;1358529729459;63250;0;0;-1;49;49;2;2;2;2;2;2;2;2
157;352;1358528487703;63250;9;5;-1;285;285;6;6;6;6;6;6;6;6
158;352;1358536779690;63250;4;820;410;57;45;57;45;57;45;57;45;57;45
159;352;1358539642065;63250;4;820;410;19;17;19;17;19;17;19;17;19;17
160;352;1358528281094;63250;4;820;410;52;42;52;42;52;42;52;42;52;42
161;352;1358528930407;63250;399;1;-1;7;7;0;0;0;0;0;0;0;0
162;352;1358535521781;63250;0;30;-1;6;6;6;6;6;6;6;6;6;6
163;352;1358530549359;63250;1;25;12;2;2;2;2;2;2;2;2;2;2
164;352;1358533597274;63250;9;2586;-1;279;279;279;279;279;279;279;279;279;279
165;352;1358539846172;63250;1;25;12;7;7;7;7;7;7;7;7;7;7
166;352;1358531753103;63250;9;0;-1;283;283;1;1;1;1;1;1;1;1
167;352;1358532836547;63250;9;2586;-1;280;280;280;280;280;280;280;280;280;280
168;352;1358529254721;63250;4;820;-1;238;238;238;238;238;238;238;238;238;238
169;352;1358537484980;63250;4;820;410;12;12;12;12;12;12;12;12;12;12
170;352;1358536680582;63250;9;2586;-1;17;17;17;17;17;17;17;17;17;17
171;352;1358529174582;63250;442;10119;5059;19;5;8;4;7;4;7;4;8;4
172;352;1358537727936;63250;1;30;-1;5;5;5;5;5;5;5;5;5;5
173;352;1358532379691;63250;9;0;-1;687;687;4;4;4;4;4;4;4;4
174;352;1358536498188;63250;8;2586;-1;280;280;280;280;280;280;280;280;280;280
175;352;1358539765957;63250;8;0;-1;283;283;2;2;2;2;2;2;2;2
176;352;1358527458418;63250;1;1;-1;13;13;13;13;13;13;13;13;13;13
177;352;1358529528598;63250;9;2586;-1;281;281;281;281;281;281;281;281;281;281
178;352;1358530339494;63250;13;2586;-1;280;280;280;280;280;280;280;280;280;280
179;352;1358530236010;63250;8;2586;-1;145;145;145;145;145;145;145;145;145;145
180;352;1358536971331;63250;4;820;410;40;31;40;31;40;31;40;31;40;31
181;352;1358529946255;63250;9;2586;-1;233;233;233;233;233;233;233;233;233;233
182;352;1358532491747;63250;9;2586;1293;164;48;164;48;164;48;164;48;164;48
183;352;1358531714629;63250;8;2586;-1;281;281;281;281;281;281;281;281;281;281
184;352;1358533720492;63250;32;10128;-1;2;2;2;2;2;2;2;2;2;2
185;352;1358527759247;63250;8;0;-1;178;178;0;0;0;0;0;0;0;0
186;352;1358530993371;63250;9;2586;-1;281;281;281;281;281;281;281;281;281;281
187;352;1358538619436;63250;1;41;20;16;16;16;16;16;16;16;16;16;16
188;352;1358530917152;63250;1;25;12;6;6;6;6;6;6;6;6;6;6
189;352;1358537347191;63250;0;0;-1;968;968;968;968;971;971;968;968;968;968
190;352;1358529569467;63250;8;0;-1;55;55;1;1;1;1;1;1;1;1
191;352;1358533875136;63250;1;1;0;8;0;0;0;0;0;0;0;0;0
192;352;1358530300583;63250;0;11;-1;4;4;4;4;4;4;4;4;4;4
193;352;1358528529234;63250;9;2586;-1;54;54;54;54;54;54;54;54;54;54
194;352;1358518469481;63250;8;0;-1;16;16;16;16;0;0;0;0;16;16
195;352;1358533678878;63250;3;820;410;211;126;211;126;211;126;211;126;211;126
196;352;1358535622696;63250;1;25;-1;4;4;4;4;4;4;4;4;4;4
197;352;1358538577722;63250;9;5;-1;81;81;1;1;1;1;1;1;1;1
198;352;1358531636262;63250;1;25;12;0;0;0;0;0;0;0;0;0;0
199;352;1358538897756;63250;1;3;1;0;0;0;0;0;0;0;0;0;0
200;352;1358536750079;63250;185;734;367;13;5;6;5;6;5;6;5;6;5
201;352;1358538052576;63250;11;3199;-1;11;11;11;11;11;11;11;11;11;11
202;352;1358532416396;63250;9;2586;-1;114;114;114;114;114;114;114;114;114;114
203;352;1358530403470;63250;0;30;15;2;2;2;2;2;2;2;2;2;2
204;352;1358528241298;63250;4;820;-1;236;236;236;236;236;236;236;236;236;236
205;352;1358527025169;63250;1;1;-1;1;1;1;1;1;1;1;1;1;1
206;352;1358526360472;63250;194;2573;-1;3;3;0;0;0;0;0;0;0;0
207;352;1358528117238;63250;77;3129;1564;5;5;5;5;5;5;5;5;5;5
