count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;352;1358538379761;1;60373;432;2;432;1;-1;0;0;0;0;0;0;0;0;0;0
2;352;1358539054191;1;60373;432;1;432;2;1;0;0;0;0;0;0;0;0;0;0
3;352;1358536372539;1;60373;432;5;432;48;-1;280;280;280;280;280;280;280;280;280;280
4;352;1358531753103;1;60373;432;5;432;0;-1;283;283;1;1;1;1;1;1;1;1
5;352;1358535521781;1;60373;432;1;432;11;-1;6;6;6;6;6;6;6;6;6;6
6;352;1358539681965;1;60373;432;0;432;0;-1;971;971;971;971;971;971;971;971;971;971
7;352;1358536903235;1;60373;432;1;432;1;-1;4;4;4;4;4;4;4;4;4;4
8;352;1358534683807;1;60373;432;3;432;48;-1;53;53;53;53;53;53;53;53;53;53
9;352;1358532454771;1;60373;432;0;432;0;-1;21;21;1;1;1;1;1;1;1;1
10;352;1358538052576;1;60373;432;3;432;37;-1;11;11;11;11;11;11;11;11;11;11
11;352;1358530549359;1;60373;432;1;432;5;2;2;1;2;1;2;1;2;1;2;1
12;352;1358532644964;1;60373;432;3;432;0;-1;75;75;12;12;12;12;12;12;12;12
13;352;1358532530428;1;60373;432;2;432;48;-1;272;272;272;272;272;272;272;272;272;272
14;352;1358537092986;1;60373;432;3;432;123;-1;232;232;232;232;232;232;232;232;232;232
15;352;1358537686635;1;60373;432;3;432;123;-1;183;183;183;183;183;183;183;183;183;183
16;352;1358539426836;1;60373;432;3;432;48;-1;39;39;39;39;39;39;39;39;39;39
17;352;1358531379176;1;60373;432;4;432;48;-1;281;281;281;281;281;281;281;281;281;281
18;352;1358526360472;1;60373;432;2;432;0;-1;3;3;0;0;0;0;0;0;0;0
19;352;1358529378636;1;60373;432;3;432;48;-1;54;54;54;54;54;54;54;54;54;54
20;352;1358529690403;1;60373;432;3;432;48;-1;281;281;281;281;281;281;281;281;281;281
21;352;1358532797941;1;60373;432;0;432;3;-1;4;4;4;4;4;4;4;4;4;4
22;352;1358538619436;1;60373;432;1;432;10;-1;16;16;16;16;16;16;16;16;16;16
23;352;1358531303202;1;60373;432;4;432;34;-1;179;179;6;6;6;6;6;6;6;6
24;352;1358533513318;1;60373;432;1;432;12;-1;2;2;2;2;2;2;2;2;2;2
25;352;1358534880446;1;60373;432;3;432;123;61;153;36;153;36;153;36;153;36;153;36
26;352;1358533678878;1;60373;432;4;432;123;-1;211;211;211;211;211;211;211;211;211;211
27;352;1358539805443;1;60373;432;3;432;0;-1;78;78;15;15;15;15;15;15;15;15
28;352;1358528571812;1;60373;432;3;432;48;-1;201;201;201;201;201;201;201;201;201;201
29;352;1358532082994;1;60373;432;3;432;48;-1;281;281;281;281;281;281;281;281;281;281
30;352;1358530878193;1;60373;432;3;432;48;-1;33;33;33;33;33;33;33;33;33;33
31;352;1358529337670;1;60373;432;3;432;48;-1;281;281;281;281;281;281;281;281;281;281
32;352;1358531636262;1;60373;432;1;432;5;-1;0;0;0;0;0;0;0;0;0;0
33;352;1358529132978;1;60373;432;1;432;1;-1;3;3;3;3;3;3;3;3;3;3
34;352;1358537525404;1;60373;432;3;432;48;24;42;5;42;5;42;5;42;5;42;5
