count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;352;1358533978439;1;4297;63250;1;215;0;-1;730;730;966;966;966;966;971;971;966;966;966;966
2;352;1358539094921;1;4297;63250;2;215;0;-1;1659;1659;76;76;13;13;13;13;13;13;13;13
3;352;1358539426836;1;4297;63250;3;215;28;-1;1269;1269;39;39;39;39;39;39;39;39;39;39
4;352;1358528322789;1;4297;63250;1;215;2;-1;597;597;4;4;4;4;4;4;4;4;4;4
5;352;1358538338084;1;4297;63250;1;215;3;1;1546;1;0;0;0;0;0;0;0;0;0;0
6;352;1358533083849;1;4297;63250;1;215;80;40;267;11;106;28;106;28;106;28;106;28;106;28
7;352;1358536944156;1;4297;63250;0;215;2;1;1660;0;0;0;0;0;0;0;0;0;0;0
8;352;1358528571812;1;4297;63250;2;215;28;-1;809;809;201;201;201;201;201;201;201;201;201;201
9;352;1358529458435;1;4297;63250;2;215;28;-1;291;291;36;36;36;36;36;36;36;36;36;36
10;352;1358535089103;1;4297;63250;0;215;7;-1;324;324;11;11;11;11;11;11;11;11;11;11
11;352;1358536819896;1;4297;63250;0;215;0;-1;1393;1393;1;1;0;0;0;0;0;0;0;0
12;352;1358530441668;1;4297;63250;1;215;5;2;398;0;3;2;3;2;3;2;3;2;3;2
13;352;1358536971331;1;4297;63250;2;215;80;-1;51;51;40;40;40;40;40;40;40;40;40;40
14;352;1358533875136;1;4297;63250;1;215;0;-1;1877;1877;8;8;0;0;0;0;0;0;0;0
15;352;1358536750079;1;4297;63250;4;215;0;-1;1266;1266;13;13;6;6;6;6;6;6;6;6
16;352;1358534061876;1;4297;63250;2;215;28;-1;1762;1762;26;26;26;26;26;26;26;26;26;26
17;352;1358529215161;1;4297;63250;1;215;5;-1;850;850;55;55;2;2;2;2;2;2;2;2
18;352;1358529569467;1;4297;63250;3;215;0;-1;519;519;55;55;1;1;1;1;1;1;1;1
19;352;1358529984155;1;4297;63250;2;215;16;-1;1368;1368;7;7;7;7;7;7;7;7;7;7
20;352;1358526526920;1;4297;63250;3;215;28;-1;1587;1587;281;281;281;281;281;281;281;281;281;281
21;352;1358526568863;1;4297;63250;1;215;80;-1;1088;1088;238;238;238;238;238;238;238;238;238;238
22;352;1358539601495;1;4297;63250;0;215;5;2;164;0;4;1;4;1;4;1;4;1;4;1
23;352;1358534132575;1;4297;63250;1;215;80;-1;1359;1359;248;248;248;248;248;248;248;248;248;248
24;352;1358526818071;1;4297;63250;1;215;1;-1;358;358;122;122;122;122;122;122;122;122;122;122
25;352;1358539534045;1;4297;63250;2;215;28;-1;1509;1509;279;279;279;279;279;279;279;279;279;279
26;352;1358536250475;1;4297;63250;3;215;28;-1;647;647;280;280;280;280;280;280;280;280;280;280
