count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;352;1358527583959;1;49028;360;2;360;1;-1;1931;1931;0;0;0;0;0;0;0;0;0;0
2;352;1358536680582;1;49028;360;4;360;40;-1;1750;1750;17;17;17;17;17;17;17;17;17;17
3;352;1358531227581;1;49028;360;4;360;0;-1;733;733;320;320;15;15;15;15;15;15;15;15
4;352;1358539426836;1;49028;360;3;360;40;-1;1354;1354;39;39;39;39;39;39;39;39;39;39
5;352;1358532121129;1;49028;360;4;360;40;-1;1323;1323;9;9;9;9;9;9;9;9;9;9
6;352;1358532006705;1;49028;360;2;360;3;-1;543;543;2;2;2;2;2;2;2;2;2;2
7;352;1358534568497;1;49028;360;1;360;10;5;447;0;4;0;4;0;4;0;4;0;4;0
8;352;1358529458435;1;49028;360;3;360;40;-1;986;986;36;36;36;36;36;36;36;36;36;36
9;352;1358531830350;1;49028;360;3;360;40;-1;867;867;37;37;37;37;37;37;37;37;37;37
10;352;1358538296710;1;49028;360;1;360;0;-1;810;810;21;21;1;1;1;1;1;1;1;1
11;352;1358534203391;1;49028;360;3;360;112;-1;1308;1308;62;62;62;62;62;62;62;62;62;62
12;352;1358538897756;1;49028;360;1;360;1;-1;63;63;0;0;0;0;0;0;0;0;0;0
13;352;1358530802060;1;49028;360;1;360;3;1;262;0;24;0;13;0;3;0;3;0;12;0
14;352;1358532185922;1;49028;360;3;360;112;-1;6;6;228;228;228;228;228;228;228;228;228;228
15;352;1358526150007;1;49028;360;2;360;40;-1;939;939;147;147;147;147;147;147;147;147;147;147
16;352;1358532950405;1;49028;360;3;360;40;-1;766;766;98;98;98;98;98;98;98;98;98;98
17;352;1358532082994;1;49028;360;2;360;40;-1;987;987;281;281;281;281;281;281;281;281;281;281
18;352;1358528487703;1;49028;360;2;360;0;-1;1631;1631;285;285;6;6;6;6;6;6;6;6
19;352;1358536087095;1;49028;360;1;360;2;1;254;0;0;0;0;0;0;0;0;0;0;0
20;352;1358529132978;1;49028;360;1;360;1;-1;956;956;3;3;3;3;3;3;3;3;3;3
21;352;1358538379761;1;49028;360;1;360;1;-1;1334;1334;0;0;0;0;0;0;0;0;0;0
22;352;1358539175765;1;49028;360;3;360;0;-1;683;683;299;299;4;4;4;4;4;4;4;4
23;352;1358538256096;1;49028;360;2;360;40;-1;1472;1472;390;390;390;390;390;390;390;390;390;390
24;352;1358537804987;1;49028;360;0;360;0;-1;186;186;971;971;971;971;971;971;971;971;971;971
25;352;1358533265126;1;49028;360;3;360;40;-1;1419;1419;92;92;92;92;92;92;92;92;92;92
26;352;1358531868964;1;49028;360;3;360;40;-1;545;545;281;281;281;281;281;281;281;281;281;281
27;352;1358535554375;1;49028;360;3;360;0;-1;890;890;107;107;110;110;968;968;110;110;110;110
28;352;1358528930407;1;49028;360;1;360;0;-1;241;241;7;7;0;0;0;0;0;0;0;0
29;352;1358529419197;1;49028;360;2;360;40;-1;1450;1450;169;169;169;169;169;169;169;169;169;169
