count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;570;1358254850227;16094;388;6305;3152;83;81;80;79;80;79;80;79;80;79
2;570;1358256811042;16094;265;6305;3152;2;2;2;2;2;2;2;2;2;2
3;570;1358259379276;16094;30;164;82;37;31;27;26;27;26;27;26;27;26
4;570;1358253985885;16094;238;6230;3115;64;55;53;48;49;48;49;48;53;48
5;570;1358255739239;16094;124;6301;3150;95;88;69;66;60;58;60;58;63;60
6;570;1358255006580;16094;295;6230;3115;56;45;25;24;25;24;25;24;25;24
7;570;1358260863571;16094;26;7367;3683;9;9;9;9;9;9;9;9;9;9
8;570;1358260382698;16094;12;165;82;69;56;47;45;41;40;41;40;41;40
9;570;1358253434897;16094;26;7337;3668;22;22;22;22;22;22;22;22;22;22
10;570;1358254096651;16094;27;7337;3668;70;65;70;65;70;65;70;65;70;65
11;570;1358252886358;16094;191;2335;1167;7;2;0;0;0;0;0;0;0;0
12;570;1358257840012;16094;4;167;83;24;18;22;17;14;14;14;14;15;14
13;570;1358254575467;16094;9;165;82;1;1;0;0;0;0;0;0;0;0
14;570;1358257495069;16094;173;6305;3152;2;2;2;2;2;2;2;2;2;2
15;570;1358258963403;16094;7;166;83;3;3;3;3;3;3;3;3;3;3
16;570;1358257987086;16094;2;34;17;8;8;8;8;8;8;8;8;8;8
17;570;1358259279439;16094;254;6301;3150;10;8;4;4;4;4;4;4;4;4
18;570;1358254837382;16094;55;6464;3232;5;5;5;5;5;5;5;5;5;5
19;570;1358261214445;16094;15;17;8;34;3;6;2;2;2;4;2;2;2
20;570;1358258119095;16094;63;2335;-1;14;14;1;1;1;1;1;1;1;1
21;570;1358259252055;16094;273;6230;3115;33;22;14;14;14;14;14;14;14;14
22;570;1358254949090;16094;23;6352;3176;25;25;25;25;25;25;25;25;25;25
23;570;1358256680830;16094;1;168;84;2;2;2;2;2;2;2;2;2;2
24;570;1358257111712;16094;22;164;82;70;47;35;34;35;34;35;34;35;34
25;570;1358260910632;16094;14;164;82;30;25;19;18;19;18;19;18;19;18
26;570;1358259861039;16094;1;12;6;46;8;12;6;5;5;5;5;6;5
27;570;1358258832275;16094;156;6305;3152;2;2;2;2;2;2;2;2;2;2
28;570;1358258030186;16094;190;6301;3150;13;11;6;6;6;6;6;6;6;6
29;570;1358260207376;16094;23;7337;3668;16;14;16;14;16;14;16;14;16;14
30;570;1358254517221;16094;196;6301;3150;11;9;5;6;5;6;5;6;5;6
31;570;1358253814845;16094;97;6458;3229;41;31;2;2;2;2;2;2;2;2
32;570;1358259829548;16094;20;6286;3143;17;15;17;15;17;15;17;15;17;15
33;570;1358257591889;16094;16;17;8;34;3;4;2;2;2;3;2;2;2
34;570;1358255268384;16094;1;167;83;1;1;1;1;1;1;1;1;1;1
35;570;1358255434984;16094;2;170;85;0;0;0;0;0;0;0;0;0;0
36;570;1358257634220;16094;66;7304;-1;17;17;17;17;450;450;40;40;17;17
37;570;1358257268008;16094;275;6230;3115;69;57;37;35;37;35;37;35;37;35
38;570;1358255664967;16094;2;171;85;58;57;58;57;58;57;58;57;58;57
39;570;1358257763751;16094;9;166;83;50;43;43;39;40;39;40;39;42;39
40;570;1358253755556;16094;277;2795;1397;17;9;1;1;1;1;1;1;1;1
41;570;1358259349511;16094;265;6230;3115;82;69;45;44;45;44;45;44;45;44
42;570;1358253057414;16094;20;6352;3176;23;23;23;23;23;23;23;23;23;23
43;570;1358261155133;16094;1;39;19;2;1;2;1;2;1;2;1;2;1
44;570;1358260669452;16094;3;166;83;62;54;60;54;46;45;48;45;48;46
45;570;1358261260497;16094;28;1;-1;141;141;1;1;1;1;1;1;1;1
46;570;1358255855463;16094;102;6306;3153;23;23;13;13;13;13;13;13;13;13
47;570;1358252636615;16094;239;6299;3149;2;2;2;2;2;2;2;2;2;2
48;570;1358259035009;16094;274;6230;3115;39;28;18;17;18;17;18;17;18;17
49;570;1358253638226;16094;21;6286;3143;12;11;12;11;12;11;12;11;12;11
50;570;1358260684826;16094;7;166;83;25;20;22;19;11;11;11;11;15;13
51;570;1358255121554;16094;171;6305;3152;15;14;13;13;13;13;13;13;13;13
52;570;1358257942072;16094;5;167;83;27;22;22;17;15;15;15;15;17;15
53;570;1358254531739;16094;10;3554;1777;439;144;439;144;462;1799;439;144;439;144
54;570;1358254473524;16094;8;165;82;0;0;0;0;0;0;0;0;0;0
55;570;1358256238296;16094;277;6230;3115;24;13;9;9;9;9;9;9;9;9
56;570;1358254210531;16094;66;7304;3652;128;104;121;97;42;41;42;41;92;72
57;570;1358259266144;16094;88;6301;3150;25;25;21;21;19;19;19;19;21;21
58;570;1358259209562;16094;260;6230;3115;36;25;16;16;16;16;16;16;16;16
59;570;1358252594717;16094;128;6301;3150;95;88;69;66;60;58;60;58;63;60
60;570;1358257338418;16094;18;2335;-1;426;426;426;426;441;441;426;426;426;426
