

count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;570;1358259454730;1;271505;1290;15;1290;90;45;15;11;14;11;10;9;10;9;10;9
2;570;1358257522470;1;271505;1290;53;1290;90;45;31;12;10;7;9;7;9;7;10;7
3;570;1358253394012;1;271505;1290;69;1290;400;-1;32;32;13;13;13;13;13;13;13;13
4;570;1358255224181;1;271505;1290;1;1290;9;4;0;0;0;0;0;0;0;0;0;0
5;570;1358253449458;1;271505;1290;15;1290;422;211;5;3;5;3;5;3;5;3;5;3
6;570;1358252482182;1;271505;1290;60;1290;400;200;40;14;18;11;18;11;18;11;18;11
7;570;1358261291499;1;271505;1290;6;1290;417;208;28;13;28;13;28;13;28;13;28;13
8;570;1358260018221;1;271505;1290;11;1290;90;-1;74;74;53;53;50;50;51;51;50;50
9;570;1358252537888;1;271505;1290;49;1290;7;-1;61;61;0;0;0;0;0;0;0;0
10;570;1358257012920;1;271505;1290;77;1290;196;-1;190;190;50;50;8;8;9;9;41;41
11;570;1358253931049;1;271505;1290;17;1290;0;-1;136;136;94;94;0;0;92;92;0;0
12;570;1358256941362;1;271505;1290;4;1290;199;99;6;5;6;5;6;5;6;5;6;5
13;570;1358252772081;1;271505;1290;20;1290;10;5;17;2;2;1;2;1;2;1;2;1
14;570;1358259182813;1;271505;1290;1;1290;93;46;1;1;1;1;1;1;1;1;1;1
15;570;1358254039684;1;271505;1290;45;1290;400;200;70;30;56;27;52;27;52;27;56;27
16;570;1358258704626;1;271505;1290;21;1290;415;207;25;11;21;9;19;8;19;8;21;9
17;570;1358253687163;1;271505;1290;14;1290;422;-1;19;19;19;19;19;19;19;19;19;19
18;570;1358254066007;1;271505;1290;61;1290;400;-1;84;84;46;46;46;46;46;46;46;46
19;570;1358253232059;1;271505;1290;2;1290;12;-1;1;1;1;1;1;1;1;1;1;1
20;570;1358257619754;1;271505;1290;7;1290;404;202;2;2;2;2;2;2;2;2;2;2
21;570;1358256152611;1;271505;1290;1;1290;94;-1;1;1;1;1;1;1;1;1;1;1
22;570;1358256783059;1;271505;1290;3;1290;12;6;1;0;1;0;1;0;1;0;1;0
23;570;1358259919856;1;271505;1290;1;1290;93;46;2;2;2;2;2;2;2;2;2;2
24;570;1358253985885;1;271505;1290;42;1290;400;200;64;27;53;25;49;25;49;25;53;25
25;570;1358254747491;1;271505;1290;1;1290;14;-1;3;3;2;2;2;2;2;2;2;2
26;570;1358260804582;1;271505;1290;6;1290;418;209;1;1;1;1;1;1;1;1;1;1
27;570;1358258520998;1;271505;1290;7;1290;410;-1;39;39;39;39;39;39;39;39;39;39
28;570;1358260910632;1;271505;1290;12;1290;88;44;30;19;19;12;19;12;19;12;19;12
29;570;1358254631887;1;271505;1290;6;1290;410;205;83;42;83;42;83;42;83;42;83;42
30;570;1358258237085;1;271505;1290;13;1290;422;211;1;0;1;0;1;0;1;0;1;0
31;570;1358255284137;1;271505;1290;9;1290;88;44;36;22;20;12;19;12;19;12;19;12
32;570;1358255883439;1;271505;1290;2;1290;96;48;0;0;0;0;0;0;0;0;0;0
33;570;1358257096764;1;271505;1290;6;1290;413;206;8;5;8;5;8;5;8;5;8;5
34;570;1358253494330;1;271505;1290;6;1290;413;206;14;8;14;8;14;8;14;8;14;8
35;570;1358258762113;1;271505;1290;62;1290;400;200;85;37;49;25;49;25;49;25;49;25
36;570;1358257706400;1;271505;1290;6;1290;413;206;17;12;17;12;17;12;17;12;17;12
