count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;570;1358257942072;1;13231;16094;4;727;80;40;306;28;27;16;22;12;15;10;15;10;17;10
2;570;1358256824977;1;13231;16094;3;727;84;-1;163;163;3;3;3;3;3;3;3;3;3;3
3;570;1358261184657;1;13231;16094;24;727;218;109;654;119;105;46;89;43;85;43;85;43;89;43
4;570;1358259502821;1;13231;16094;4;727;221;110;767;144;1;0;1;0;1;0;1;0;1;0
5;570;1358256458272;1;13231;16094;16;727;6;3;127;2;168;2;6;2;4;2;4;2;4;2
6;570;1358255268384;1;13231;16094;1;727;79;-1;204;204;1;1;1;1;1;1;1;1;1;1
7;570;1358260449451;1;13231;16094;7;727;78;39;350;14;135;6;46;5;7;4;7;4;46;5
8;570;1358260742083;1;13231;16094;1;727;13;-1;856;856;3;3;2;2;2;2;2;2;2;2
9;570;1358252870040;1;13231;16094;2;727;73;36;89;4;12;4;12;4;12;4;12;4;12;4
10;570;1358253042417;1;13231;16094;32;727;195;97;177;36;51;18;20;10;20;10;20;10;20;10
11;570;1358260081870;1;13231;16094;3;727;86;-1;830;830;28;28;28;28;25;25;25;25;25;25
12;570;1358254239562;1;13231;16094;17;727;77;38;704;63;59;26;27;16;27;16;27;16;27;16
13;570;1358260096530;1;13231;16094;2;727;84;-1;535;535;15;15;15;15;15;15;15;15;15;15
14;570;1358260528745;1;13231;16094;4;727;221;110;343;64;28;12;28;12;28;12;28;12;28;12
15;570;1358252649051;1;13231;16094;30;727;4;-1;161;161;30;30;0;0;0;0;0;0;0;0
16;570;1358256428455;1;13231;16094;1;727;83;41;174;16;1;1;1;1;1;1;1;1;1;1
17;570;1358256593267;1;13231;16094;2;727;86;43;109;9;1;1;1;1;1;1;1;1;1;1
18;570;1358254660764;1;13231;16094;21;727;77;38;149;12;25;14;19;11;19;11;19;11;19;11
19;570;1358258016113;1;13231;16094;16;727;77;38;667;58;37;14;2;1;2;1;2;1;2;1
20;570;1358252985525;1;13231;16094;7;727;45;-1;165;165;40;40;2;2;2;2;2;2;2;2
21;570;1358255050559;1;13231;16094;1;727;73;-1;315;315;15;15;15;15;15;15;15;15;15;15
22;570;1358256607169;1;13231;16094;0;727;4;2;664;2;0;0;0;0;0;0;0;0;0;0
23;570;1358254878629;1;13231;16094;21;727;77;38;64;2;48;27;34;20;34;20;34;20;34;20
24;570;1358260001099;1;13231;16094;4;727;202;101;599;110;5;2;5;2;5;2;5;2;5;2
25;570;1358253316088;1;13231;16094;1;727;3;1;187;2;1;1;1;1;1;1;1;1;1;1
26;570;1358255913330;1;13231;16094;1;727;85;42;168;18;23;17;23;17;23;17;23;17;23;17
27;570;1358259985839;1;13231;16094;1;727;79;-1;539;539;33;33;33;33;33;33;33;33;33;33
28;570;1358257026291;1;13231;16094;19;727;220;110;640;116;83;37;80;36;80;36;80;36;80;36
29;570;1358259587566;1;13231;16094;28;727;218;109;731;129;46;16;34;13;30;13;30;13;34;13
30;570;1358258388644;1;13231;16094;23;727;78;39;32;4;2;1;0;0;0;0;0;0;0;0
31;570;1358254445292;1;13231;16094;17;727;78;39;410;33;41;14;0;0;0;0;0;0;0;0
32;570;1358257239867;1;13231;16094;3;727;80;-1;847;847;33;33;17;17;9;9;9;9;10;10
33;570;1358253330346;1;13231;16094;2;727;73;36;125;12;8;2;8;2;8;2;8;2;8;2
34;570;1358253871779;1;13231;16094;2;727;84;42;726;46;2;2;2;2;2;2;2;2;2;2
35;570;1358259469305;1;13231;16094;31;727;218;109;193;32;12;5;5;3;5;3;5;3;5;3
36;570;1358257181088;1;13231;16094;22;727;220;110;695;130;83;37;78;35;78;35;78;35;78;35
37;570;1358259252055;1;13231;16094;40;727;195;97;432;67;33;10;14;7;14;7;14;7;14;7
38;570;1358258074614;1;13231;16094;3;727;84;42;706;55;3;2;3;2;3;2;3;2;3;2
39;570;1358256924776;1;13231;16094;31;727;77;38;539;42;34;17;22;12;22;12;22;12;22;12
40;570;1358259969254;1;13231;16094;2;727;80;40;100;15;14;9;13;9;7;5;7;5;9;5
41;570;1358257268008;1;13231;16094;32;727;195;97;837;133;69;25;37;18;37;18;37;18;37;18
42;570;1358254646399;1;13231;16094;1;727;9;4;508;4;30;4;13;4;12;4;12;4;13;4
43;570;1358256339722;1;13231;16094;13;727;80;-1;764;764;1;1;0;0;0;0;0;0;0;0
44;570;1358260557594;1;13231;16094;21;727;77;38;379;38;41;22;28;15;28;15;28;15;28;15
45;570;1358260255761;1;13231;16094;1;727;83;41;639;63;2;2;2;2;2;2;2;2;2;2
46;570;1358254096651;1;13231;16094;4;727;240;120;532;109;70;18;70;18;70;18;70;18;70;18
47;570;1358257495069;1;13231;16094;20;727;220;110;780;145;2;0;2;0;2;0;2;0;2;0
48;570;1358257659904;1;13231;16094;1;727;85;42;679;66;24;17;24;17;24;17;24;17;24;17
49;570;1358254719640;1;13231;16094;1;727;80;40;270;24;3;2;3;2;3;2;3;2;3;2
50;570;1358256369868;1;13231;16094;0;727;8;4;291;3;0;0;0;0;0;0;0;0;0;0
51;570;1358254689398;1;13231;16094;22;727;218;-1;247;247;6;6;1;1;1;1;1;1;1;1
52;570;1358254183311;1;13231;16094;18;727;220;110;692;129;97;44;92;43;92;43;92;43;92;43
