count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;570;1358258762113;1;238722;1246;123;1246;394;197;739;180;85;37;49;27;49;27;49;27;49;27
2;570;1358259952605;1;238722;1246;19;1246;5;2;743;3;55;0;0;0;0;0;0;0;0;0
3;570;1358257067257;1;238722;1246;11;1246;83;41;287;25;17;10;7;5;3;2;5;4;4;2
4;570;1358255783758;1;238722;1246;2;1246;9;4;296;3;16;2;9;2;4;2;4;2;9;2
5;570;1358253609886;1;238722;1246;56;1246;7;-1;118;118;55;55;2;2;2;2;2;2;2;2
6;570;1358253524428;1;238722;1246;5;1246;212;-1;591;591;39;39;39;39;39;39;39;39;39;39
7;570;1358258208028;1;238722;1246;7;1246;399;199;800;198;3;2;3;2;3;2;3;2;3;2
8;570;1358255841155;1;238722;1246;22;1246;413;206;649;166;111;57;97;50;94;48;94;48;94;48
9;570;1358261260497;1;238722;1246;14;1246;0;-1;288;288;141;141;1;1;1;1;1;1;1;1
10;570;1358255121554;1;238722;1246;38;1246;412;206;324;86;15;7;13;6;13;6;13;6;13;6
11;570;1358252786311;1;238722;1246;63;1246;7;3;372;2;74;2;0;0;0;0;0;0;0;0
12;570;1358259919856;1;238722;1246;1;1246;88;44;171;16;2;2;2;2;2;2;2;2;2;2
13;570;1358257309683;1;238722;1246;22;1246;83;41;662;64;10;6;3;3;3;3;3;3;3;3
14;570;1358259935505;1;238722;1246;22;1246;83;41;216;26;7;4;1;1;1;1;1;1;1;1
15;570;1358257052096;1;238722;1246;7;1246;441;220;335;80;158;55;158;55;158;55;158;55;158;55
16;570;1358257324177;1;238722;1246;1;1246;3;1;676;1;0;0;0;0;0;0;0;0;0;0
17;570;1358258374547;1;238722;1246;7;1246;399;199;525;133;2;2;2;2;2;2;2;2;2;2
18;570;1358259985839;1;238722;1246;1;1246;85;-1;562;562;33;33;33;33;33;33;33;33;33;33
19;570;1358252757628;1;238722;1246;60;1246;394;-1;856;856;29;29;11;11;11;11;11;11;11;11
20;570;1358260699604;1;238722;1246;2;1246;90;45;531;55;0;0;0;0;0;0;0;0;0;0
21;570;1358260893810;1;238722;1246;1;1246;3;1;502;0;1;1;1;1;1;1;1;1;1;1
22;570;1358258277810;1;238722;1246;24;1246;83;41;85;13;24;13;17;10;17;10;17;10;17;10
23;570;1358260972861;1;238722;1246;21;1246;413;206;395;104;23;12;13;7;13;7;13;7;13;7
