count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;577;1357957604363;2930;173;1129;564;17;11;8;6;169;564;0;0;14;10
2;577;1357963019298;2930;16;1169;-1;8;8;7;7;5;5;5;5;7;7
3;577;1357963183586;2930;136;1128;564;30;3;1;1;175;570;2;2;41;16
4;577;1357960957392;2930;121;130;65;33;4;11;2;169;65;2;2;20;2
5;577;1357956467833;2930;2;799;399;16;16;16;16;16;16;16;16;16;16
6;577;1357953687182;2930;26;1132;566;19;10;11;8;176;573;14;11;31;24
7;577;1357962121450;2930;8;685;342;0;0;0;0;0;0;0;0;0;0
8;577;1357959189044;2930;3;679;339;6;6;6;6;6;6;6;6;6;6
9;577;1357962937605;2930;4;679;339;7;7;7;7;7;7;7;7;7;7
10;577;1357956307801;2930;3;799;399;15;15;15;15;15;15;15;15;15;15
11;577;1357956506047;2930;14;625;312;0;0;0;0;0;0;0;0;0;0
12;577;1357955707059;2930;3;679;339;1;1;1;1;1;1;1;1;1;1
13;577;1357961953449;2930;208;564;282;41;6;0;0;0;0;0;0;0;0
14;577;1357961416853;2930;124;583;291;15;0;0;0;0;0;0;0;0;0
15;577;1357954671116;2930;40;109;-1;36;36;5;5;5;5;5;5;5;5
16;577;1357963000324;2930;50;1129;564;11;9;6;6;169;564;6;6;10;8
17;577;1357963239585;2930;69;1128;564;7;4;0;0;169;564;0;0;0;0
18;577;1357955447107;2930;87;1128;564;5;1;0;0;169;564;0;0;0;0
19;577;1357954728570;2930;10;625;312;1;1;1;1;1;1;1;1;1;1
20;577;1357958062308;2930;3;799;399;6;6;6;6;6;6;6;6;6;6
21;577;1357957950558;2930;4;927;463;1;1;1;1;1;1;1;1;1;1
22;577;1357958575002;2930;3;724;362;8;8;8;8;8;8;8;8;8;8
23;577;1357959444427;2930;5;661;330;0;0;0;0;0;0;0;0;0;0
24;577;1357962604619;2930;129;109;54;92;2;0;0;169;54;0;0;8;2
25;577;1357956661728;2930;65;1128;564;7;4;0;0;169;564;0;0;0;0
26;577;1357954114938;2930;40;636;318;67;8;7;1;171;320;1;1;40;7
27;577;1357956730989;2930;1;148;-1;2;2;2;2;2;2;2;2;2;2
28;577;1357953817543;2930;10;673;336;19;5;13;3;2;0;2;0;4;0
29;577;1357963435423;2930;8;625;312;2;2;2;2;2;2;2;2;2;2
30;577;1357958748461;2930;2;927;463;4;4;4;4;4;4;4;4;4;4
31;577;1357953956750;2930;16;604;302;3;2;1;1;1;1;1;1;1;1
32;577;1357959515809;2930;13;1129;564;2;2;0;0;0;0;0;0;0;0
33;577;1357960080406;2930;12;565;282;11;2;11;2;3;2;4;2;3;2
34;577;1357959797367;2930;1;148;-1;2;2;2;2;2;2;2;2;2;2
35;577;1357955199805;2930;94;1128;564;6;4;0;0;169;564;0;0;0;0
36;577;1357956696837;2930;10;1169;584;7;5;6;4;4;4;4;4;6;4
37;577;1357958860274;2930;3;1162;581;3;2;3;2;3;2;3;2;3;2
38;577;1357958168833;2930;143;1128;564;11;7;1;2;169;564;1;2;1;2
39;577;1357962508473;2930;64;1128;564;47;25;24;19;174;569;7;7;39;20
40;577;1357957305163;2930;5;1171;-1;0;0;0;0;0;0;0;0;0;0
41;577;1357962900799;2930;2;681;340;3;3;3;3;3;3;3;3;3;3
42;577;1357958081265;2930;27;1131;-1;25;25;18;18;174;174;19;19;34;34
43;577;1357958710154;2930;2;579;289;11;11;11;11;11;11;11;11;11;11
44;577;1357955793546;2930;3;681;340;3;3;3;3;3;3;3;3;3;3
45;577;1357963312990;2930;40;600;300;19;5;0;0;171;302;0;0;22;9
46;577;1357956108892;2930;2;681;340;2;2;2;2;2;2;2;2;2;2
47;577;1357961045271;2930;3;1171;585;8;6;8;6;8;6;8;6;8;6
48;577;1357963572472;2930;9;625;312;3;3;3;3;3;3;3;3;3;3
49;577;1357962812713;2930;2;799;399;6;6;6;6;6;6;6;6;6;6
50;577;1357957536347;2930;8;685;342;0;0;0;0;0;0;0;0;0;0
