count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;577;1357958139691;1;13792;748;7;748;54;-1;4;4;4;4;3;3;3;3;4;4
2;577;1357958710154;1;13792;748;4;748;57;28;11;8;11;8;11;8;11;8;11;8
3;577;1357959271802;1;13792;748;3;748;15;7;3;2;3;2;2;2;2;2;2;2
4;577;1357960704256;1;13792;748;74;748;137;68;3;1;1;1;170;69;1;1;1;1
5;577;1357956770001;1;13792;748;13;748;62;31;23;6;16;4;5;2;5;2;7;2
6;577;1357954254403;1;13792;748;3;748;110;-1;4;4;4;4;4;4;4;4;4;4
7;577;1357963019298;1;13792;748;9;748;142;-1;8;8;7;7;5;5;5;5;7;7
8;577;1357961267140;1;13792;748;4;748;147;73;2;1;2;1;2;1;2;1;2;1
9;577;1357963669279;1;13792;748;58;748;54;27;15;0;0;0;169;27;0;0;15;0
10;577;1357963149937;1;13792;748;1;748;70;35;1;1;1;1;1;1;1;1;1;1
11;577;1357955067918;1;13792;748;2;748;110;55;4;3;4;3;4;3;4;3;4;3
12;577;1357961611330;1;13792;748;58;748;53;26;43;4;1;1;1;1;1;1;1;1
13;577;1357954506339;1;13792;748;2;748;83;41;3;1;3;1;3;1;3;1;3;1
14;577;1357954030296;1;13792;748;2;748;67;-1;5;5;5;5;5;5;5;5;5;5
15;577;1357960837276;1;13792;748;2;748;144;72;10;7;10;7;10;7;10;7;10;7
16;577;1357957912629;1;13792;748;3;748;59;29;2;2;2;2;2;2;2;2;2;2
17;577;1357960099520;1;13792;748;1;748;110;55;4;3;4;3;4;3;4;3;4;3
18;577;1357962386923;1;13792;748;40;748;137;68;12;7;1;2;169;68;1;2;1;2
19;577;1357957588000;1;13792;748;1;748;68;34;4;3;4;3;4;3;4;3;4;3
20;577;1357961925429;1;13792;748;25;748;54;27;85;6;49;15;172;29;47;15;68;15
21;577;1357960135287;1;13792;748;4;748;19;9;3;1;0;0;0;0;0;0;0;0
22;577;1357963056959;1;13792;748;2;748;70;35;6;4;6;4;6;4;6;4;6;4
23;577;1357959779019;1;13792;748;11;748;140;70;4;1;0;0;181;80;18;16;0;0
24;577;1357954217682;1;13792;748;1;748;64;32;1;1;1;1;1;1;1;1;1;1
25;577;1357955381350;1;13792;748;41;748;137;68;6;4;0;0;169;68;0;0;0;0
26;577;1357962937605;1;13792;748;1;748;70;35;7;5;7;5;7;5;7;5;7;5
27;577;1357958594523;1;13792;748;13;748;53;26;10;0;2;0;0;0;0;0;0;0
28;577;1357958388610;1;13792;748;1;748;70;35;8;6;8;6;8;6;8;6;8;6
29;577;1357962861200;1;13792;748;1;748;70;35;0;0;0;0;0;0;0;0;0;0
30;577;1357962192379;1;13792;748;14;748;8;4;8;0;0;0;0;0;0;0;0;0
31;577;1357962297237;1;13792;748;8;748;53;-1;26;26;1;1;0;0;0;0;0;0
32;577;1357962277158;1;13792;748;5;748;18;-1;1;1;1;1;1;1;1;1;1;1
33;577;1357963037146;1;13792;748;2;748;110;55;4;3;4;3;4;3;4;3;4;3
34;577;1357960579836;1;13792;748;17;748;138;69;7;2;1;1;174;73;3;2;1;1
35;577;1357958278946;1;13792;748;22;748;137;68;9;6;5;4;169;68;4;3;9;6
36;577;1357958671145;1;13792;748;1;748;110;55;2;2;2;2;2;2;2;2;2;2
37;577;1357961727082;1;13792;748;1;748;83;41;3;3;3;3;3;3;3;3;3;3
38;577;1357958860274;1;13792;748;3;748;147;73;3;1;3;1;3;1;3;1;3;1
39;577;1357955049680;1;13792;748;1;748;68;34;3;3;3;3;3;3;3;3;3;3
40;577;1357963273679;1;13792;748;43;748;53;26;19;1;0;0;0;0;0;0;0;0
41;577;1357962792941;1;13792;748;6;748;142;71;1;0;0;0;192;90;41;35;0;0
42;577;1357955219143;1;13792;748;9;748;53;26;51;6;13;4;0;0;0;0;5;2
43;577;1357955199805;1;13792;748;28;748;137;68;6;4;0;0;169;68;0;0;0;0
44;577;1357957552699;1;13792;748;28;748;137;68;7;4;0;0;169;68;0;0;0;0
45;577;1357963654115;1;13792;748;4;748;19;9;3;1;0;0;0;0;0;0;0;0
46;577;1357955277404;1;13792;748;1;748;83;41;1;1;1;1;1;1;1;1;1;1
47;577;1357954325324;1;13792;748;2;748;58;29;0;0;0;0;0;0;0;0;0;0
48;577;1357954399716;1;13792;748;1;748;64;32;0;0;0;0;0;0;0;0;0;0
49;577;1357958006878;1;13792;748;2;748;54;27;14;1;13;1;0;0;0;0;5;0
50;577;1357959797367;1;13792;748;1;748;21;-1;2;2;2;2;2;2;2;2;2;2
51;577;1357961193291;1;13792;748;15;748;138;-1;10;10;4;4;174;174;6;6;4;4
52;577;1357961953449;1;13792;748;60;748;53;26;41;4;0;0;0;0;0;0;0;0
