count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;577;1357963381766;1;12559;675;152;675;38;19;105;13;39;1;14;11;170;19;14;11;3;1
2;577;1357958879796;1;12559;675;2;675;48;24;72;4;7;4;7;4;7;4;7;4;7;4
3;577;1357960099520;1;12559;675;2;675;93;-1;35;35;4;4;4;4;4;4;4;4;4;4
4;577;1357959252140;1;12559;675;14;675;47;23;170;19;23;2;5;2;2;2;2;2;3;2
5;577;1357963509857;1;12559;675;5;675;48;24;182;18;3;0;0;0;0;0;0;0;0;0
6;577;1357956467833;1;12559;675;1;675;66;33;138;21;16;12;16;12;16;12;16;12;16;12
7;577;1357953524279;1;12559;675;18;675;118;59;170;47;10;4;3;3;174;63;5;4;3;3
8;577;1357956273772;1;12559;675;2;675;54;27;9;0;7;3;7;3;7;3;7;3;7;3
9;577;1357957056842;1;12559;675;55;675;4;-1;286;286;163;163;19;19;170;170;19;19;152;152
10;577;1357956432037;1;12559;675;8;675;38;19;39;3;48;4;13;2;3;0;3;0;8;1
11;577;1357963587168;1;12559;675;38;675;38;19;210;16;67;5;3;3;2;2;3;3;2;2
12;577;1357961081064;1;12559;675;14;675;38;19;10;0;52;1;10;1;0;0;1;1;3;0
13;577;1357955902358;1;12559;675;2;675;66;33;247;35;15;11;15;11;15;11;15;11;15;11
14;577;1357961476787;1;12559;675;2;675;124;62;297;85;26;16;26;16;26;16;26;16;26;16
15;577;1357954754438;1;12559;675;2;675;54;27;80;11;1;1;1;1;1;1;1;1;1;1
16;577;1357960579836;1;12559;675;13;675;118;59;114;25;7;2;1;1;174;63;3;2;1;1
17;577;1357963669279;1;12559;675;28;675;39;19;244;24;15;0;0;0;169;19;0;0;15;0
18;577;1357956677393;1;12559;675;23;675;117;-1;195;195;6;6;0;0;169;169;0;0;0;0
19;577;1357962600451;1;12559;675;16;675;38;19;231;20;12;0;0;0;0;0;0;0;0;0
20;577;1357956163910;1;12559;675;20;675;117;58;143;35;15;9;8;4;169;58;0;0;12;9
21;577;1357954307594;1;12559;675;1;675;54;27;15;1;1;1;1;1;1;1;1;1;1;1
