count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;599;1358271533799;11896;234;3232;1616;0;1;0;0;0;0;0;0;0;0
2;599;1358261122593;11896;48;2216;1108;0;0;0;0;0;0;0;0;0;0
3;599;1358269036884;11896;12;150;75;0;0;0;0;0;0;0;0;0;0
4;599;1358288382633;11896;3357;693;346;86;4;0;0;0;0;0;0;0;0
5;599;1358279926420;11896;626;1689;844;108;45;4;4;3;3;3;3;3;3
6;599;1358268191332;11896;140;9;-1;6;6;45;45;392;392;258;258;5;5
7;599;1358260360672;11896;2916;309;154;38;12;11;11;11;11;11;11;11;11
8;599;1358263395376;11896;10;2162;1081;3;3;3;3;3;3;3;3;3;3
9;599;1358262817860;11896;9;1942;971;136;136;136;136;136;136;136;136;136;136
10;599;1358261922175;11896;122;196;98;185;1;65;0;0;0;1;0;25;0
11;599;1358261672241;11896;763;1;0;15;0;0;0;0;0;0;0;0;0
12;599;1358267738725;11896;899;27;13;29;1;1;1;1;1;1;1;1;1
13;599;1358270640290;11896;10;2011;1005;2;2;2;2;2;2;2;2;2;2
14;599;1358269451955;11896;359;2039;1019;2;1;0;0;0;0;0;0;0;0
15;599;1358262080164;11896;62;3232;1616;7;8;7;7;7;7;7;7;7;7
16;599;1358267647956;11896;186;701;350;6;0;0;0;0;0;0;0;0;0
17;599;1358270089080;11896;35;3232;1616;3;2;1;1;1;1;1;1;1;1
18;599;1358260746260;11896;18;1853;926;0;1;0;1;0;1;0;1;0;1
19;599;1358265005420;11896;4;150;75;0;0;0;0;0;0;0;0;0;0
20;599;1358259210538;11896;192;2094;1047;3;0;0;0;0;0;0;0;0;0
21;599;1358269909938;11896;2890;2262;1131;11;6;1;1;1;1;1;1;1;1
22;599;1358281440893;11896;947;7;3;74;0;2;0;0;0;0;0;0;0
23;599;1358266947132;11896;7;1097;548;0;1;0;1;0;1;0;1;0;1
24;599;1358267714529;11896;20;21;10;8;4;4;4;4;4;4;4;4;4
25;599;1358270546098;11896;159;3232;1616;2;2;1;1;1;1;1;1;1;1
26;599;1358261604543;11896;1044;370;185;35;0;0;0;0;0;0;0;0;0
27;599;1358263283541;11896;381;2039;1019;5;3;0;0;0;0;0;0;0;0
28;599;1358271564040;11896;54;2116;1058;8;8;6;6;5;5;5;5;5;5
29;599;1358280197839;11896;150;946;473;1;1;0;0;0;0;0;0;0;0
30;599;1358279045656;11896;12;2736;1368;1;1;1;1;1;1;1;1;1;1
31;599;1358260958935;11896;16;2538;1269;0;0;0;0;0;0;0;0;0;0
32;599;1358268887169;11896;5;150;75;0;0;0;0;0;0;0;0;0;0
33;599;1358265609150;11896;960;27;13;31;1;1;1;1;1;1;1;1;1
34;599;1358260546941;11896;21;2339;1169;2;1;0;0;0;0;0;0;0;0
35;599;1358262047469;11896;42;2216;1108;3;3;3;3;3;3;3;3;3;3
36;599;1358260831620;11896;42;2216;1108;3;3;3;3;3;3;3;3;3;3
37;599;1358281322117;11896;45;3232;1616;0;1;0;0;0;0;0;0;0;0
38;599;1358266998964;11896;2831;1686;843;96;16;0;0;0;0;0;0;0;0
39;599;1358268109561;11896;10;2340;1170;0;0;0;0;0;0;0;0;0;0
40;599;1358265994939;11896;105;2383;1191;4;3;1;1;1;1;1;1;1;1
41;599;1358270879187;11896;5;150;75;1;1;1;1;1;1;1;1;1;1
42;599;1358260989310;11896;11;2344;1172;1;1;1;1;1;1;1;1;1;1
43;599;1358264973571;11896;104;1848;924;22;4;17;4;4;4;4;4;4;4
44;599;1358279111451;11896;11;2485;1242;0;1;0;1;0;1;0;1;0;1
45;599;1358267129312;11896;9;815;407;25;21;25;21;14;15;14;15;18;15
46;599;1358278264062;11896;159;949;474;5;2;1;1;1;1;1;1;1;1
47;599;1358271018989;11896;317;577;288;13;0;0;0;0;0;0;0;0;0
48;599;1358261510298;11896;132;1796;898;6;5;0;1;0;1;0;1;0;1
49;599;1358264588728;11896;289;2200;1100;40;15;1;1;1;1;1;1;1;1
50;599;1358263217921;11896;23;2507;1253;0;0;0;0;0;0;0;0;0;0
51;599;1358270483571;11896;31;2293;1146;1;1;1;1;1;1;1;1;1;1
52;599;1358259705602;11896;2485;1685;842;95;16;0;0;0;0;0;0;0;0
53;599;1358264026922;11896;7;1097;548;0;0;0;0;0;0;0;0;0;0
54;599;1358264253992;11896;12;204;102;0;0;0;0;0;0;0;0;0;0
55;599;1358259415117;11896;2859;309;154;59;33;33;33;33;33;33;33;33;33
56;599;1358259099805;11896;4;28;14;2;2;2;2;2;2;2;2;2;2
57;599;1358262646707;11896;4;13;6;0;0;0;0;0;0;0;0;0;0
58;599;1358266367715;11896;29;2041;1020;88;58;87;57;19;20;19;20;19;20
59;599;1358267256668;11896;78;28;14;104;10;28;10;2;2;2;2;4;2
60;599;1358267093489;11896;5;206;103;2;2;2;2;2;2;2;2;2;2
61;599;1358263163196;11896;32;2293;1146;1;2;1;2;1;2;1;2;1;2
62;599;1358268583507;11896;5;150;75;1;1;1;1;1;1;1;1;1;1
63;599;1358287859621;11896;18;11;-1;1;1;1;1;393;393;0;0;3;3
64;599;1358281734374;11896;7;1096;548;8;9;8;9;8;9;8;9;8;9
65;599;1358280868223;11896;12;204;102;1;1;1;1;1;1;1;1;1;1
66;599;1358271049295;11896;23;2507;1253;0;0;0;0;0;0;0;0;0;0
67;599;1358271867730;11896;499;284;-1;141;141;6;6;394;394;5;5;101;101
68;599;1358281103250;11896;21;2294;1147;1;1;1;1;1;1;1;1;1;1
69;599;1358261894515;11896;3019;693;346;111;13;0;0;0;0;0;0;0;0
70;599;1358260007722;11896;3072;1685;842;144;14;4;4;4;4;4;4;4;4
71;599;1358278921108;11896;32;2293;1146;1;1;1;1;1;1;1;1;1;1
72;599;1358264467025;11896;11;2459;1229;2;2;2;2;2;2;2;2;2;2
73;599;1358260484598;11896;184;3232;1616;1;1;1;1;1;1;1;1;1;1
74;599;1358280836770;11896;7;953;476;22;22;22;22;22;22;22;22;22;22
75;599;1358261982393;11896;6;580;290;0;0;0;0;0;0;0;0;0;0
76;599;1358270180069;11896;5;27;13;1;0;0;0;0;0;0;0;0;0
77;599;1358279462083;11896;52;2090;1045;9;1;1;1;1;1;1;1;1;1
78;599;1358264708283;11896;45;3232;1616;7;8;7;8;7;7;7;7;7;8
79;599;1358278429609;11896;2790;693;346;233;58;1;1;1;1;12;8;1;1
80;599;1358261479981;11896;2846;309;154;68;42;42;42;42;42;42;42;42;42
81;599;1358266422633;11896;187;2;-1;58;58;3;3;2;2;2;2;2;2
82;599;1358259923867;11896;46;2530;1265;0;0;0;0;0;0;0;0;0;0
83;599;1358268915871;11896;22;2295;1147;1;1;1;1;1;1;1;1;1;1
84;599;1358270118512;11896;5;150;75;0;0;0;0;0;0;0;0;0;0
85;599;1358282994864;11896;4;150;75;1;2;1;2;1;2;1;2;1;2
86;599;1358280350384;11896;3070;1685;842;144;14;4;4;4;4;4;4;4;4
87;599;1358288623911;11896;9;1942;971;136;136;136;136;136;136;136;136;136;136
88;599;1358259859492;11896;66;1796;898;5;2;0;1;0;1;0;1;0;1
89;599;1358265037049;11896;12;204;102;1;1;1;1;1;1;1;1;1;1
90;599;1358259463851;11896;2862;309;154;46;20;19;19;19;19;19;19;19;19
91;599;1358280228842;11896;10;2011;1005;2;2;2;2;2;2;2;2;2;2
92;599;1358265163185;11896;1567;694;347;70;7;5;4;2;2;5;4;2;2
93;599;1358261359049;11896;11;2536;1268;1;1;1;1;1;1;1;1;1;1
94;599;1358280378954;11896;700;1795;897;96;18;9;3;0;0;1;1;0;0
95;599;1358259350893;11896;168;701;350;3;1;0;0;0;0;0;0;0;0
96;599;1358271995629;11896;1311;0;-1;141;141;0;0;392;392;0;0;34;34
97;599;1358282091703;11896;425;953;476;46;14;2;1;0;0;1;1;0;0
98;599;1358260771782;11896;2530;1686;843;86;9;2;2;2;2;2;2;2;2
99;599;1358282298757;11896;11;2296;1148;0;1;0;1;0;1;0;1;0;1
100;599;1358269712952;11896;22;2294;1147;1;1;1;1;1;1;1;1;1;1
101;599;1358279757800;11896;40;2205;1102;3;2;1;1;1;1;1;1;1;1
102;599;1358261239441;11896;31;2160;1080;1;0;0;0;0;0;0;0;0;0
103;599;1358282224545;11896;11;204;102;1;1;1;1;1;1;1;1;1;1
104;599;1358279177034;11896;45;2445;1222;2;1;1;1;1;1;1;1;1;1
105;599;1358265632063;11896;16;2;-1;35;35;7;7;2;2;2;2;2;2
106;599;1358279636470;11896;676;529;264;64;8;4;4;3;3;4;4;3;3
107;599;1358278350578;11896;5;150;75;0;1;0;1;0;1;0;1;0;1
108;599;1358287793955;11896;13;3233;1616;0;0;0;0;0;0;0;0;0;0
109;599;1358264407154;11896;57;3232;1616;0;1;0;0;0;0;0;0;0;0
110;599;1358282155056;11896;11;2736;1368;0;0;0;0;0;0;0;0;0;0
111;599;1358263603670;11896;10;2486;1243;2;3;2;3;2;3;2;3;2;3
112;599;1358262680342;11896;19;150;75;0;1;0;1;0;1;0;1;0;1
113;599;1358261090973;11896;195;17;8;43;4;33;2;2;2;9;2;29;2
114;599;1358270300742;11896;89;5;2;2;0;0;0;0;0;0;0;0;0
115;599;1358266616346;11896;21;2294;1147;1;1;1;1;1;1;1;1;1;1
116;599;1358260799621;11896;21;2295;1147;0;0;0;0;0;0;0;0;0;0
117;599;1358265282808;11896;12;204;102;1;1;1;1;1;1;1;1;1;1
118;599;1358267314311;11896;87;2090;1045;10;2;1;1;1;1;1;1;1;1
119;599;1358267676299;11896;11;2390;1195;2;2;2;2;2;2;2;2;2;2
120;599;1358283090285;11896;93;949;474;0;0;0;0;0;0;0;0;0;0
121;599;1358260284818;11896;36;2182;1091;3;2;1;1;1;1;1;1;1;1
122;599;1358268705674;11896;21;2295;1147;1;1;1;1;1;1;1;1;1;1
123;599;1358265254250;11896;243;1796;898;11;3;1;1;1;1;1;1;1;1
124;599;1358261006274;11896;216;371;185;17;3;3;3;3;3;3;3;3;3
125;599;1358278461563;11896;690;529;264;64;8;4;4;3;3;4;4;3;3
126;599;1358259986023;11896;47;2105;1052;6;4;3;3;3;3;3;3;3;3
127;599;1358267774408;11896;5;150;75;0;0;0;0;0;0;0;0;0;0
128;599;1358279593335;11896;224;703;351;57;32;31;19;8;8;23;17;10;8
129;599;1358265933407;11896;19;2167;1083;0;0;0;0;0;0;0;0;0;0
130;599;1358260130696;11896;10;2344;1172;2;2;2;2;2;2;2;2;2;2
131;599;1358278662973;11896;19;1861;930;0;0;0;0;0;0;0;0;0;0
132;599;1358259380054;11896;263;1796;898;6;2;1;1;1;1;1;1;1;1
133;599;1358268284518;11896;10;2296;1148;1;1;1;1;1;1;1;1;1;1
134;599;1358288233445;11896;33;2187;1093;60;38;53;32;8;8;12;11;16;10
135;599;1358271775850;11896;17;197;98;3;0;0;0;0;0;0;0;0;0
136;599;1358281702234;11896;5;150;75;0;0;0;0;0;0;0;0;0;0
137;599;1358271500939;11896;2120;700;350;141;19;10;8;1;1;8;7;1;1
138;599;1358271145665;11896;1026;1689;844;155;41;6;7;5;6;6;7;5;6
139;599;1358278956216;11896;176;3232;1616;6;6;4;4;4;4;4;4;4;4
140;599;1358264737834;11896;5;150;75;1;2;1;2;1;2;1;2;1;2
141;599;1358268972751;11896;11;2442;1221;0;0;0;0;0;0;0;0;0;0
142;599;1358265314477;11896;43;2288;1144;4;1;1;1;1;1;1;1;1;1
143;599;1358261430160;11896;45;1796;898;9;3;4;2;1;1;1;1;4;2
144;599;1358267519884;11896;21;2294;1147;2;3;2;3;2;3;2;3;2;3
145;599;1358261812571;11896;10;1;0;2;0;0;0;0;0;0;0;0;0
146;599;1358265373878;11896;5;206;103;2;2;2;2;2;2;2;2;2;2
147;599;1358268167537;11896;9;2011;1005;2;2;2;2;2;2;2;2;2;2
148;599;1358268735296;11896;11;2619;1309;0;0;0;0;0;0;0;0;0;0
149;599;1358265583739;11896;665;529;-1;85;85;21;21;399;399;18;18;46;46
150;599;1358279143585;11896;146;704;352;6;1;1;0;0;0;0;0;0;0
151;599;1358280258105;11896;12;204;102;1;1;1;1;1;1;1;1;1;1
152;599;1358267286335;11896;77;2090;1045;9;0;0;0;0;0;0;0;0;0
153;599;1358269939734;11896;22;2507;1253;0;0;0;0;0;0;0;0;0;0
154;599;1358268462472;11896;21;2294;1147;1;1;1;1;1;1;1;1;1;1
155;599;1358280564403;11896;81;2039;1019;5;4;3;3;1;1;1;1;1;1
156;599;1358282594368;11896;270;946;473;63;17;9;5;3;3;4;4;5;3
157;599;1358282740997;11896;7;1097;548;0;1;0;1;0;1;0;1;0;1
158;599;1358262313462;11896;22;21;10;4;0;0;0;0;0;0;0;0;0
159;599;1358262554343;11896;21;2295;1147;1;1;1;1;1;1;1;1;1;1
160;599;1358280087696;11896;105;1848;924;19;4;17;4;4;4;4;4;4;4
161;599;1358268137772;11896;21;2294;1147;1;1;1;1;1;1;1;1;1;1
