count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;599;1358279208610;1;1302932;3030;22;3030;194;97;27;17;27;17;27;17;27;17;27;17
2;599;1358260423139;1;1302932;3030;226;3030;185;92;11;1;1;1;1;1;1;1;1;1
3;599;1358288325204;1;1302932;3030;5;3030;17;8;1;1;1;1;1;1;1;1;1;1
4;599;1358288046157;1;1302932;3030;18;3030;208;104;0;0;0;0;0;0;0;0;0;0
5;599;1358278506703;1;1302932;3030;945;3030;25;12;32;2;1;1;1;1;1;1;1;1
6;599;1358281702234;1;1302932;3030;5;3030;4;2;0;0;0;0;0;0;0;0;0;0
7;599;1358261842374;1;1302932;3030;33;3030;157;78;5;0;0;0;0;0;0;0;0;0
8;599;1358262753781;1;1302932;3030;6;3030;0;-1;3;3;2;2;2;2;2;2;2;2
9;599;1358260159851;1;1302932;3030;669;3030;162;81;66;3;0;0;0;0;0;0;0;0
10;599;1358265005420;1;1302932;3030;5;3030;4;2;0;0;0;0;0;0;0;0;0;0
11;599;1358270327852;1;1302932;3030;11;3030;184;92;88;28;87;28;19;10;19;10;19;10
12;599;1358264026922;1;1302932;3030;6;3030;95;47;0;0;0;0;0;0;0;0;0;0
13;599;1358263998167;1;1302932;3030;17;3030;0;-1;28;28;10;10;2;2;2;2;2;2
14;599;1358281235254;1;1302932;3030;33;3030;7;3;19;2;5;2;5;2;5;2;5;2
15;599;1358266090383;1;1302932;3030;13;3030;208;104;0;0;0;0;0;0;0;0;0;0
16;599;1358265964570;1;1302932;3030;6;3030;3;1;1;1;0;0;0;0;0;0;0;0
17;599;1358259350893;1;1302932;3030;50;3030;67;33;3;0;0;0;0;0;0;0;0;0
18;599;1358266399806;1;1302932;3030;18;3030;224;112;4;3;4;3;4;3;4;3;4;3
19;599;1358266886511;1;1302932;3030;7;3030;0;-1;0;0;0;0;392;392;0;0;0;0
20;599;1358269500371;1;1302932;3030;16;3030;3;-1;4;4;1;1;393;393;1;1;1;1
21;599;1358270180069;1;1302932;3030;5;3030;1;0;1;0;0;0;0;0;0;0;0;0
22;599;1358259888484;1;1302932;3030;628;3030;137;68;107;2;1;1;1;1;1;1;1;1
23;599;1358267714529;1;1302932;3030;11;3030;6;3;8;2;4;2;4;2;4;2;4;2
24;599;1358259859492;1;1302932;3030;22;3030;157;-1;5;5;0;0;0;0;0;0;0;0
25;599;1358282625932;1;1302932;3030;31;3030;4;2;0;0;0;0;0;0;0;0;0;0
26;599;1358263365231;1;1302932;3030;17;3030;224;112;3;2;3;2;3;2;3;2;3;2
27;599;1358270453059;1;1302932;3030;7;3030;1;0;2;0;0;0;0;0;0;0;0;0
28;599;1358278264062;1;1302932;3030;40;3030;96;48;5;1;1;1;1;1;1;1;1;1
29;599;1358271775850;1;1302932;3030;9;3030;25;-1;3;3;0;0;0;0;0;0;0;0
30;599;1358281201046;1;1302932;3030;544;3030;94;47;36;3;4;2;3;2;4;2;3;2
31;599;1358268315983;1;1302932;3030;17;3030;220;-1;2;2;0;0;0;0;0;0;0;0
32;599;1358260546941;1;1302932;3030;10;3030;194;97;2;1;0;0;0;0;0;0;0;0
33;599;1358281135450;1;1302932;3030;6;3030;6;3;0;0;0;0;0;0;0;0;0;0
34;599;1358268079182;1;1302932;3030;5;3030;5;2;3;2;3;2;3;2;3;2;3;2
35;599;1358263217921;1;1302932;3030;12;3030;201;100;0;0;0;0;0;0;0;0;0;0
36;599;1358282155056;1;1302932;3030;8;3030;247;123;0;0;0;0;0;0;0;0;0;0
37;599;1358265037049;1;1302932;3030;8;3030;13;6;1;1;1;1;1;1;1;1;1;1
38;599;1358280530272;1;1302932;3030;6;3030;0;-1;6;6;6;6;392;392;18;18;6;6
39;599;1358267865205;1;1302932;3030;6;3030;57;28;2;0;0;0;0;0;0;0;0;0
40;599;1358259069622;1;1302932;3030;10;3030;225;112;1;1;1;1;1;1;1;1;1;1
41;599;1358261430160;1;1302932;3030;15;3030;157;78;9;1;4;1;1;1;1;1;4;1
42;599;1358267129312;1;1302932;3030;6;3030;57;28;25;14;25;14;14;9;14;9;18;9
43;599;1358288413196;1;1302932;3030;5;3030;4;2;0;0;0;0;0;0;0;0;0;0
44;599;1358271145665;1;1302932;3030;291;3030;137;68;155;10;6;3;5;2;6;3;5;2
45;599;1358260360672;1;1302932;3030;942;3030;47;-1;38;38;11;11;11;11;11;11;11;11
46;599;1358260195688;1;1302932;3030;62;3030;191;-1;2;2;0;0;0;0;0;0;0;0
47;599;1358266916388;1;1302932;3030;98;3030;150;75;9;3;1;1;1;1;1;1;1;1
48;599;1358279462083;1;1302932;3030;20;3030;214;-1;9;9;1;1;1;1;1;1;1;1
49;599;1358262614373;1;1302932;3030;5;3030;4;2;1;1;1;1;1;1;1;1;1;1
50;599;1358261699080;1;1302932;3030;58;3030;157;78;1;1;1;1;1;1;1;1;1;1
51;599;1358265870886;1;1302932;3030;14;3030;194;97;0;0;0;0;0;0;0;0;0;0
52;599;1358264190486;1;1302932;3030;10;3030;226;113;1;1;1;1;1;1;1;1;1;1
53;599;1358264530032;1;1302932;3030;7;3030;236;118;2;1;2;1;2;1;2;1;2;1
54;599;1358261006274;1;1302932;3030;62;3030;58;29;17;2;3;2;3;2;3;2;3;2
55;599;1358263163196;1;1302932;3030;13;3030;224;112;1;1;1;1;1;1;1;1;1;1
56;599;1358266279460;1;1302932;3030;35;3030;1;0;2;0;0;0;0;0;0;0;0;0
57;599;1358270900988;1;1302932;3030;83;3030;3;1;19;0;0;0;0;0;0;0;0;0
