count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;599;1358282962354;1;53903;11896;20;2457;8;4;766;6;12;3;5;2;4;2;4;2;5;2
2;599;1358287952777;1;53903;11896;12;2457;144;72;156;16;0;0;0;0;0;0;0;0;0;0
3;599;1358261982393;1;53903;11896;6;2457;33;16;43;1;0;0;0;0;0;0;0;0;0;0
4;599;1358283090285;1;53903;11896;16;2457;27;-1;711;711;0;0;0;0;0;0;0;0;0;0
5;599;1358271867730;1;53903;11896;97;2457;9;-1;392;392;141;141;6;6;394;394;5;5;101;101
6;599;1358261510298;1;53903;11896;26;2457;98;-1;526;526;6;6;0;0;0;0;0;0;0;0
7;599;1358268673237;1;53903;11896;8;2457;134;67;285;40;1;1;1;1;1;1;1;1;1;1
8;599;1358280103051;1;53903;11896;49;2457;43;21;271;9;15;2;3;2;3;2;3;2;3;2
9;599;1358266795953;1;53903;11896;5;2457;6;3;621;2;4;1;4;1;4;1;4;1;4;1
10;599;1358270268018;1;53903;11896;10;2457;134;67;600;89;1;1;1;1;1;1;1;1;1;1
11;599;1358261359049;1;53903;11896;8;2457;150;75;213;28;1;1;1;1;1;1;1;1;1;1
12;599;1358260159851;1;53903;11896;389;2457;97;48;633;66;66;1;0;0;0;0;0;0;0;0
13;599;1358271470677;1;53903;11896;350;2457;57;28;474;30;61;8;1;1;0;0;0;0;0;0
14;599;1358260390570;1;53903;11896;5;2457;3;1;78;0;0;0;0;0;0;0;0;0;0;0
15;599;1358259527910;1;53903;11896;9;2457;134;67;607;90;1;1;1;1;1;1;1;1;1;1
16;599;1358280564403;1;53903;11896;18;2457;130;65;596;92;5;1;3;1;1;0;1;0;1;0
17;599;1358266526103;1;53903;11896;6;2457;2;-1;478;478;0;0;0;0;0;0;0;0;0;0
18;599;1358281135450;1;53903;11896;6;2457;6;3;658;4;0;0;0;0;0;0;0;0;0;0
19;599;1358278979187;1;53903;11896;497;2457;96;48;85;9;159;15;11;8;11;8;11;8;11;8
20;599;1358262977122;1;53903;11896;7;2457;29;14;663;22;34;7;33;7;11;4;11;4;21;4
21;599;1358267548445;1;53903;11896;7;2457;6;-1;544;544;19;19;18;18;2;2;2;2;12;12
22;599;1358260100345;1;53903;11896;8;2457;123;-1;523;523;2;2;1;1;1;1;1;1;1;1
23;599;1358268490651;1;53903;11896;9;2457;136;68;391;46;1;1;1;1;1;1;1;1;1;1
24;599;1358269385785;1;53903;11896;8;2457;134;67;58;14;2;1;2;1;2;1;2;1;2;1
25;599;1358270761025;1;53903;11896;313;2457;127;63;126;14;10;1;0;0;0;0;0;0;0;0
26;599;1358265102621;1;53903;11896;17;2457;110;55;502;64;145;27;87;19;60;19;62;19;70;19
27;599;1358269823872;1;53903;11896;32;2457;205;102;160;30;2;0;0;0;0;0;0;0;0;0
28;599;1358280449491;1;53903;11896;462;2457;0;-1;651;651;93;93;0;0;0;0;0;0;0;0
29;599;1358266156290;1;53903;11896;12;2457;138;69;239;34;0;0;0;0;0;0;0;0;0;0
30;599;1358279757800;1;53903;11896;13;2457;172;86;94;17;3;1;1;1;1;1;1;1;1;1
31;599;1358264342796;1;53903;11896;178;2457;13;6;193;3;35;0;0;0;0;0;0;0;0;0
32;599;1358282706837;1;53903;11896;6;2457;2;1;709;1;1;0;0;0;0;0;0;0;0;0
33;599;1358270609687;1;53903;11896;9;2457;134;67;688;98;1;1;1;1;1;1;1;1;1;1
34;599;1358280258105;1;53903;11896;8;2457;12;6;109;2;1;1;1;1;1;1;1;1;1;1
35;599;1358259380054;1;53903;11896;50;2457;117;58;261;30;6;1;1;1;1;1;1;1;1;1
36;599;1358271807495;1;53903;11896;57;2457;167;83;487;84;40;7;1;0;1;0;1;0;1;0
37;599;1358262313462;1;53903;11896;12;2457;6;3;673;4;4;0;0;0;0;0;0;0;0;0
38;599;1358281801528;1;53903;11896;7;2457;29;14;185;10;34;7;33;7;11;4;11;4;21;4
39;599;1358280350384;1;53903;11896;501;2457;96;48;571;63;144;8;4;2;4;2;4;2;4;2
40;599;1358264680113;1;53903;11896;6;2457;6;3;38;1;0;0;0;0;0;0;0;0;0;0
41;599;1358265132313;1;53903;11896;114;2457;27;-1;54;54;85;85;21;21;399;399;18;18;44;44
42;599;1358270453059;1;53903;11896;7;2457;1;0;477;0;2;0;0;0;0;0;0;0;0;0
43;599;1358271500939;1;53903;11896;380;2457;38;19;496;20;141;7;10;5;1;1;8;5;1;1
44;599;1358271916766;1;53903;11896;537;2457;24;-1;448;448;61;61;8;8;8;8;8;8;8;8
45;599;1358278506703;1;53903;11896;527;2457;6;-1;283;283;32;32;1;1;1;1;1;1;1;1
46;599;1358288592308;1;53903;11896;6;2457;7;3;111;0;4;2;4;2;4;2;4;2;4;2
47;599;1358266886511;1;53903;11896;6;2457;0;-1;477;477;0;0;0;0;392;392;0;0;0;0
48;599;1358261209597;1;53903;11896;510;2457;6;-1;672;672;153;153;14;14;0;0;14;14;0;0
49;599;1358288531456;1;53903;11896;6;2457;4;2;264;0;1;1;1;1;1;1;1;1;1;1
50;599;1358259350893;1;53903;11896;33;2457;39;19;503;23;3;0;0;0;0;0;0;0;0;0
51;599;1358263038521;1;53903;11896;55;2457;0;-1;291;291;220;220;34;34;392;392;20;20;35;35
52;599;1358268553649;1;53903;11896;5;2457;4;2;15;0;0;0;0;0;0;0;0;0;0;0
53;599;1358279279117;1;53903;11896;5;2457;4;2;115;0;0;0;0;0;0;0;0;0;0;0
54;599;1358282994864;1;53903;11896;5;2457;4;2;73;0;1;1;1;1;1;1;1;1;1;1
55;599;1358261573497;1;53903;11896;6;2457;38;19;640;24;1;1;1;1;1;1;1;1;1;1
56;599;1358264149033;1;53903;11896;5;2457;4;2;594;2;0;0;0;0;0;0;0;0;0;0
57;599;1358270180069;1;53903;11896;5;2457;1;0;41;0;1;0;0;0;0;0;0;0;0;0
58;599;1358271564040;1;53903;11896;14;2457;134;67;624;94;8;5;6;5;5;4;5;4;5;4
59;599;1358280802695;1;53903;11896;8;2457;205;102;78;18;1;1;1;1;1;1;1;1;1;1
60;599;1358278921108;2;53903;11896;10;2517;139;69;379;55;1;1;1;1;1;1;1;1;1;1
