count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;599;1358265632063;1;1309672;2910;30;2910;0;-1;778;778;35;35;7;7;2;2;2;2;2;2
2;599;1358287983148;1;1309672;2910;7;2910;13;6;136;0;1;1;1;1;1;1;1;1;1;1
3;599;1358269882743;1;1309672;2910;16;2910;230;115;265;62;3;3;3;3;3;3;3;3;3;3
4;599;1358267988924;1;1309672;2910;24;2910;250;125;142;35;2;1;1;1;1;1;1;1;1;1
5;599;1358268793650;1;1309672;2910;242;2910;1;0;718;0;15;0;0;0;0;0;0;0;0;0
6;599;1358280498391;1;1309672;2910;36;2910;0;-1;412;412;27;27;2;2;2;2;2;2;2;2
7;599;1358278264062;1;1309672;2910;40;2910;91;45;511;42;5;1;1;1;1;1;1;1;1;1
8;599;1358278860505;1;1309672;2910;7;2910;218;-1;380;380;2;2;2;2;2;2;2;2;2;2
9;599;1358288683041;1;1309672;2910;17;2910;223;111;60;16;3;0;2;0;2;0;2;0;2;0
10;599;1358268433350;1;1309672;2910;41;2910;159;79;182;26;14;1;12;1;1;1;1;1;4;1
11;599;1358262977122;1;1309672;2910;7;2910;56;28;176;5;34;11;33;11;11;6;11;6;21;6
12;599;1358282298757;1;1309672;2910;8;2910;222;111;315;63;0;0;0;0;0;0;0;0;0;0
13;599;1358268705674;1;1309672;2910;11;2910;220;110;224;42;1;1;1;1;1;1;1;1;1;1
14;599;1358261922175;1;1309672;2910;44;2910;26;13;233;4;185;1;65;0;0;0;1;0;25;0
15;599;1358270392073;1;1309672;2910;13;2910;202;101;406;70;4;3;2;2;2;2;2;2;2;2
16;599;1358264886170;1;1309672;2910;6;2910;4;-1;330;330;2;2;2;2;2;2;2;2;2;2
17;599;1358265583739;1;1309672;2910;184;2910;39;-1;783;783;85;85;21;21;399;399;18;18;46;46
18;599;1358281235254;1;1309672;2910;31;2910;7;3;673;5;19;2;5;2;5;2;5;2;5;2
19;599;1358281383118;1;1309672;2910;5;2910;5;2;21;0;0;0;0;0;0;0;0;0;0;0
