count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;600;1357992756514;6515;2424;468;234;74;17;10;4;0;0;10;4;0;0
2;600;1358006188053;6515;314;1543;771;4;4;1;1;1;1;1;1;1;1
3;600;1358002848439;6515;578;1564;782;3;1;1;1;1;1;1;1;1;1
4;600;1357992656900;6515;82;1566;783;10;8;1;1;1;1;1;1;1;1
5;600;1357991887216;6515;646;468;234;234;151;67;66;19;19;42;42;25;25
6;600;1357999970355;6515;2799;638;319;162;92;22;15;9;9;33;15;9;9
7;600;1358001088426;6515;373;1543;771;21;13;7;2;2;2;2;2;2;2
8;600;1357991774532;6515;57;1550;775;0;0;0;0;0;0;0;0;0;0
9;600;1358005116355;6515;196;1543;771;189;151;32;14;7;6;13;6;7;6
10;600;1358003061134;6515;171;468;234;3;2;0;0;0;0;0;0;0;0
11;600;1357994399644;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
12;600;1357995483436;6515;21;1566;783;7;2;7;2;5;2;5;2;5;2
13;600;1358000682717;6515;98;1543;771;0;0;0;0;0;0;0;0;0;0
14;600;1358002503221;6515;126;1557;-1;65;65;23;23;21;21;21;21;21;21
15;600;1358001137922;6515;92;1564;782;0;0;0;0;0;0;0;0;0;0
16;600;1358000883257;6515;4227;632;316;67;43;3;3;3;3;3;3;3;3
17;600;1357994204623;6515;1636;1543;771;20;20;0;0;0;0;0;0;0;0
18;600;1358005308296;6515;769;9;4;8;0;0;0;0;0;0;0;0;0
19;600;1357994293493;6515;1408;1543;771;21;15;0;0;0;0;0;0;0;0
20;600;1358004343653;6515;82;1557;-1;3;3;3;3;3;3;3;3;3;3
21;600;1358002686370;6515;567;1564;782;2;1;1;1;1;1;1;1;1;1
22;600;1357991370370;6515;126;1543;771;3;0;0;0;0;0;0;0;0;0
23;600;1358002733569;6515;21;1565;782;15;11;15;11;15;11;15;11;15;11
24;600;1357993912911;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
25;600;1358003380057;6515;221;7;3;1;0;0;0;0;0;0;0;0;0
26;600;1358006962727;6515;3105;468;234;211;30;0;0;0;0;0;0;0;0
27;600;1357995157094;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
28;600;1357992743307;6515;2784;1549;774;54;49;0;0;0;0;0;0;0;0
29;600;1358004145270;6515;22;1543;771;0;0;0;0;0;0;0;0;0;0
30;600;1357991054705;6515;117;91;45;0;0;0;0;0;0;0;0;0;0
31;600;1358007541538;6515;164;1564;782;10;5;5;1;4;1;4;1;4;1
32;600;1357995457139;6515;39;1564;782;13;6;11;6;6;2;6;2;6;2
33;600;1357995664374;6515;13;1562;781;1;1;1;1;1;1;1;1;1;1
34;600;1357995864715;6515;70;640;320;3;1;1;1;1;1;1;1;1;1
35;600;1358006923113;6515;21;1550;775;2;2;2;2;2;2;2;2;2;2
36;600;1358000437433;6515;266;1543;771;17;9;0;0;0;0;0;0;0;0
37;600;1357993579946;6515;89;468;234;128;98;64;43;10;10;37;31;34;21
38;600;1358003542113;6515;39;1563;781;0;0;0;0;0;0;0;0;0;0
39;600;1358006704387;6515;3804;3;-1;32;32;274;274;480;480;278;278;107;107
40;600;1358004561430;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
41;600;1357992879143;6515;2465;468;234;24;7;1;1;1;1;1;1;1;1
42;600;1358007331246;6515;21;1550;775;0;0;0;0;0;0;0;0;0;0
43;600;1357991960913;6515;281;1543;771;12;2;1;0;1;0;1;0;1;0
44;600;1358007491395;6515;194;632;316;2;1;1;1;1;1;1;1;1;1
45;600;1357992931920;6515;240;1543;771;2;2;0;0;0;0;0;0;0;0
46;600;1357992190291;6515;299;1543;771;3;3;0;0;0;0;0;0;0;0
47;600;1358005538020;6515;8;2;1;1;0;0;0;0;0;0;0;0;0
48;600;1358001653702;6515;3459;1543;771;17;12;0;0;0;0;0;0;0;0
49;600;1358007136123;6515;134;1543;771;0;0;0;0;0;0;0;0;0;0
50;600;1358001019787;6515;13;641;320;1;0;0;0;0;0;0;0;0;0
51;600;1357991296835;6515;9;469;234;61;61;61;61;61;61;61;61;61;61
52;600;1358007356773;6515;21;1543;771;0;0;0;0;0;0;0;0;0;0
53;600;1357993669667;6515;1774;468;234;282;74;34;28;0;0;33;27;0;0
54;600;1358004265985;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
55;600;1357992778636;6515;2076;630;315;7;4;2;2;2;2;2;2;2;2
56;600;1357994536305;6515;73;1543;771;0;0;0;0;0;0;0;0;0;0
57;600;1357993453862;6515;172;1543;771;6;6;1;1;1;1;1;1;1;1
58;600;1357994853144;6515;359;468;234;250;112;57;49;28;28;39;33;30;30
59;600;1358007945818;6515;64;1558;779;46;24;27;13;13;8;13;8;13;8
60;600;1358005027626;6515;30;1543;771;0;0;0;0;0;0;0;0;0;0
61;600;1357993850441;6515;108;1543;-1;52;52;6;6;0;0;0;0;0;0
62;600;1357994041147;6515;38;1543;771;57;50;32;27;10;10;10;10;10;10
63;600;1358003891748;6515;1542;748;374;53;3;0;0;0;0;0;0;0;0
64;600;1358005050570;6515;139;750;375;4;0;0;0;0;0;0;0;0;0
65;600;1358006947565;6515;173;632;316;33;18;15;10;10;8;14;10;10;8
66;600;1358002640461;6515;936;1543;771;76;46;20;11;3;3;7;4;3;3
67;600;1358003021820;6515;570;1557;-1;141;141;21;21;20;20;20;20;20;20
68;600;1358003037161;6515;3177;630;315;50;20;2;2;2;2;2;2;2;2
69;600;1358004963899;6515;161;1543;771;28;27;6;6;0;0;0;0;0;0
70;600;1358001356922;6515;38;1566;783;1;1;1;1;1;1;1;1;1;1
71;600;1357992248142;6515;2369;468;234;43;8;0;0;0;0;0;0;0;0
72;600;1357995119956;6515;38;1549;774;0;0;0;0;0;0;0;0;0;0
73;600;1358000968916;6515;21;1550;775;5;5;5;5;5;5;5;5;5;5
74;600;1357991222463;6515;331;638;319;105;41;39;34;25;24;35;34;27;24
75;600;1358007844174;6515;844;632;316;32;15;0;0;0;0;0;0;0;0
76;600;1357995273096;6515;737;1543;771;179;117;19;12;2;2;2;2;2;2
77;600;1357995094859;6515;205;1543;771;1;1;0;0;0;0;0;0;0;0
78;600;1357993174434;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
79;600;1358004687697;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
80;600;1358007797813;6515;405;53;26;2;1;1;1;1;1;1;1;1;1
81;600;1357995026772;6515;1582;1543;771;10;9;0;0;0;0;0;0;0;0
82;600;1357995811123;6515;1277;741;370;31;10;2;2;2;2;2;2;2;2
83;600;1357992720645;6515;19;126;63;12;0;8;0;0;0;0;0;0;0
84;600;1358001407249;6515;182;682;341;5;1;0;0;0;0;0;0;0;0
85;600;1358006433449;6515;204;1543;771;190;152;32;14;8;6;13;6;8;6
86;600;1358002317130;6515;491;1543;771;1;1;0;0;0;0;0;0;0;0
87;600;1357994270055;6515;21;1543;771;4;4;2;2;1;1;1;1;1;1
88;600;1358005164352;6515;107;1543;771;1;1;0;0;0;0;0;0;0;0
89;600;1358002527238;6515;166;632;316;261;105;128;94;32;32;73;71;32;32
90;600;1358004635180;6515;3843;468;234;89;34;16;16;16;16;26;22;16;16
91;600;1358007973354;6515;216;1543;771;99;58;40;34;28;28;33;29;28;28
92;600;1357995380765;6515;38;1557;-1;63;63;36;36;36;36;36;36;36;36
93;600;1358004248205;6515;1421;1543;771;30;24;0;0;0;0;0;0;0;0
94;600;1357999957471;6515;13;1574;787;0;0;0;0;0;0;0;0;0;0
95;600;1357991703529;6515;137;1549;774;3;0;0;0;0;0;0;0;0;0
96;600;1357992447936;6515;13;1550;775;0;0;0;0;0;0;0;0;0;0
97;600;1358001560941;6515;1602;1543;771;18;16;0;0;0;0;0;0;0;0
98;600;1357994114616;6515;341;1543;-1;7;7;1;1;1;1;1;1;1;1
99;600;1358006063050;6515;144;1543;-1;13;13;10;10;6;6;6;6;6;6
100;600;1358002173748;6515;89;1543;771;2;2;2;2;2;2;2;2;2;2
101;600;1357995138479;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
102;600;1358002119833;6515;127;91;45;0;0;0;0;0;0;0;0;0;0
103;600;1357992904716;6515;80;1550;775;0;0;0;0;0;0;0;0;0;0
104;600;1357994018366;6515;169;1549;774;3;1;0;0;0;0;0;0;0;0
105;600;1358002094454;6515;2400;1543;771;20;19;0;0;0;0;0;0;0;0
106;600;1357999730626;6515;177;1563;781;5;4;2;1;2;1;2;1;2;1
107;600;1357995892073;6515;64;1543;771;0;0;0;0;0;0;0;0;0;0
108;600;1358001065969;6515;1687;468;234;47;17;0;0;0;0;0;0;0;0
109;600;1357991271405;6515;537;1564;782;10;8;1;1;1;1;1;1;1;1
110;600;1357993347849;6515;21;1549;774;0;0;0;0;0;0;0;0;0;0
111;600;1357992960374;6515;21;1550;775;0;0;0;0;0;0;0;0;0;0
112;600;1358003234264;6515;81;1550;775;0;0;0;0;0;0;0;0;0;0
113;600;1358000538291;6515;97;1543;771;50;13;1;1;1;1;1;1;1;1
114;600;1357999880730;6515;13;1574;787;0;0;0;0;0;0;0;0;0;0
115;600;1358001951708;6515;74;1543;-1;61;61;10;10;8;8;8;8;10;10
116;600;1357993930886;6515;17;468;234;83;71;55;46;13;13;17;17;16;16
117;600;1358003102947;6515;3166;1543;771;47;32;0;0;0;0;0;0;0;0
118;600;1358000560178;6515;945;91;-1;65;65;2;2;2;2;2;2;2;2
119;600;1358003085522;6515;757;1543;771;123;71;29;23;3;3;3;3;3;3
120;600;1358005625910;6515;262;1543;771;12;2;7;0;0;0;0;0;0;0
121;600;1357992013922;6515;46;1550;775;2;2;2;2;2;2;2;2;2;2
122;600;1358007382704;6515;30;1572;786;6;5;4;3;1;1;1;1;1;1
123;600;1358002001516;6515;39;1563;781;2;2;2;2;2;2;2;2;2;2
124;600;1358006553154;6515;21;1543;771;5;5;1;1;1;1;1;1;1;1
125;600;1357992041474;6515;172;1549;774;33;33;17;17;9;9;9;9;12;12
126;600;1357995299020;6515;97;1543;-1;34;34;11;11;3;3;3;3;3;3
127;600;1357993408925;6515;64;1550;775;36;2;1;1;1;1;1;1;1;1
128;600;1357991650894;6515;302;468;234;200;115;66;52;20;20;31;31;29;28
129;600;1357994803720;6515;16;468;234;83;71;55;46;13;13;17;17;16;16
130;600;1358007408382;6515;13;1544;772;0;0;0;0;0;0;0;0;0;0
131;600;1358005333493;6515;38;1557;778;1;1;1;1;1;1;1;1;1;1
132;600;1358003711082;6515;210;1549;774;0;0;0;0;0;0;0;0;0;0
133;600;1358005588470;6515;623;1543;771;48;40;6;2;2;2;2;2;2;2
