count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;600;1358006850099;1;3338678;2473;96;2473;410;205;19;3;11;1;10;1;10;1;10;1
2;600;1357991427502;1;3338678;2473;125;2473;409;204;174;44;101;20;8;1;14;1;34;5
3;600;1358007331246;1;3338678;2473;15;2473;412;206;0;0;0;0;0;0;0;0;0;0
4;600;1357991007630;1;3338678;2473;14;2473;17;8;10;0;10;0;0;0;0;0;0;0
5;600;1357991676003;1;3338678;2473;10;2473;150;-1;1;1;1;1;1;1;1;1;1;1
6;600;1358000200545;1;3338678;2473;100;2473;409;204;5;0;0;0;0;0;0;0;0;0
7;600;1358004848148;1;3338678;2473;937;2473;16;8;49;1;0;0;0;0;0;0;0;0
8;600;1358007651249;1;3338678;2473;50;2473;146;73;52;4;12;1;6;1;10;1;6;1
9;600;1358003616344;1;3338678;2473;153;2473;409;204;8;6;1;1;1;1;1;1;1;1
10;600;1358001504510;1;3338678;2473;39;2473;413;206;43;9;27;5;8;0;8;0;10;0
11;600;1358007491395;1;3338678;2473;116;2473;146;73;2;0;1;0;1;0;1;0;1;0
12;600;1357995864715;1;3338678;2473;41;2473;149;-1;3;3;1;1;1;1;1;1;1;1
13;600;1358001865080;1;3338678;2473;198;2473;409;-1;47;47;7;7;7;7;7;7;7;7
14;600;1358002848439;1;3338678;2473;238;2473;414;207;3;1;1;0;1;0;1;0;1;0
15;600;1358004625454;1;3338678;2473;891;2473;16;8;54;1;0;0;0;0;0;0;0;0
16;600;1357993198818;1;3338678;2473;61;2473;15;7;0;0;0;0;0;0;0;0;0;0
17;600;1357992374001;1;3338678;2473;128;2473;409;204;3;1;0;0;0;0;0;0;0;0
18;600;1358008024236;1;3338678;2473;169;2473;406;203;82;29;26;9;0;0;2;1;4;3
19;600;1358005361282;1;3338678;2473;1657;2473;133;66;38;6;7;6;7;6;7;6;7;6
20;600;1357992607282;1;3338678;2473;12;2473;411;-1;34;34;34;34;34;34;34;34;34;34
21;600;1358005749131;1;3338678;2473;12;2473;133;66;83;31;55;16;13;11;17;12;16;12
22;600;1357992865537;1;3338678;2473;86;2473;146;73;33;7;15;4;10;4;14;4;10;4
23;600;1357995713822;1;3338678;2473;26;2473;415;-1;0;0;0;0;0;0;0;0;0;0
24;600;1357995533042;1;3338678;2473;20;2473;417;208;6;4;4;2;1;1;1;1;1;1
25;600;1358005027626;1;3338678;2473;19;2473;409;204;0;0;0;0;0;0;0;0;0;0
26;600;1357991987717;1;3338678;2473;22;2473;412;206;0;0;0;0;0;0;0;0;0;0
27;600;1357994482980;1;3338678;2473;24;2473;410;205;0;0;0;0;0;0;0;0;0;0
28;600;1358002051538;1;3338678;2473;8;2473;3;1;0;0;0;0;0;0;0;0;0;0
29;600;1357994589951;1;3338678;2473;10;2473;3;1;0;0;0;0;0;0;0;0;0;0
30;600;1358002382162;1;3338678;2473;345;2473;409;204;125;33;31;7;4;2;9;2;4;2
31;600;1358006987855;1;3338678;2473;98;2473;146;73;347;65;163;52;66;30;102;39;66;30
32;600;1358007213151;1;3338678;2473;89;2473;133;66;276;39;99;24;22;12;37;14;23;12
33;600;1358002663461;1;3338678;2473;15;2473;410;205;4;0;2;0;1;0;1;0;1;0
34;600;1357992743307;1;3338678;2473;1181;2473;410;205;54;29;0;0;0;0;0;0;0;0
35;600;1357994947821;1;3338678;2473;12;2473;133;66;83;31;55;16;13;11;17;12;16;12
36;600;1358003305041;1;3338678;2473;1074;2473;406;203;43;4;1;0;1;0;1;0;1;0
37;600;1358005351728;1;3338678;2473;11;2473;133;66;83;31;55;16;13;11;17;12;16;12
38;600;1358002291183;1;3338678;2473;9;2473;150;-1;3;3;3;3;3;3;3;3;3;3
39;600;1358003642371;1;3338678;2473;14;2473;416;-1;2;2;2;2;2;2;2;2;2;2
40;600;1357994536305;1;3338678;2473;35;2473;409;204;0;0;0;0;0;0;0;0;0;0
41;600;1357993347849;1;3338678;2473;14;2473;407;203;0;0;0;0;0;0;0;0;0;0
42;600;1358006947565;1;3338678;2473;91;2473;146;73;33;7;15;4;10;4;14;4;10;4
43;600;1358003354354;1;3338678;2473;30;2473;413;206;4;0;3;0;3;0;3;0;3;0
44;600;1357994218435;1;3338678;2473;1271;2473;133;66;227;17;4;2;2;2;4;2;2;2
45;600;1357992295203;1;3338678;2473;22;2473;413;206;0;0;0;0;0;0;0;0;0;0
46;600;1358003979643;1;3338678;2473;118;2473;409;204;3;0;0;0;0;0;0;0;0;0
47;600;1358003786058;1;3338678;2473;112;2473;410;205;0;0;0;0;0;0;0;0;0;0
48;600;1358000940953;1;3338678;2473;58;2473;409;204;53;22;46;17;0;0;3;1;1;0
49;600;1357999808913;1;3338678;2473;26;2473;409;-1;1;1;1;1;1;1;1;1;1;1
50;600;1357994204623;1;3338678;2473;694;2473;406;203;20;15;0;0;0;0;0;0;0;0
51;600;1358004542452;1;3338678;2473;32;2473;413;206;0;0;0;0;0;0;0;0;0;0
52;600;1358005308296;1;3338678;2473;313;2473;5;2;8;0;0;0;0;0;0;0;0;0
53;600;1358005164352;1;3338678;2473;49;2473;409;204;1;1;0;0;0;0;0;0;0;0
54;600;1358004579106;1;3338678;2473;13;2473;133;66;83;31;55;16;13;11;17;12;16;12
55;600;1357993319353;1;3338678;2473;965;2473;146;73;17;4;12;3;8;3;12;3;8;3
56;600;1358005970631;1;3338678;2473;1241;2473;148;74;179;38;35;8;7;4;38;8;8;4
57;600;1358003425512;1;3338678;2473;53;2473;412;-1;65;65;23;23;21;21;21;21;21;21
58;600;1358000968916;1;3338678;2473;14;2473;412;206;5;2;5;2;5;2;5;2;5;2
59;600;1358004873409;1;3338678;2473;30;2473;409;204;0;0;0;0;0;0;0;0;0;0
60;600;1358002733569;1;3338678;2473;15;2473;413;-1;15;15;15;15;15;15;15;15;15;15
61;600;1357995920248;2;3338678;2392;69;2392;411;-1;58;58;27;27;18;18;18;18;20;20
62;600;1358000758185;2;3338678;2392;20;2392;411;205;12;5;4;2;0;0;0;0;0;0
63;600;1357993651892;2;3338678;2392;12;2392;136;68;83;31;55;15;13;11;17;12;16;11
64;600;1358006356902;2;3338678;2392;168;2392;149;74;288;35;82;19;39;12;47;13;41;12
65;600;1358001188930;2;3338678;2392;53;2392;412;206;1;1;1;1;1;1;1;1;1;1
66;600;1358007541538;2;3338678;2392;74;2392;413;206;10;0;5;0;4;0;4;0;4;0
67;600;1358004982480;2;3338678;2392;12;2392;136;68;83;31;55;15;13;11;17;12;16;11
68;600;1358000631809;2;3338678;2392;194;2392;9;-1;2;2;1;1;1;1;1;1;1;1
69;600;1358004367142;2;3338678;2392;496;2392;136;68;65;1;2;0;1;0;1;0;1;0
70;600;1357992472412;2;3338678;2392;21;2392;408;-1;27;27;19;19;10;10;10;10;10;10
71;600;1358005225731;2;3338678;2392;15;2392;408;-1;25;25;25;25;23;23;23;23;23;23
72;600;1357991824943;2;3338678;2392;21;2392;411;205;1;1;1;1;1;1;1;1;1;1
73;600;1357991344742;2;3338678;2392;103;2392;149;74;0;0;0;0;0;0;0;0;0;0
74;600;1358007820868;2;3338678;2392;85;2392;408;204;188;58;30;4;4;0;12;0;4;0
75;600;1357993753241;2;3338678;2392;12;2392;136;68;83;31;55;15;13;11;17;12;16;11
76;600;1358007466836;2;3338678;2392;1062;2392;136;68;90;12;25;9;19;9;25;9;19;9
77;600;1357993579946;2;3338678;2392;46;2392;136;68;128;34;64;19;10;8;37;19;34;8
78;600;1358006691808;2;3338678;2392;82;2392;136;68;276;38;99;23;22;12;37;14;23;12
79;600;1357995608913;2;3338678;2392;19;2392;409;-1;0;0;0;0;0;0;0;0;0;0
80;600;1358001826053;2;3338678;2392;25;2392;408;204;0;0;0;0;0;0;0;0;0;0
81;600;1357995790430;2;3338678;2392;11;2392;152;-1;4;4;1;1;1;1;1;1;1;1
82;600;1357993297235;2;3338678;2392;42;2392;409;-1;10;10;4;4;0;0;0;0;1;1
83;600;1357993014723;2;3338678;2392;11;2392;412;206;5;2;5;2;5;2;5;2;5;2
84;600;1358003686086;2;3338678;2392;227;2392;413;206;3;1;0;0;0;0;0;0;0;0
85;600;1357992041474;2;3338678;2392;60;2392;409;204;33;12;17;4;9;1;9;1;12;1
86;600;1357993876795;2;3338678;2392;11;2392;409;204;36;9;36;9;36;9;36;9;36;9
87;600;1358004248205;2;3338678;2392;592;2392;408;204;30;17;0;0;0;0;0;0;0;0
88;600;1357993930886;2;3338678;2392;12;2392;136;68;83;31;55;15;13;11;17;12;16;11
89;600;1357993081170;2;3338678;2392;12;2392;412;-1;9;9;9;9;9;9;9;9;9;9
90;600;1358004386400;2;3338678;2392;12;2392;136;68;83;31;55;15;13;11;17;12;16;11
91;600;1358000783099;2;3338678;2392;10;2392;137;-1;10;10;10;10;10;10;10;10;10;10
92;600;1357992816118;2;3338678;2392;459;2392;136;68;325;47;36;23;19;14;23;16;19;14
93;600;1357995352223;2;3338678;2392;59;2392;408;204;1;1;0;0;0;0;0;0;0;0
94;600;1357991452845;2;3338678;2392;226;2392;414;207;5;1;1;1;1;1;1;1;1;1
95;600;1358005995131;2;3338678;2392;11;2392;410;205;17;5;17;5;17;5;17;5;17;5
96;600;1358003809581;2;3338678;2392;139;2392;416;208;1;1;0;0;0;0;0;0;0;0
97;600;1357991887216;2;3338678;2392;266;2392;136;68;234;57;67;35;19;11;42;17;25;11
98;600;1358002709165;2;3338678;2392;22;2392;0;-1;3;3;0;0;0;0;0;0;0;0
99;600;1357993217098;2;3338678;2392;12;2392;136;68;83;31;55;15;13;11;17;12;16;11
100;600;1357991774532;2;3338678;2392;29;2392;411;205;0;0;0;0;0;0;0;0;0;0
101;600;1358001088426;2;3338678;2392;163;2392;405;202;21;7;7;0;2;0;2;0;2;0
102;600;1358001430636;2;3338678;2392;18;2392;409;-1;0;0;0;0;0;0;0;0;0;0
103;600;1358002200019;2;3338678;2392;11;2392;410;205;0;0;0;0;0;0;0;0;0;0
104;600;1357994089293;2;3338678;2392;22;2392;412;206;2;0;2;0;2;0;2;0;2;0
105;600;1358003102947;2;3338678;2392;1316;2392;405;202;47;16;0;0;0;0;0;0;0;0
106;600;1357995006119;2;3338678;2392;1256;2392;136;68;280;32;28;17;7;5;36;19;7;5
107;600;1358003402668;2;3338678;2392;21;2392;412;206;3;3;3;3;3;3;3;3;3;3
108;600;1358007261551;2;3338678;2392;66;2392;0;-1;10;10;0;0;480;480;0;0;4;4
109;600;1358006161321;2;3338678;2392;119;2392;16;8;90;1;15;0;0;0;0;0;0;0
110;600;1358002475688;2;3338678;2392;263;2392;408;204;139;32;21;4;3;0;3;0;3;0
111;600;1358006236729;2;3338678;2392;93;2392;149;74;185;36;80;23;62;21;66;21;63;21
112;600;1358006188053;2;3338678;2392;123;2392;408;204;4;2;1;1;1;1;1;1;1;1
113;600;1358000852106;2;3338678;2392;1248;2392;136;-1;90;90;0;0;0;0;0;0;0;0
114;600;1358003210951;2;3338678;2392;376;2392;408;204;44;17;4;0;0;0;0;0;0;0
115;600;1358007844174;2;3338678;2392;310;2392;149;74;32;3;0;0;0;0;0;0;0;0
116;600;1358007382704;2;3338678;2392;18;2392;416;208;6;4;4;2;1;1;1;1;1;1
117;600;1358000587100;2;3338678;2392;75;2392;408;204;65;17;2;1;0;0;0;0;0;0
118;600;1357995380765;2;3338678;2392;22;2392;411;-1;63;63;36;36;36;36;36;36;36;36
119;600;1358006481447;2;3338678;2392;8;2392;1;-1;3;3;3;3;1;1;1;1;3;3
120;600;1358006212065;2;3338678;2392;12;2392;412;206;0;0;0;0;0;0;0;0;0;0
121;600;1358002317130;3;3338678;2446;207;2446;406;203;1;1;0;0;0;0;0;0;0;0
122;600;1358004939560;3;3338678;2446;77;2446;407;203;4;1;0;0;0;0;0;0;0;0
123;600;1358001111133;3;3338678;2446;8;2446;0;-1;5;5;0;0;0;0;0;0;0;0
124;600;1358004507501;3;3338678;2446;985;2446;406;203;42;24;0;0;0;0;0;0;0;0
125;600;1357991393779;3;3338678;2446;88;2446;408;204;0;0;0;0;0;0;0;0;0;0
126;600;1358003566952;3;3338678;2446;109;2446;408;-1;1;1;0;0;0;0;0;0;0;0
127;600;1357999970355;3;3338678;2446;1178;2446;149;-1;162;162;22;22;9;9;33;33;9;9
128;600;1358000883257;3;3338678;2446;1700;2446;137;-1;67;67;3;3;3;3;3;3;3;3
129;600;1358006803877;3;3338678;2446;299;2446;0;-1;10;10;1;1;1;1;1;1;1;1
130;600;1357995483436;3;3338678;2446;15;2446;412;-1;7;7;7;7;5;5;5;5;5;5
131;600;1358007155334;3;3338678;2446;388;2446;407;203;44;17;4;0;0;0;0;0;0;0
132;600;1357990957361;3;3338678;2446;76;2446;136;68;303;56;103;44;34;22;64;33;35;22
133;600;1357994655677;3;3338678;2446;267;2446;407;203;139;33;21;4;3;0;3;0;3;0
134;600;1358005487796;3;3338678;2446;789;2446;16;8;52;0;0;0;0;0;0;0;0;0
135;600;1358001164316;3;3338678;2446;19;2446;408;-1;0;0;0;0;0;0;0;0;0;0
136;600;1357992485427;3;3338678;2446;1293;2446;136;-1;217;217;1;1;1;1;3;3;1;1
137;600;1358005284859;3;3338678;2446;12;2446;411;-1;3;3;3;3;3;3;3;3;3;3
138;600;1358003496336;3;3338678;2446;8;2446;1;0;1;0;0;0;0;0;0;0;0;0
