count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;600;1357991344742;1;70793;6515;82;2197;121;60;135;13;0;0;0;0;0;0;0;0;0;0
2;600;1357991245845;1;70793;6515;34;2197;348;174;241;66;0;0;0;0;0;0;0;0;0;0
3;600;1358004225730;1;70793;6515;14;2197;110;55;600;48;83;26;55;15;13;11;17;11;16;12
4;600;1357994204623;1;70793;6515;614;2197;346;173;591;177;20;10;0;0;0;0;0;0;0;0
5;600;1358005786259;1;70793;6515;14;2197;110;55;258;17;83;26;55;15;13;11;17;11;16;12
6;600;1358003425512;1;70793;6515;50;2197;350;-1;679;679;65;65;23;23;21;21;21;21;21;21
7;600;1358000682717;1;70793;6515;44;2197;348;174;517;152;0;0;0;0;0;0;0;0;0;0
8;600;1358005284859;1;70793;6515;14;2197;352;-1;265;265;3;3;3;3;3;3;3;3;3;3
9;600;1358002709165;1;70793;6515;17;2197;0;-1;477;477;3;3;0;0;0;0;0;0;0;0
10;600;1358008172565;1;70793;6515;18;2197;6;3;608;4;3;0;1;0;1;0;1;0;1;0
11;600;1357992756514;1;70793;6515;709;2197;110;55;529;49;74;3;10;0;0;0;10;0;0;0
12;600;1357991987717;1;70793;6515;25;2197;350;175;525;156;0;0;0;0;0;0;0;0;0;0
13;600;1357992607282;1;70793;6515;14;2197;350;-1;19;19;34;34;34;34;34;34;34;34;34;34
14;600;1358006272292;1;70793;6515;730;2197;110;55;862;75;124;6;17;5;5;2;17;5;5;2
15;600;1358007651249;1;70793;6515;43;2197;121;60;801;80;52;4;12;0;6;0;10;0;6;0
16;600;1357994270055;1;70793;6515;17;2197;349;174;747;232;4;0;2;0;1;0;1;0;1;0
17;600;1358004002446;1;70793;6515;95;2197;346;173;291;91;1;1;0;0;0;0;0;0;0;0
18;600;1357999831973;1;70793;6515;12;2197;126;-1;831;831;1;1;1;1;1;1;1;1;1;1
19;600;1357991271405;1;70793;6515;212;2197;352;176;246;82;10;3;1;1;1;1;1;1;1;1
20;600;1358000852106;1;70793;6515;1197;2197;110;-1;335;335;90;90;0;0;0;0;0;0;0;0
21;600;1358005260453;1;70793;6515;66;2197;347;173;399;131;9;6;0;0;0;0;0;0;0;0
22;600;1357991452845;1;70793;6515;202;2197;352;176;590;175;5;1;1;1;1;1;1;1;1;1
23;600;1358004167331;1;70793;6515;101;2197;347;173;615;182;7;1;0;0;0;0;0;0;0;0
24;600;1358000200545;1;70793;6515;111;2197;347;173;443;142;5;0;0;0;0;0;0;0;0;0
25;600;1358006019352;1;70793;6515;21;2197;6;-1;222;222;1;1;1;1;1;1;1;1;1;1
26;600;1357991128095;1;70793;6515;278;2197;110;55;899;80;110;5;14;2;3;0;14;2;3;0
27;600;1357995138479;1;70793;6515;13;2197;110;55;182;21;83;26;55;15;13;11;17;11;16;12
28;600;1357999957471;1;70793;6515;14;2197;360;-1;662;662;0;0;0;0;0;0;0;0;0;0
29;600;1358000657358;1;70793;6515;22;2197;6;3;435;3;0;0;0;0;0;0;0;0;0;0
30;600;1358005164352;1;70793;6515;45;2197;348;174;38;15;1;1;0;0;0;0;0;0;0;0
31;600;1357995324797;1;70793;6515;44;2197;348;-1;433;433;0;0;0;0;0;0;0;0;0;0
32;600;1357999993832;1;70793;6515;67;2197;124;62;107;8;344;46;137;37;49;23;69;28;56;23
33;600;1358008024236;1;70793;6515;143;2197;346;173;519;152;82;26;26;8;0;0;2;1;4;2
34;600;1357995070394;1;70793;6515;23;2197;350;-1;321;321;63;63;36;36;36;36;36;36;36;36
35;600;1358007742675;1;70793;6515;83;2197;346;173;941;277;0;0;0;0;0;0;0;0;0;0
36;600;1358002475688;1;70793;6515;246;2197;347;173;329;90;139;26;21;3;3;0;3;0;3;0
37;600;1358001527049;1;70793;6515;63;2197;351;-1;510;510;0;0;0;0;0;0;0;0;0;0
38;600;1357994632961;1;70793;6515;17;2197;348;174;122;31;35;11;21;9;15;7;15;7;15;7
39;600;1357993894879;1;70793;6515;13;2197;110;55;947;84;83;26;55;15;13;11;17;11;16;12
40;600;1358005351728;1;70793;6515;14;2197;110;55;94;7;83;26;55;15;13;11;17;11;16;12
41;600;1358000587100;1;70793;6515;71;2197;347;173;702;195;65;15;2;1;0;0;0;0;0;0
42;600;1358000489157;1;70793;6515;13;2197;125;-1;146;146;4;4;1;1;1;1;1;1;1;1
43;600;1357992669897;1;70793;6515;1385;2197;110;55;182;14;103;8;0;0;0;0;0;0;0;0
44;600;1358002291183;1;70793;6515;12;2197;116;-1;91;91;3;3;3;3;3;3;3;3;3;3
45;600;1358002784030;1;70793;6515;85;2197;356;178;719;203;1;0;0;0;0;0;0;0;0;0
46;600;1357992270528;1;70793;6515;20;2197;121;60;283;25;0;0;0;0;0;0;0;0;0;0
47;600;1358008148181;1;70793;6515;433;2197;349;174;373;107;26;11;0;0;0;0;0;0;0;0
48;600;1358005308296;1;70793;6515;309;2197;5;2;584;2;8;0;0;0;0;0;0;0;0;0
49;600;1358006753873;1;70793;6515;19;2197;6;3;540;2;0;0;0;0;0;0;0;0;0;0
50;600;1357995176297;1;70793;6515;13;2197;110;55;835;74;83;26;55;15;13;11;17;11;16;12
51;600;1357994326705;1;70793;6515;934;2197;110;55;721;68;82;8;9;1;3;1;9;1;3;1
52;600;1358006623772;1;70793;6515;84;2197;110;55;780;69;16;1;6;0;2;0;2;0;2;0
53;600;1358001065969;1;70793;6515;656;2197;110;-1;261;261;47;47;0;0;0;0;0;0;0;0
54;600;1357995738398;1;70793;6515;14;2197;356;-1;214;214;0;0;0;0;0;0;0;0;0;0
55;600;1357994608659;1;70793;6515;14;2197;110;55;361;26;83;26;55;15;13;11;17;11;16;12
56;600;1358002358284;1;70793;6515;1214;2197;110;55;49;2;90;1;0;0;0;0;0;0;0;0
57;600;1357994697299;1;70793;6515;13;2197;110;55;874;76;83;26;55;15;13;11;17;11;16;12
58;600;1358006063050;1;70793;6515;59;2197;347;-1;666;666;13;13;10;10;6;6;6;6;6;6
59;600;1357991427502;1;70793;6515;59;2197;347;173;830;244;174;31;101;11;8;1;14;1;34;3
60;600;1357991081293;1;70793;6515;12;2197;122;61;9;0;13;4;13;4;13;4;13;4;13;4
61;600;1358003496336;2;70793;6515;12;2182;1;0;880;0;1;0;0;0;0;0;0;0;0;0
62;600;1358007518691;2;70793;6515;28;2182;325;-1;447;447;565;565;565;565;549;549;565;565;565;565
63;600;1358001924978;2;70793;6515;999;2182;105;-1;752;752;24;24;1;1;1;1;1;1;1;1
64;600;1358004100932;2;70793;6515;12;2182;104;52;347;26;83;26;55;15;13;11;17;11;16;12
65;600;1357995483436;2;70793;6515;17;2182;349;-1;760;760;7;7;7;7;5;5;5;5;5;5
66;600;1358002827163;2;70793;6515;574;2182;118;-1;137;137;26;26;0;0;0;0;0;0;0;0
67;600;1357991601259;2;70793;6515;25;2182;341;170;899;253;2;2;2;2;2;2;2;2;2;2
68;600;1358004873409;2;70793;6515;30;2182;325;162;547;143;0;0;0;0;0;0;0;0;0;0
69;600;1358004145270;2;70793;6515;18;2182;325;162;47;9;0;0;0;0;0;0;0;0;0;0
70;600;1357999808913;2;70793;6515;28;2182;324;-1;365;365;1;1;1;1;1;1;1;1;1;1
71;600;1358008075063;2;70793;6515;37;2182;324;162;885;239;9;2;1;1;1;1;1;1;1;1
72;600;1357993753241;2;70793;6515;12;2182;104;52;860;69;83;26;55;15;13;11;17;11;16;12
73;600;1358007431216;2;70793;6515;26;2182;325;162;45;14;0;0;0;0;0;0;0;0;0;0
74;600;1358007491395;2;70793;6515;78;2182;115;57;581;50;2;0;1;0;1;0;1;0;1;0
75;600;1358007999194;2;70793;6515;14;2182;328;164;411;107;5;2;5;2;5;2;5;2;5;2
76;600;1357999636311;2;70793;6515;20;2182;327;163;341;100;0;0;0;0;0;0;0;0;0;0
77;600;1357994454895;2;70793;6515;26;2182;341;170;130;34;8;0;8;0;8;0;8;0;8;0
78;600;1358004848148;2;70793;6515;744;2182;14;7;384;2;49;1;0;0;0;0;0;0;0;0
79;600;1357994089293;2;70793;6515;26;2182;341;170;507;143;2;0;2;0;2;0;2;0;2;0
80;600;1358001137922;2;70793;6515;34;2182;346;173;841;246;0;0;0;0;0;0;0;0;0;0
81;600;1357991152766;2;70793;6515;16;2182;120;60;90;6;127;35;127;35;94;35;94;35;94;35
82;600;1357999703445;2;70793;6515;38;2182;324;162;468;132;131;32;42;17;16;9;21;10;16;9
83;600;1358007820868;2;70793;6515;77;2182;324;162;713;188;188;42;30;2;4;0;12;0;4;0
84;600;1358007626398;2;70793;6515;393;2182;104;52;395;32;154;18;21;5;6;3;21;5;6;3
85;600;1357999906790;2;70793;6515;16;2182;325;162;865;241;5;3;1;0;1;0;1;0;1;0
86;600;1358004625454;2;70793;6515;747;2182;14;7;786;8;54;1;0;0;0;0;0;0;0;0
87;600;1358008048851;2;70793;6515;59;2182;7;3;160;2;10;0;3;0;1;0;1;0;1;0
88;600;1358003234264;2;70793;6515;39;2182;327;163;809;228;0;0;0;0;0;0;0;0;0;0
89;600;1358001331092;2;70793;6515;34;2182;325;-1;171;171;0;0;0;0;0;0;0;0;0;0
90;600;1358004652382;2;70793;6515;16;2182;104;52;120;7;83;26;55;15;13;11;17;11;16;12
91;600;1358003891748;2;70793;6515;558;2182;133;66;723;72;53;1;0;0;0;0;0;0;0;0
92;600;1358006433449;2;70793;6515;75;2182;324;162;582;154;190;43;32;4;8;1;13;1;8;1
93;600;1357995119956;2;70793;6515;21;2182;326;163;422;108;0;0;0;0;0;0;0;0;0;0
94;600;1358006407831;2;70793;6515;48;2182;106;-1;62;62;10;10;0;0;0;0;0;0;0;0
95;600;1357992348215;2;70793;6515;22;2182;341;170;931;269;1;1;1;1;1;1;1;1;1;1
96;600;1358000968916;2;70793;6515;16;2182;327;163;742;202;5;2;5;2;5;2;5;2;5;2
97;600;1357991576199;2;70793;6515;25;2182;341;-1;375;375;4;4;4;4;4;4;4;4;4;4
98;600;1358004542452;2;70793;6515;34;2182;346;173;59;19;0;0;0;0;0;0;0;0;0;0
99;600;1358000250111;2;70793;6515;50;2182;341;-1;180;180;1;1;0;0;0;0;0;0;0;0
100;600;1358006255610;2;70793;6515;310;2182;104;-1;426;426;34;34;2;2;2;2;2;2;2;2
101;600;1358004082512;2;70793;6515;11;2182;104;52;676;56;83;26;55;15;13;11;17;11;16;12
102;600;1358004939560;2;70793;6515;57;2182;324;162;421;117;4;1;0;0;0;0;0;0;0;0
103;600;1358004291423;2;70793;6515;40;2182;325;162;16;4;2;1;1;1;1;1;1;1;1;1
104;600;1358002200019;2;70793;6515;11;2182;327;163;164;51;0;0;0;0;0;0;0;0;0;0
105;600;1358008125147;2;70793;6515;10;2182;111;55;697;60;0;0;0;0;0;0;0;0;0;0
106;600;1357992960374;2;70793;6515;13;2182;327;-1;237;237;0;0;0;0;0;0;0;0;0;0
107;600;1357995920248;2;70793;6515;53;2182;340;-1;620;620;58;58;27;27;18;18;18;18;20;20
108;600;1357992581566;2;70793;6515;49;2182;327;-1;935;935;0;0;0;0;0;0;0;0;0;0
109;600;1358005512564;2;70793;6515;67;2182;324;162;687;175;192;43;32;4;8;1;13;1;8;1
110;600;1357999933019;2;70793;6515;11;2182;342;171;312;102;0;0;0;0;0;0;0;0;0;0
111;600;1358000514463;2;70793;6515;58;2182;324;162;11;2;9;2;2;1;2;1;2;1;2;1
112;600;1358005425190;2;70793;6515;32;2182;115;-1;726;726;0;0;0;0;0;0;0;0;0;0
113;600;1358005091809;2;70793;6515;13;2182;325;162;231;57;0;0;0;0;0;0;0;0;0;0
114;600;1358001951708;2;70793;6515;28;2182;325;-1;76;76;61;61;10;10;8;8;8;8;10;10
115;600;1358005643707;2;70793;6515;824;2182;115;-1;38;38;8;8;0;0;0;0;0;0;0;0
116;600;1357993560048;2;70793;6515;12;2182;104;52;615;51;83;26;55;15;13;11;17;11;16;12
117;600;1358007666156;2;70793;6515;907;2182;105;52;733;65;98;12;1;0;1;0;1;0;1;0
118;600;1358005749131;2;70793;6515;16;2182;104;52;635;57;83;26;55;15;13;11;17;11;16;12
119;600;1358004429221;2;70793;6515;42;2182;325;162;376;92;0;0;0;0;0;0;0;0;0;0
120;600;1358004024362;2;70793;6515;28;2182;0;-1;60;60;18;18;4;4;480;480;2;2;5;5
121;600;1357995864715;3;70793;6515;25;2188;118;-1;600;600;3;3;1;1;1;1;1;1;1;1
122;600;1358008262428;3;70793;6515;563;2188;342;171;404;114;78;24;2;0;0;0;0;0;0;0
123;600;1357994157372;3;70793;6515;11;2188;106;53;847;72;83;28;55;15;13;11;17;11;16;12
124;600;1357990864634;3;70793;6515;20;2188;346;173;707;211;0;0;0;0;0;0;0;0;0;0
