count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;600;1358005588470;1;3151832;2355;412;2355;382;191;657;200;48;14;6;1;2;1;2;1;2;1
2;600;1357991477676;1;3151832;2355;70;2355;136;-1;413;413;352;352;155;155;55;55;81;81;63;63
3;600;1357993876795;1;3151832;2355;19;2355;383;191;583;176;36;9;36;9;36;9;36;9;36;9
4;600;1358005138880;1;3151832;2355;78;2355;382;191;370;114;3;1;0;0;0;0;0;0;0;0
5;600;1358002001516;1;3151832;2355;21;2355;386;-1;956;956;2;2;2;2;2;2;2;2;2;2
6;600;1357994589951;1;3151832;2355;7;2355;3;1;871;0;0;0;0;0;0;0;0;0;0;0
7;600;1357990839377;1;3151832;2355;10;2355;386;193;667;204;1;0;1;0;1;0;1;0;1;0
8;600;1357991703529;1;3151832;2355;57;2355;383;191;936;289;3;0;0;0;0;0;0;0;0;0
9;600;1358006272292;1;3151832;2355;754;2355;120;60;501;46;124;8;17;7;5;3;17;7;5;3
10;600;1358006087270;1;3151832;2355;34;2355;0;-1;359;359;2;2;3;3;481;481;3;3;3;3
11;600;1357994716925;1;3151832;2355;12;2355;120;60;932;88;83;30;55;16;13;11;17;12;16;12
12;600;1358003037161;1;3151832;2355;1187;2355;121;60;145;11;50;5;2;0;2;0;2;0;2;0
13;600;1357994608659;1;3151832;2355;12;2355;120;60;915;86;83;30;55;16;13;11;17;12;16;12
14;600;1357991887216;1;3151832;2355;247;2355;120;60;140;15;234;48;67;28;19;10;42;16;25;10
15;600;1358007973354;1;3151832;2355;84;2355;382;191;620;196;99;27;40;17;28;15;33;15;28;15
16;600;1357994990603;1;3151832;2355;555;2355;383;191;308;91;37;27;0;0;0;0;0;0;0;0
17;600;1357992607282;1;3151832;2355;11;2355;384;-1;327;327;34;34;34;34;34;34;34;34;34;34
18;600;1358004145270;1;3151832;2355;13;2355;382;191;747;232;0;0;0;0;0;0;0;0;0;0
19;600;1358005361282;1;3151832;2355;1504;2355;120;60;278;24;38;6;7;6;7;6;7;6;7;6
20;600;1358003737722;1;3151832;2355;94;2355;382;191;342;105;27;3;1;1;1;1;1;1;1;1
21;600;1358000809173;1;3151832;2355;78;2355;383;191;644;197;19;8;1;1;1;1;1;1;1;1
22;600;1357992140144;1;3151832;2355;46;2355;386;193;524;165;0;0;0;0;0;0;0;0;0;0
