count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;411;1357741169175;645;10;49;24;11;9;10;9;7;7;7;7;7;7
2;411;1357741148597;645;12;49;24;11;9;10;9;7;7;7;7;7;7
3;411;1357740980253;645;4;12;6;6;5;2;2;2;2;2;2;2;2
4;411;1357741049831;645;4;49;24;11;9;10;9;7;7;7;7;7;7
5;411;1357740788519;645;23;5;2;19;2;1;1;1;1;1;1;1;1
6;411;1357740672566;645;0;18;9;3;3;3;3;3;3;3;3;3;3
7;411;1357740509128;645;15;69;34;8;1;1;1;1;1;1;1;1;1
8;411;1357740767941;645;0;30;15;3;3;3;3;3;3;3;3;3;3
9;411;1357741411378;645;1;73;36;1;1;1;1;1;1;1;1;1;1
10;411;1357741218785;645;1;48;24;4;4;4;4;4;4;4;4;4;4
11;411;1357740638660;645;10;70;35;9;2;2;2;2;2;2;2;2;2
12;411;1357740843206;645;1;12;6;2;0;1;0;0;0;0;0;1;0
13;411;1357740744831;645;6;5;2;1;0;0;0;0;0;0;0;0;0
14;411;1357741286363;645;1;66;33;5;4;3;3;3;3;3;3;3;3
15;411;1357740398769;645;16;5;2;22;2;1;1;1;1;1;1;1;1
16;411;1357740636128;645;0;2;1;0;0;0;0;0;0;0;0;0;0
17;411;1357741060644;645;0;19;9;1;1;1;1;1;1;1;1;1;1
18;411;1357740550800;645;2;40;20;11;6;7;6;4;4;4;4;4;4
19;411;1357741117628;645;7;166;83;0;0;0;0;0;0;0;0;0;0
20;411;1357740519394;645;3;40;20;11;6;7;6;4;4;4;4;4;4
21;411;1357741079003;645;1;73;36;1;1;1;1;1;1;1;1;1;1
22;411;1357740374691;645;5;18;9;4;1;1;1;1;1;1;1;1;1
23;411;1357741239378;645;1;74;37;26;26;24;24;24;24;24;24;24;24
24;411;1357740902863;645;4;59;29;3;3;2;2;2;2;2;2;2;2
25;411;1357741011113;645;1;72;36;1;1;1;1;1;1;1;1;1;1
26;411;1357741195441;645;1;12;6;6;5;5;5;5;5;5;5;5;5
27;411;1357740995644;645;3;66;33;4;3;2;2;2;2;2;2;2;2
28;411;1357741208644;645;5;73;36;13;5;5;5;5;5;5;5;5;5
29;411;1357741322753;645;1;14;7;2;1;1;1;1;1;1;1;1;1
30;411;1357740853488;645;2;113;56;1;1;1;1;1;1;1;1;1;1
31;411;1357741390441;645;13;73;36;34;16;23;16;16;16;16;16;18;16
32;411;1357740412706;645;1;14;7;0;0;0;0;0;0;0;0;0;0
33;411;1357740607800;645;9;69;34;17;1;1;1;1;1;1;1;1;1
34;411;1357740566050;645;10;69;34;17;1;1;1;1;1;1;1;1;1
35;411;1357740657144;645;1;14;7;2;1;1;1;1;1;1;1;1;1
36;411;1357741216269;645;8;69;34;3;2;1;1;1;1;1;1;1;1
37;411;1357740959863;645;0;2;1;0;0;0;0;0;0;0;0;0;0
38;411;1357741273191;645;1;12;6;3;2;2;2;2;2;2;2;2;2
39;411;1357740441347;645;11;69;34;9;2;2;2;2;2;2;2;2;2
40;411;1357741348831;645;4;113;56;4;3;2;2;2;2;2;2;2;2
41;411;1357740641816;645;2;113;56;1;1;1;1;1;1;1;1;1;1
42;411;1357740887003;645;1;70;35;1;1;1;1;1;1;1;1;1;1
43;411;1357740383253;645;1;30;15;2;1;2;1;2;1;2;1;2;1
44;411;1357741252675;645;1;15;7;2;2;2;2;2;2;2;2;2;2
45;411;1357740866566;645;2;12;6;2;1;1;1;1;1;1;1;1;1
46;411;1357741013753;645;1;13;6;1;1;1;1;1;1;1;1;1;1
47;411;1357740404269;645;3;21;10;1;1;0;0;0;0;0;0;0;0
48;411;1357740516816;645;1;2;1;0;0;0;0;0;0;0;0;0;0
49;411;1357741257831;645;1;14;7;2;1;1;1;1;1;1;1;1;1
50;411;1357740482956;645;0;13;6;1;1;1;1;1;1;1;1;1;1
51;411;1357740780831;645;1;13;6;1;1;1;1;1;1;1;1;1;1
52;411;1357741356472;645;1;19;9;1;1;1;1;1;1;1;1;1;1
53;411;1357740581519;645;1;3;1;1;1;1;1;1;1;1;1;1;1
54;411;1357740615456;645;6;70;35;10;8;7;7;7;7;7;7;7;7
55;411;1357740443878;645;2;70;35;10;7;6;6;6;6;6;6;6;6
56;411;1357740921191;645;2;49;24;2;2;2;2;2;2;2;2;2;2
57;411;1357740623191;645;1;113;56;1;1;1;1;1;1;1;1;1;1
58;411;1357740845831;645;0;14;7;2;1;1;1;1;1;1;1;1;1
59;411;1357740739660;645;2;66;33;14;13;13;13;12;12;12;12;12;12
60;411;1357741146019;645;2;113;56;1;1;1;1;1;1;1;1;1;1
61;411;1357741294066;645;0;13;6;1;1;1;1;1;1;1;1;1;1
62;411;1357741364097;645;1;14;7;2;1;1;1;1;1;1;1;1;1
63;411;1357740553394;645;1;67;33;1;0;1;0;1;0;1;0;1;0
64;411;1357740858800;645;1;15;7;1;0;1;0;0;0;0;0;1;0
65;411;1357740724160;645;0;5;2;5;4;5;4;1;1;3;3;4;3
66;411;1357740467456;645;3;46;23;4;4;0;0;0;0;0;0;0;0
67;411;1357740428363;645;1;5;2;10;2;8;2;2;2;2;2;8;2
68;411;1357741413988;645;0;75;37;0;0;0;0;0;0;0;0;0;0
69;411;1357740488144;645;2;12;6;2;2;1;1;1;1;1;1;1;1
70;411;1357740957378;645;1;2;1;0;0;0;0;0;0;0;0;0;0
71;411;1357740568644;645;3;59;29;3;3;2;2;2;2;2;2;2;2
72;411;1357740532238;645;1;5;2;12;2;5;2;1;1;2;2;5;2
73;411;1357740864003;645;1;12;6;1;0;0;0;0;0;0;0;0;0
74;411;1357741058128;645;0;19;9;1;1;1;1;1;1;1;1;1;1
75;411;1357740594706;645;1;15;7;10;9;9;9;9;9;9;9;9;9
76;411;1357740941910;645;0;17;8;2;2;2;2;2;2;2;2;2;2
77;411;1357741127878;645;0;13;6;1;1;1;1;1;1;1;1;1;1
78;411;1357741153800;645;0;18;9;3;3;3;3;3;3;3;3;3;3
79;411;1357741426847;645;0;14;7;3;3;3;3;3;3;3;3;3;3
80;411;1357740693128;645;1;5;2;3;2;3;2;1;1;1;1;3;2
81;411;1357741008597;645;1;70;35;1;1;1;1;1;1;1;1;1;1
82;411;1357741265550;645;1;75;37;5;5;5;5;5;5;5;5;5;5
83;411;1357741244503;645;0;18;9;3;3;3;3;3;3;3;3;3;3
84;411;1357740680175;645;1;73;36;1;1;1;1;1;1;1;1;1;1
85;411;1357741304285;645;1;30;15;3;3;3;3;3;3;3;3;3;3
86;411;1357741029285;645;0;13;6;2;2;2;2;2;2;2;2;2;2
87;411;1357741019003;645;1;67;33;1;0;1;0;1;0;1;0;1;0
88;411;1357740695660;645;4;70;35;11;1;1;1;1;1;1;1;1;1
89;411;1357741125331;645;0;2;1;0;0;0;0;0;0;0;0;0;0
90;411;1357741419081;645;1;12;6;5;4;4;4;4;4;4;4;4;4
91;411;1357741102128;645;1;67;33;1;0;1;0;1;0;1;0;1;0
92;411;1357740708910;645;1;113;56;1;1;1;1;1;1;1;1;1;1
93;411;1357740731910;645;1;12;6;1;1;1;1;1;1;1;1;1;1
94;411;1357740936785;645;1;69;34;5;5;5;5;5;5;5;5;5;5
95;411;1357740701160;645;2;27;13;3;3;3;3;3;3;3;3;3;3
96;411;1357740801706;645;1;66;33;2;2;2;2;2;2;2;2;2;2
97;411;1357740630972;645;2;49;24;11;9;10;9;7;7;7;7;7;7
98;411;1357740589581;645;1;113;56;1;1;1;1;1;1;1;1;1;1
99;411;1357741140847;645;1;13;6;2;2;2;2;2;2;2;2;2;2
100;411;1357741405910;645;1;16;8;1;1;1;1;1;1;1;1;1;1
101;411;1357740889503;645;2;113;56;1;1;1;1;1;1;1;1;1;1
102;411;1357740415285;645;1;113;56;1;1;1;1;1;1;1;1;1;1
103;411;1357740934191;645;1;117;58;0;0;0;0;0;0;0;0;0;0
104;411;1357740814613;645;0;19;9;1;1;1;1;1;1;1;1;1;1
105;411;1357740480456;645;1;5;2;7;4;5;4;1;1;3;3;3;2
106;411;1357740856019;645;1;66;33;4;3;4;3;4;3;4;3;4;3
107;411;1357741133019;645;0;19;9;1;1;1;1;1;1;1;1;1;1
108;411;1357740879378;645;0;5;2;3;2;3;2;1;1;1;1;3;2
109;411;1357741156378;645;5;70;35;9;2;2;2;2;2;2;2;2;2
110;411;1357740835550;645;0;19;9;1;1;1;1;1;1;1;1;1;1
111;411;1357740576363;645;0;18;9;3;3;3;3;3;3;3;3;3;3
112;411;1357740926441;645;2;49;24;11;9;10;9;7;7;7;7;7;7
113;411;1357741135550;645;2;70;35;2;1;2;1;1;1;1;1;2;1
114;411;1357740850956;645;2;59;29;2;2;2;2;2;2;2;2;2;2
115;411;1357740972581;645;1;49;24;2;2;2;2;2;2;2;2;2;2
116;411;1357740511722;645;11;5;2;10;1;1;1;1;1;1;1;1;1
117;411;1357740625847;645;2;49;24;11;9;10;9;7;7;7;7;7;7
118;411;1357741042113;645;8;69;34;17;1;1;1;1;1;1;1;1;1
119;411;1357740451566;645;1;12;6;5;4;4;4;4;4;4;4;4;4
120;411;1357740913144;645;0;13;6;1;1;1;1;1;1;1;1;1;1
121;411;1357741288941;645;3;153;76;5;0;2;0;0;0;0;0;2;0
122;411;1357741343769;645;0;13;6;1;1;1;1;1;1;1;1;1;1
123;411;1357741226581;645;1;17;8;3;3;3;3;3;3;3;3;3;3
124;411;1357740493769;645;1;5;2;7;4;5;4;1;1;3;3;3;2
125;411;1357740618081;645;2;40;20;11;6;7;6;4;4;4;4;4;4
