count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;411;1357740892535;1;1276;290;9;290;21;10;1;0;1;0;1;0;1;0;1;0
2;411;1357741031910;1;1276;290;2;290;57;28;0;0;0;0;0;0;0;0;0;0
3;411;1357741122769;1;1276;290;2;290;1;0;5;0;3;0;1;0;1;0;3;0
4;411;1357741166566;1;1276;290;9;290;53;26;10;6;8;5;8;5;8;5;8;5
5;411;1357740498894;1;1276;290;1;290;10;5;2;1;1;1;1;1;1;1;1;1
6;411;1357741416488;1;1276;290;4;290;55;-1;3;3;3;3;3;3;3;3;3;3
7;411;1357740737175;1;1276;290;3;290;10;5;2;1;1;1;1;1;1;1;1;1
8;411;1357740371972;1;1276;290;0;290;1;0;0;0;0;0;0;0;0;0;0;0
9;411;1357740543097;1;1276;290;2;290;1;0;12;0;5;0;1;0;2;0;5;0
10;411;1357740975128;1;1276;290;12;290;33;16;1;1;1;1;1;1;1;1;1;1
11;411;1357741164035;1;1276;290;0;290;2;1;0;0;0;0;0;0;0;0;0;0
12;411;1357740501488;1;1276;290;11;290;33;16;1;1;1;1;1;1;1;1;1;1
13;411;1357741242003;1;1276;290;5;290;26;13;27;15;23;14;20;14;20;14;20;14
14;411;1357741179456;1;1276;290;3;290;7;3;3;1;2;1;2;1;2;1;2;1
15;411;1357741379519;1;1276;290;2;290;28;14;14;7;13;7;12;6;12;6;12;6
16;411;1357741052410;1;1276;290;3;290;7;3;2;1;1;1;1;1;1;1;1;1
17;411;1357740762831;1;1276;290;0;290;16;8;4;3;4;3;4;3;4;3;4;3
18;411;1357740431003;1;1276;290;2;290;34;17;1;1;1;1;1;1;1;1;1;1
19;411;1357740480456;1;1276;290;1;290;1;0;7;0;5;0;1;0;3;0;3;0
20;411;1357740876816;1;1276;290;22;290;1;0;10;0;1;0;1;0;1;0;1;0
21;411;1357740470035;1;1276;290;2;290;7;3;2;1;1;1;1;1;1;1;1;1
22;411;1357740775613;1;1276;290;1;290;16;8;1;1;1;1;1;1;1;1;1;1
23;411;1357741117628;1;1276;290;3;290;55;-1;0;0;0;0;0;0;0;0;0;0
24;411;1357741026753;1;1276;290;3;290;15;7;5;0;1;0;1;0;1;0;1;0
25;411;1357740441347;1;1276;290;11;290;32;16;9;2;2;2;2;2;2;2;2;2
26;411;1357741382691;1;1276;290;2;290;7;3;3;2;2;2;2;2;2;2;2;2
27;411;1357741192910;1;1276;290;0;290;8;4;3;1;3;1;3;1;3;1;3;1
28;411;1357741286363;1;1276;290;1;290;28;14;5;3;3;2;3;2;3;2;3;2
29;411;1357740785988;1;1276;290;10;290;32;16;14;3;3;2;3;2;3;2;3;2
30;411;1357740573722;1;1276;290;1;290;8;4;1;1;1;1;1;1;1;1;1;1
31;411;1357740423097;1;1276;290;1;290;29;14;12;6;12;6;12;6;12;6;12;6
32;411;1357740644316;1;1276;290;0;290;1;0;3;0;3;0;1;0;1;0;3;0
33;411;1357741299175;1;1276;290;1;290;29;14;3;1;3;1;3;1;3;1;3;1
34;411;1357741273191;1;1276;290;2;290;7;3;3;2;2;2;2;2;2;2;2;2
35;411;1357741042113;1;1276;290;7;290;32;16;17;1;1;1;1;1;1;1;1;1
36;411;1357740514222;1;1276;290;0;290;1;0;3;0;3;0;1;0;1;0;3;0
37;411;1357740506644;1;1276;290;1;290;14;7;1;1;1;1;1;1;1;1;1;1
38;411;1357740809472;1;1276;290;2;290;7;3;3;2;1;1;1;1;1;1;1;1
39;411;1357741140847;1;1276;290;0;290;9;4;2;2;2;2;2;2;2;2;2;2
40;411;1357740952191;1;1276;290;1;290;9;4;1;1;1;1;1;1;1;1;1;1
41;411;1357741247581;1;1276;290;3;290;34;17;2;0;0;0;0;0;0;0;0;0
42;411;1357740817113;2;1276;285;1;285;1;0;3;0;3;0;1;0;1;0;3;0
43;411;1357741327894;2;1276;285;3;285;53;26;9;4;9;4;9;4;9;4;9;4
44;411;1357740472675;2;1276;285;1;285;8;4;7;4;7;4;6;4;6;4;6;4
45;411;1357741174331;2;1276;285;13;285;31;15;1;1;1;1;1;1;1;1;1;1
46;411;1357741405910;2;1276;285;0;285;11;5;1;1;1;1;1;1;1;1;1;1
47;411;1357740910550;2;1276;285;1;285;8;4;3;2;3;2;3;2;3;2;3;2
48;411;1357740726769;2;1276;285;1;285;37;18;1;1;1;1;1;1;1;1;1;1
49;411;1357741058128;2;1276;285;0;285;13;6;1;1;1;1;1;1;1;1;1;1
50;411;1357740675175;2;1276;285;0;285;38;19;1;1;1;1;1;1;1;1;1;1
51;411;1357741133019;2;1276;285;0;285;13;6;1;1;1;1;1;1;1;1;1;1
52;411;1357740788519;2;1276;285;7;285;1;0;19;0;1;0;1;0;1;0;1;0
53;411;1357740864003;2;1276;285;1;285;7;3;1;0;0;0;0;0;0;0;0;0
54;411;1357741205738;2;1276;285;1;285;31;-1;1;1;1;1;1;1;1;1;1;1
55;411;1357741317191;2;1276;285;5;285;6;3;8;1;1;1;1;1;1;1;1;1
56;411;1357741306878;2;1276;285;1;285;10;5;9;7;9;7;8;7;8;7;9;7
57;411;1357740806831;2;1276;285;1;285;37;18;0;0;0;0;0;0;0;0;0;0
58;411;1357740456785;2;1276;285;1;285;11;5;2;2;2;2;2;2;2;2;2;2
59;411;1357740796519;2;1276;285;1;285;3;1;0;0;0;0;0;0;0;0;0;0
60;411;1357741413988;2;1276;285;0;285;33;-1;0;0;0;0;0;0;0;0;0;0
61;411;1357741278378;2;1276;285;0;285;25;12;2;1;2;1;2;1;2;1;2;1
62;411;1357740993081;2;1276;285;0;285;23;11;10;4;4;2;4;2;4;2;4;2
63;411;1357740913144;2;1276;285;0;285;8;4;1;0;1;0;1;0;1;0;1;0
64;411;1357740889503;2;1276;285;1;285;37;18;1;1;1;1;1;1;1;1;1;1
65;411;1357740819722;2;1276;285;1;285;7;3;1;1;1;1;1;1;1;1;1;1
66;411;1357740858800;2;1276;285;0;285;10;5;1;0;1;0;0;0;0;0;1;0
67;411;1357740915660;2;1276;285;1;285;27;13;3;1;3;1;3;1;3;1;3;1
68;411;1357741275816;2;1276;285;1;285;53;26;8;3;8;3;8;3;8;3;8;3
69;411;1357741213691;2;1276;285;1;285;32;16;34;11;23;11;16;11;16;11;18;11
70;411;1357740401628;2;1276;285;3;285;30;15;9;1;1;1;1;1;1;1;1;1
71;411;1357741211160;2;1276;285;1;285;51;-1;3;3;2;2;2;2;2;2;2;2
72;411;1357740793753;2;1276;285;2;285;30;-1;14;14;4;4;4;4;4;4;4;4
73;411;1357741000816;2;1276;285;1;285;19;9;1;1;1;1;1;1;1;1;1;1
