count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;411;1357740819722;1;167;645;0;265;7;3;107;4;1;1;1;1;1;1;1;1;1;1
2;411;1357741247581;1;167;645;1;265;30;15;138;23;2;0;0;0;0;0;0;0;0;0
3;411;1357741275816;1;167;645;1;265;47;23;47;5;8;4;8;4;8;4;8;4;8;4
4;411;1357741127878;1;167;645;0;265;9;4;105;7;1;1;1;1;1;1;1;1;1;1
5;411;1357741164035;1;167;645;0;265;2;1;72;0;0;0;0;0;0;0;0;0;0;0
6;411;1357740747300;1;167;645;1;265;12;6;103;4;4;3;4;3;4;3;4;3;4;3
7;411;1357740739660;1;167;645;0;265;28;14;106;18;14;7;13;7;12;6;12;6;12;6
8;411;1357740941910;1;167;645;0;265;12;6;15;1;2;2;2;2;2;2;2;2;2;2
9;411;1357741376956;1;167;645;1;265;28;14;125;21;27;16;24;15;24;15;24;15;24;15
10;411;1357740887003;1;167;645;0;265;30;15;81;13;1;1;1;1;1;1;1;1;1;1
11;411;1357740669988;1;167;645;0;265;31;15;85;13;1;1;1;1;1;1;1;1;1;1
12;411;1357740470035;1;167;645;0;265;7;3;41;0;2;1;1;1;1;1;1;1;1;1
13;411;1357741065753;1;167;645;1;265;29;14;82;12;1;1;1;1;1;1;1;1;1;1
14;411;1357740785988;1;167;645;3;265;28;14;62;11;14;3;3;2;3;2;3;2;3;2
15;411;1357741223988;1;167;645;0;265;7;3;82;0;0;0;0;0;0;0;0;0;0;0
16;411;1357741299175;1;167;645;0;265;29;14;1;1;3;1;3;1;3;1;3;1;3;1
17;411;1357741117628;1;167;645;1;265;47;-1;116;116;0;0;0;0;0;0;0;0;0;0
18;411;1357740612972;1;167;645;0;265;2;1;50;0;0;0;0;0;0;0;0;0;0;0
19;411;1357740514222;1;167;645;1;265;1;0;120;0;3;0;3;0;1;0;1;0;3;0
20;411;1357741024128;1;167;645;0;265;12;6;136;10;2;2;2;2;2;2;2;2;2;2
21;411;1357740900300;1;167;645;2;265;9;4;117;4;11;2;0;0;0;0;0;0;0;0
22;411;1357741304285;1;167;645;1;265;12;6;40;1;3;2;3;2;3;2;3;2;3;2
23;411;1357741291456;1;167;645;0;265;13;-1;75;75;1;1;1;1;1;1;1;1;1;1
24;411;1357740889503;1;167;645;0;265;4;2;114;2;1;1;1;1;1;1;1;1;1;1
25;411;1357740672566;1;167;645;0;265;13;6;103;8;3;3;3;3;3;3;3;3;3;3
26;411;1357741429378;1;167;645;0;265;10;5;17;2;2;1;1;1;1;1;1;1;1;1
27;411;1357741138128;1;167;645;0;265;7;3;126;6;2;1;1;1;1;1;1;1;1;1
28;411;1357740972581;1;167;645;1;265;26;13;45;9;2;1;2;1;2;1;2;1;2;1
29;411;1357741353878;1;167;645;0;265;28;14;6;1;5;5;5;5;5;5;5;5;5;5
30;411;1357740840660;1;167;645;1;265;9;4;103;8;6;4;6;4;5;4;5;4;5;4
31;411;1357741112535;1;167;645;4;265;1;0;100;0;22;0;1;0;1;0;1;0;1;0
32;411;1357740762831;1;167;645;0;265;12;-1;133;133;4;4;4;4;4;4;4;4;4;4
33;411;1357740830425;1;167;645;1;265;43;21;98;21;5;2;2;2;2;2;2;2;2;2
34;411;1357741416488;1;167;645;1;265;47;-1;36;36;3;3;3;3;3;3;3;3;3;3
35;411;1357740509128;1;167;645;2;265;28;14;79;14;8;1;1;1;1;1;1;1;1;1
36;411;1357741097003;1;167;645;1;265;25;12;86;17;2;1;2;1;2;1;2;1;2;1
37;411;1357740657144;1;167;645;0;265;10;5;34;2;2;1;1;1;1;1;1;1;1;1
38;411;1357741421706;1;167;645;0;265;7;3;83;1;0;0;0;0;0;0;0;0;0;0
39;411;1357741185144;1;167;645;1;265;45;22;29;5;10;5;8;4;8;4;8;4;8;4
40;411;1357741262988;1;167;645;0;265;10;5;63;4;2;1;1;1;1;1;1;1;1;1
41;411;1357740401628;1;167;645;1;265;28;14;149;22;9;1;1;1;1;1;1;1;1;1
42;411;1357741086785;2;167;645;1;255;30;15;39;3;2;0;0;0;0;0;0;0;0;0
43;411;1357740765378;2;167;645;1;255;40;20;131;27;2;1;2;1;2;1;2;1;2;1
44;411;1357740876816;2;167;645;3;255;1;0;119;0;10;0;1;0;1;0;1;0;1;0
45;411;1357740369253;2;167;645;1;255;7;3;42;3;2;1;1;1;1;1;1;1;1;1
46;411;1357740757753;2;167;645;0;255;9;4;31;1;2;1;1;1;1;1;1;1;1;1
47;411;1357741348831;2;167;645;0;255;0;-1;89;89;4;4;2;2;2;2;2;2;2;2
48;411;1357740594706;2;167;645;1;255;9;4;26;0;10;7;9;7;9;7;9;7;9;7
49;411;1357741005972;2;167;645;0;255;16;-1;117;117;8;8;5;5;3;3;3;3;4;4
50;411;1357740995644;2;167;645;0;255;25;12;140;19;4;2;2;1;2;1;2;1;2;1
51;411;1357741063238;2;167;645;1;255;7;3;104;5;2;1;1;1;1;1;1;1;1;1
52;411;1357740377331;2;167;645;0;255;13;-1;17;17;1;1;1;1;1;1;1;1;1;1
53;411;1357740652003;2;167;645;1;255;19;9;29;2;3;3;3;3;3;3;3;3;3;3
54;411;1357741125331;2;167;645;0;255;2;1;73;0;0;0;0;0;0;0;0;0;0;0
55;411;1357740599863;2;167;645;0;255;2;1;43;1;1;1;1;1;1;1;1;1;1;1
56;411;1357740944503;2;167;645;1;255;29;14;113;15;1;1;1;1;1;1;1;1;1;1
57;411;1357741213691;2;167;645;0;255;30;15;130;20;34;11;23;11;16;11;16;11;18;11
