count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;411;1357741065753;1;1180;274;15;274;32;16;65;9;1;1;1;1;1;1;1;1;1;1
2;411;1357740369253;1;1180;274;4;274;7;3;34;1;2;1;1;1;1;1;1;1;1;1
3;411;1357740949597;1;1180;274;1;274;8;4;21;0;2;2;2;2;2;2;2;2;2;2
4;411;1357740675175;1;1180;274;2;274;40;20;37;8;1;1;1;1;1;1;1;1;1;1
5;411;1357740454160;1;1180;274;14;274;31;15;119;18;11;3;2;1;1;1;1;1;1;1
6;411;1357740975128;1;1180;274;13;274;32;16;10;2;1;1;1;1;1;1;1;1;1;1
7;411;1357740871660;1;1180;274;3;274;39;19;115;21;1;1;1;1;1;1;1;1;1;1
8;411;1357741107410;1;1180;274;2;274;9;4;4;1;4;1;4;1;3;1;3;1;4;1
9;411;1357741429378;1;1180;274;1;274;8;4;103;5;2;1;1;1;1;1;1;1;1;1
10;411;1357741171722;1;1180;274;3;274;7;3;114;4;2;0;1;0;1;0;1;0;1;0
11;411;1357741148597;1;1180;274;4;274;23;11;30;3;11;5;10;5;7;3;7;3;7;3
12;411;1357740693128;1;1180;274;1;274;1;0;102;0;3;0;3;0;1;0;1;0;3;0
13;411;1357741130410;1;1180;274;1;274;8;4;136;5;1;1;1;1;1;1;1;1;1;1
14;411;1357741211160;1;1180;274;7;274;52;-1;129;129;3;3;2;2;2;2;2;2;2;2
15;411;1357740610347;1;1180;274;3;274;7;3;63;2;4;1;2;1;1;1;1;1;2;1
16;411;1357740662347;1;1180;274;1;274;1;0;127;0;5;0;5;0;3;0;3;0;5;0
17;411;1357740532238;1;1180;274;2;274;1;0;28;0;12;0;5;0;1;0;2;0;5;0
18;411;1357740918675;1;1180;274;3;274;39;19;65;12;1;1;1;1;1;1;1;1;1;1
19;411;1357740618081;1;1180;274;3;274;21;10;9;1;11;4;7;4;4;2;4;2;4;2
20;411;1357741034394;1;1180;274;0;274;11;5;20;1;1;0;1;0;1;0;1;0;1;0
21;411;1357741158894;1;1180;274;2;274;32;16;118;18;1;1;1;1;1;1;1;1;1;1
22;411;1357741097003;1;1180;274;3;274;23;11;43;6;2;1;2;1;2;1;2;1;2;1
23;411;1357741094394;1;1180;274;1;274;40;20;136;23;1;1;1;1;1;1;1;1;1;1
24;411;1357740385925;1;1180;274;1;274;26;13;16;2;1;0;1;0;1;0;1;0;1;0
25;411;1357740967535;1;1180;274;8;274;32;16;37;7;9;2;2;2;2;2;2;2;2;2
26;411;1357740944503;1;1180;274;6;274;32;16;4;1;1;1;1;1;1;1;1;1;1;1
27;411;1357740931628;1;1180;274;2;274;23;11;33;3;11;5;10;5;7;3;7;3;7;3
28;411;1357740711456;1;1180;274;1;274;39;19;26;3;1;1;1;1;1;1;1;1;1;1
29;411;1357740534800;1;1180;274;1;274;40;20;22;3;1;1;1;1;1;1;1;1;1;1
