count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;537;1357643100976;1753;74;495;247;6;2;0;0;0;0;0;0;0;0
2;537;1357643510209;1753;42;93;46;5;1;1;1;1;1;1;1;1;1
3;537;1357642601929;1753;61;495;247;2;0;0;0;0;0;0;0;0;0
4;537;1357643304796;1753;1;3;1;1;0;0;0;0;0;0;0;0;0
5;537;1357642656884;1753;71;495;247;23;13;20;11;7;7;8;7;12;7
6;537;1357642630494;1753;29;495;247;3;0;0;0;0;0;0;0;0;0
7;537;1357642607119;1753;5;497;248;12;12;12;12;12;12;12;12;12;12
8;537;1357643325378;1753;369;495;247;3;3;1;1;1;1;1;1;1;1
9;537;1357642564776;1753;20;68;34;5;0;0;0;0;0;0;0;0;0
10;537;1357642504352;1753;13;93;46;23;5;1;1;1;1;1;1;1;1
11;537;1357642459217;1753;12;93;46;5;1;1;1;1;1;1;1;1;1
12;537;1357642517542;1753;2;2;1;24;0;0;0;0;0;0;0;0;0
13;537;1357642716919;1753;16;495;247;3;0;0;0;0;0;0;0;0;0
14;537;1357643155695;1753;2;3;1;1;0;0;0;0;0;0;0;0;0
15;537;1357643330722;1753;22;93;46;24;3;7;2;0;0;1;0;4;2
16;537;1357642944710;1753;29;495;247;15;0;0;0;0;0;0;0;0;0
17;537;1357642314944;1753;4;497;248;12;12;12;12;12;12;12;12;12;12
18;537;1357642334437;1753;30;495;247;11;1;0;0;0;0;0;0;0;0
19;537;1357643200341;1753;6;3;1;11;0;0;0;0;0;0;0;0;0
20;537;1357643223593;1753;17;495;247;6;2;0;0;0;0;0;0;0;0
21;537;1357642472325;1753;21;495;247;4;1;2;1;1;1;1;1;1;1
22;537;1357643085368;1753;1;3;1;0;0;0;0;0;0;0;0;0;0
23;537;1357643715007;1753;7;495;247;0;0;0;0;0;0;0;0;0;0
24;537;1357643009950;1753;22;93;46;27;2;11;1;1;1;3;1;7;1
25;537;1357642701309;1753;21;495;247;3;0;0;0;0;0;0;0;0;0
26;537;1357642795744;1753;14;495;247;8;0;0;0;0;0;0;0;0;0
27;537;1357642323548;1753;16;495;247;16;11;12;8;2;2;2;2;3;2
28;537;1357643364601;1753;418;11;-1;31;31;0;0;0;0;0;0;0;0
29;537;1357643400920;1753;20;495;247;2;0;0;0;0;0;0;0;0;0
30;537;1357642923905;1753;7;495;247;15;0;0;0;0;0;0;0;0;0
31;537;1357642816521;1753;16;495;247;15;0;0;0;0;0;0;0;0;0
32;537;1357643696403;1753;2;498;249;10;3;10;3;10;3;10;3;10;3
33;537;1357642837443;1753;8;495;247;15;0;0;0;0;0;0;0;0;0
34;537;1357643706747;1753;4;496;-1;100;100;100;100;98;98;100;100;100;100
35;537;1357642897898;1753;7;495;247;3;0;0;0;0;0;0;0;0;0
36;537;1357642876810;1753;8;495;247;5;0;0;0;0;0;0;0;0;0
37;537;1357642643451;1753;1;5;2;0;0;0;0;0;0;0;0;0;0
38;537;1357643015151;1753;5;495;247;0;0;0;0;0;0;0;0;0;0
39;537;1357643168741;1753;0;3;1;0;0;0;0;0;0;0;0;0;0
40;537;1357643343816;1753;35;495;247;21;2;0;0;0;0;0;0;0;0
41;537;1357642594052;1753;8;495;247;6;0;0;0;0;0;0;0;0;0
42;537;1357643712181;1753;2;496;248;0;0;0;0;0;0;0;0;0;0
43;537;1357642416954;1753;12;495;247;54;34;36;16;16;14;17;14;26;14
44;537;1357642931620;1753;73;495;247;9;0;0;0;0;0;0;0;0;0
45;537;1357642918760;1753;4;495;247;0;0;0;0;0;0;0;0;0;0
46;537;1357642528100;1753;8;93;46;47;3;31;3;2;2;5;2;12;2
47;537;1357643030519;1753;16;68;34;1;0;0;0;0;0;0;0;0;0
48;537;1357643531121;1753;8;495;247;25;18;17;11;12;10;12;10;12;10
49;537;1357642440704;1753;10;495;247;23;0;1;0;0;0;0;0;1;0
50;537;1357642401012;1753;0;3;1;0;0;0;0;0;0;0;0;0;0
51;537;1357642371846;1753;20;495;247;10;5;6;3;1;1;1;1;3;1
52;537;1357643351443;1753;586;495;247;12;7;2;2;2;2;2;2;2;2
53;537;1357642530780;1753;1;3;1;0;0;0;0;0;0;0;0;0;0
54;537;1357643213309;1753;17;495;247;10;5;6;3;1;1;1;1;3;1
55;537;1357643520461;1753;12;495;247;8;0;0;0;0;0;0;0;0;0
56;537;1357642549030;1753;2;496;248;0;0;0;0;0;0;0;0;0;0
57;537;1357642382722;1753;11;93;46;23;5;1;1;1;1;1;1;1;1
58;537;1357643680379;1753;15;495;247;24;14;21;12;8;8;9;8;13;8
59;537;1357642588611;1753;14;495;247;6;2;0;0;0;0;0;0;0;0
60;537;1357643717520;1753;18;495;247;10;5;6;3;1;1;1;1;3;1
61;537;1357643570649;1753;11;93;46;33;3;19;3;2;2;6;3;6;2
62;537;1357642711679;1753;14;495;247;3;0;0;0;0;0;0;0;0;0
63;537;1357642863851;1753;11;495;247;23;0;1;0;0;0;0;0;1;0
64;537;1357642654314;1753;141;1;0;4;0;0;0;0;0;0;0;0;0
65;537;1357643406002;1753;32;495;247;20;1;0;0;0;0;0;0;0;0
66;537;1357642456394;1753;18;495;247;21;15;15;11;1;1;1;1;3;1
67;537;1357643395570;1753;114;93;46;2;0;0;0;0;0;0;0;0;0
68;537;1357643549704;1753;6;496;-1;132;132;132;132;97;97;132;132;132;132
69;537;1357642903297;1753;27;495;247;10;0;0;0;0;0;0;0;0;0
70;537;1357642850421;1753;6;495;247;0;0;0;0;0;0;0;0;0;0
71;537;1357642522816;1753;6;495;247;2;1;0;0;0;0;0;0;0;0
72;537;1357643249821;1753;163;495;-1;2;2;30;30;77;77;30;30;9;9
73;537;1357643338479;1753;102;495;247;4;0;0;0;0;0;0;0;0;0
74;537;1357643202892;1753;19;68;34;3;0;0;0;0;0;0;0;0;0
75;537;1357642986157;1753;1;2;1;0;0;0;0;0;0;0;0;0;0
76;537;1357643497223;1753;1;498;-1;88;88;88;88;98;98;88;88;88;88
77;537;1357643160839;1753;14;495;247;2;0;0;0;0;0;0;0;0;0
78;537;1357642390572;1753;0;3;1;0;0;0;0;0;0;0;0;0;0
79;537;1357643380069;1753;18;495;247;10;5;6;3;1;1;1;1;3;1
80;537;1357642939565;1753;0;2;1;0;0;0;0;0;0;0;0;0;0
81;537;1357642842731;1753;11;495;247;2;0;0;0;0;0;0;0;0;0
82;537;1357642895309;1753;4;495;247;0;0;0;0;0;0;0;0;0;0
83;537;1357643113615;1753;22;495;247;10;1;1;1;1;1;1;1;1;1
84;537;1357642461868;1753;7;495;247;11;6;2;2;0;0;0;0;0;0
85;537;1357642780324;1753;12;495;247;1;0;0;0;0;0;0;0;0;0
86;537;1357643507594;1753;0;3;1;0;0;0;0;0;0;0;0;0;0
87;537;1357643583632;1753;10;93;46;5;1;1;1;1;1;1;1;1;1
88;537;1357643557456;1753;5;495;247;0;0;0;0;0;0;0;0;0;0
89;537;1357643059281;1753;22;495;247;11;1;0;0;0;0;0;0;0;0
90;537;1357642965330;1753;8;495;247;5;0;0;0;0;0;0;0;0;0
91;537;1357643215929;1753;6;495;247;15;0;1;0;0;0;0;0;1;0
92;537;1357642688278;1753;20;495;247;2;0;0;0;0;0;0;0;0;0
93;537;1357643043704;1753;119;17;8;15;0;0;0;0;0;0;0;0;0
94;537;1357642311996;1753;9;495;247;0;0;0;0;0;0;0;0;0;0
95;537;1357643591380;1753;12;93;46;5;1;1;1;1;1;1;1;1;1
96;537;1357642414361;1753;2;498;249;10;3;10;3;10;3;10;3;10;3
