count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;537;1357642753573;1;24790;1203;9;1203;107;53;44;36;44;36;44;36;44;36;44;36
2;537;1357643255203;1;24790;1203;213;1203;105;52;1;0;0;0;0;0;0;0;0;0
3;537;1357643486784;1;24790;1203;69;1203;105;52;9;8;5;4;3;3;4;3;3;3
4;537;1357642806118;1;24790;1203;8;1203;105;52;0;0;0;0;0;0;0;0;0;0
5;537;1357643158251;1;24790;1203;14;1203;105;52;2;0;0;0;0;0;0;0;0;0
6;537;1357643155695;1;24790;1203;1;1203;2;1;1;0;0;0;0;0;0;0;0;0
7;537;1357642630494;1;24790;1203;5;1203;105;52;3;0;0;0;0;0;0;0;0;0
8;537;1357642986157;1;24790;1203;1;1203;2;1;0;0;0;0;0;0;0;0;0;0
9;537;1357643583632;1;24790;1203;8;1203;16;8;5;1;1;1;1;1;1;1;1;1
10;537;1357643455425;1;24790;1203;272;1203;10;5;13;0;0;0;0;0;0;0;0;0
11;537;1357642824328;1;24790;1203;11;1203;105;52;1;0;0;0;0;0;0;0;0;0
12;537;1357642769857;1;24790;1203;4;1203;105;52;0;0;0;0;0;0;0;0;0;0
13;537;1357642845246;1;24790;1203;113;1203;105;52;3;2;1;1;1;1;1;1;1;1
14;537;1357642999237;1;24790;1203;5;1203;105;52;43;18;20;1;0;0;0;0;19;0
15;537;1357642721978;1;24790;1203;8;1203;2;1;4;0;1;0;0;0;0;0;0;0
16;537;1357642983567;1;24790;1203;3;1203;105;52;0;0;0;0;0;0;0;0;0;0
17;537;1357642456394;1;24790;1203;12;1203;105;52;21;12;15;9;1;1;1;1;3;1
18;537;1357642614769;1;24790;1203;87;1203;12;6;50;1;15;1;0;0;15;1;2;0
19;537;1357643682892;1;24790;1203;12;1203;105;52;10;4;6;3;1;1;1;1;3;1
20;537;1357643691234;1;24790;1203;3;1203;106;-1;93;93;93;93;92;92;93;93;93;93
21;537;1357643669979;1;24790;1203;2;1203;107;53;10;3;10;3;10;3;10;3;10;3
22;537;1357643640985;1;24790;1203;78;1203;105;52;27;16;0;0;0;0;0;0;0;0
23;537;1357642480332;1;24790;1203;10;1203;16;8;24;3;7;2;0;0;1;0;4;2
24;537;1357643126942;1;24790;1203;41;1203;105;52;13;3;0;0;0;0;0;0;0;0
25;537;1357643447570;1;24790;1203;95;1203;15;7;6;0;0;0;0;0;0;0;0;0
26;537;1357643202892;1;24790;1203;11;1203;13;6;3;0;0;0;0;0;0;0;0;0
27;537;1357642780324;1;24790;1203;8;1203;105;52;1;0;0;0;0;0;0;0;0;0
28;537;1357643195198;1;24790;1203;10;1203;105;52;2;0;0;0;0;0;0;0;0;0
29;537;1357643541780;1;24790;1203;10;1203;13;6;5;0;0;0;0;0;0;0;0;0
30;537;1357643012527;1;24790;1203;2;1203;106;53;0;0;0;0;0;0;0;0;0;0
31;537;1357642337099;1;24790;1203;9;1203;105;52;34;10;3;0;0;0;0;0;3;0
32;537;1357643153091;1;24790;1203;5;1203;105;52;11;3;0;0;0;0;0;0;0;0
33;537;1357643064261;1;24790;1203;9;1203;105;52;8;3;0;0;0;0;0;0;0;0
34;537;1357643265791;1;24790;1203;8;1203;16;8;33;3;19;3;2;2;6;3;6;2
35;537;1357643033345;1;24790;1203;9;1203;16;8;4;1;1;1;1;1;1;1;1;1
36;537;1357642512238;1;24790;1203;10;1203;16;8;24;3;7;2;0;0;1;0;4;2
37;537;1357643069516;1;24790;1203;250;1203;10;-1;7;7;0;0;0;0;0;0;0;0
38;537;1357642331658;1;24790;1203;11;1203;105;52;10;4;6;3;1;1;1;1;3;1
39;537;1357643547138;1;24790;1203;99;1203;105;52;16;9;5;5;5;5;5;5;5;5
40;537;1357643654244;1;24790;1203;1;1203;107;-1;116;116;116;116;121;121;116;116;116;116
41;537;1357643588784;1;24790;1203;2;1203;107;53;10;3;10;3;10;3;10;3;10;3
42;537;1357642387999;1;24790;1203;2;1203;1;0;24;0;0;0;0;0;0;0;0;0
43;537;1357643688578;1;24790;1203;2;1203;15;7;26;1;25;1;0;0;0;0;1;0
44;537;1357643317700;1;24790;1203;7;1203;105;52;23;0;1;0;0;0;0;0;1;0
45;537;1357642406215;1;24790;1203;1;1203;107;53;12;11;12;11;12;11;12;11;12;11
46;537;1357643348996;1;24790;1203;2;1203;107;53;10;3;10;3;10;3;10;3;10;3
47;537;1357643046381;1;24790;1203;15;1203;105;52;11;1;1;1;1;1;1;1;1;1
48;537;1357643004722;1;24790;1203;8;1203;105;52;0;0;0;0;0;0;0;0;0;0
49;537;1357642414361;1;24790;1203;1;1203;107;53;10;3;10;3;10;3;10;3;10;3
50;537;1357642374800;1;24790;1203;0;1203;1;0;3;0;1;0;0;0;0;0;1;0
51;537;1357643400920;1;24790;1203;13;1203;105;52;2;0;0;0;0;0;0;0;0;0
52;537;1357643557456;1;24790;1203;4;1203;105;52;0;0;0;0;0;0;0;0;0;0
53;537;1357642890159;1;24790;1203;16;1203;105;52;10;0;0;0;0;0;0;0;0;0
54;537;1357643338479;2;24790;1195;68;1195;102;51;4;0;0;0;0;0;0;0;0;0
55;537;1357643494651;2;24790;1195;2;1195;103;-1;126;126;126;126;100;100;126;126;126;126
56;537;1357643322839;2;24790;1195;18;1195;15;7;62;1;29;0;0;0;0;0;3;0
57;537;1357643246958;2;24790;1195;13;1195;15;7;5;1;1;1;1;1;1;1;1;1
58;537;1357642651826;2;24790;1195;2;1195;0;-1;36;36;21;21;0;0;0;0;21;21
59;537;1357642819147;2;24790;1195;13;1195;15;7;3;0;0;0;0;0;0;0;0;0
60;537;1357643413545;2;24790;1195;396;1195;102;51;6;3;2;2;2;2;2;2;2;2
61;537;1357642856101;2;24790;1195;3;1195;0;-1;0;0;0;0;0;0;0;0;0;0
62;537;1357642627913;2;24790;1195;1;1195;2;1;1;0;0;0;0;0;0;0;0;0
63;537;1357642622674;2;24790;1195;2;1195;104;52;119;83;119;83;119;83;119;83;119;83
64;537;1357643471241;2;24790;1195;2;1195;104;52;12;11;12;11;12;11;12;11;12;11
65;537;1357643523287;2;24790;1195;4;1195;102;51;0;0;0;0;0;0;0;0;0;0
66;537;1357642698775;2;24790;1195;0;1195;3;1;5;1;5;1;5;1;5;1;5;1
67;537;1357643560047;2;24790;1195;4;1195;15;7;76;1;67;1;0;0;0;0;15;0
