count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;537;1357643536578;1;2073;1753;2;1117;99;49;63;38;73;39;73;39;73;39;73;39;73;39
2;537;1357643685682;1;2073;1753;93;1117;6;-1;47;47;37;37;1;1;0;0;1;1;0;0
3;537;1357642788015;1;2073;1753;0;1117;2;1;92;0;0;0;0;0;0;0;0;0;0;0
4;537;1357642850421;1;2073;1753;3;1117;97;48;120;72;0;0;0;0;0;0;0;0;0;0
5;537;1357642337099;1;2073;1753;6;1117;97;48;147;91;34;9;3;0;0;0;0;0;3;0
6;537;1357643221092;1;2073;1753;6;1117;97;48;87;49;8;0;0;0;0;0;0;0;0;0
7;537;1357643150281;1;2073;1753;80;1117;97;48;65;41;55;31;17;14;16;13;17;14;17;14
8;537;1357643382596;1;2073;1753;138;1117;97;48;35;22;7;0;0;0;0;0;0;0;0;0
9;537;1357642472325;1;2073;1753;10;1117;97;48;117;72;4;1;2;1;1;1;1;1;1;1
10;537;1357643061610;1;2073;1753;294;1117;97;48;40;26;8;6;0;0;0;0;0;0;0;0
11;537;1357643294364;1;2073;1753;2;1117;99;49;2;1;10;1;10;1;10;1;10;1;10;1
12;537;1357642371846;1;2073;1753;10;1117;97;48;118;71;10;4;6;3;1;1;1;1;3;1
13;537;1357642895309;1;2073;1753;2;1117;97;48;129;79;0;0;0;0;0;0;0;0;0;0
14;537;1357642960182;1;2073;1753;6;1117;97;48;27;17;2;0;0;0;0;0;0;0;0;0
15;537;1357642999237;1;2073;1753;4;1117;97;48;25;13;43;17;20;0;0;0;0;0;19;0
16;537;1357642638323;1;2073;1753;14;1117;97;48;128;77;17;14;15;12;3;3;4;4;3;3
17;537;1357642874244;1;2073;1753;1;1117;98;49;62;40;0;0;0;0;0;0;0;0;0;0
18;537;1357643273409;1;2073;1753;69;1117;2;1;149;1;11;1;4;1;4;1;4;1;4;1
19;537;1357642986157;1;2073;1753;1;1117;2;1;50;0;0;0;0;0;0;0;0;0;0;0
20;537;1357642440704;1;2073;1753;5;1117;97;48;79;42;23;0;1;0;0;0;0;0;1;0
21;537;1357642798336;1;2073;1753;7;1117;97;48;72;38;1;0;0;0;0;0;0;0;0;0
22;537;1357642991328;1;2073;1753;0;1117;2;1;60;1;0;0;0;0;0;0;0;0;0;0
23;537;1357642983567;1;2073;1753;2;1117;97;48;135;84;0;0;0;0;0;0;0;0;0;0
24;537;1357642496324;1;2073;1753;1;1117;99;49;31;13;19;16;19;16;19;16;19;16;19;16
25;537;1357642978423;1;2073;1753;7;1117;97;48;109;69;0;0;0;0;0;0;0;0;0;0
26;537;1357642772457;1;2073;1753;5;1117;97;48;36;22;2;1;0;0;0;0;0;0;0;0
27;537;1357643197771;1;2073;1753;12;1117;97;48;0;0;11;0;1;0;1;0;1;0;1;0
28;537;1357643082752;1;2073;1753;80;1117;97;48;113;71;2;2;1;1;1;1;1;1;1;1
29;537;1357643085368;1;2073;1753;1;1117;2;1;122;1;0;0;0;0;0;0;0;0;0;0
30;537;1357643147751;1;2073;1753;7;1117;97;48;74;43;0;0;0;0;0;0;0;0;0;0
31;537;1357642355556;1;2073;1753;230;1117;6;3;83;2;13;0;0;0;0;0;0;0;0;0
32;537;1357643601689;1;2073;1753;2;1117;98;-1;125;125;102;102;102;102;95;95;102;102;102;102
33;537;1357642942121;1;2073;1753;5;1117;97;48;17;9;29;3;1;0;0;0;0;0;1;0
34;537;1357643696403;1;2073;1753;1;1117;99;-1;103;103;10;10;10;10;10;10;10;10;10;10
35;537;1357642981003;1;2073;1753;6;1117;97;48;33;22;8;0;0;0;0;0;0;0;0;0
36;537;1357642604420;1;2073;1753;80;1117;97;-1;55;55;2;2;30;30;77;77;30;30;9;9
37;537;1357643184335;1;2073;1753;6;1117;97;48;87;57;0;0;0;0;0;0;0;0;0;0
38;537;1357642448504;1;2073;1753;7;1117;12;6;5;0;27;2;11;1;1;1;3;1;7;1
39;537;1357642921316;1;2073;1753;6;1117;97;48;128;77;2;0;0;0;0;0;0;0;0;0
40;537;1357642780324;1;2073;1753;7;1117;97;48;97;58;1;0;0;0;0;0;0;0;0;0
41;537;1357643322839;1;2073;1753;10;1117;11;5;23;1;62;1;29;0;0;0;0;0;3;0
42;537;1357643289213;1;2073;1753;13;1117;97;48;23;16;4;0;0;0;0;0;0;0;0;0
43;537;1357642793170;1;2073;1753;4;1117;97;48;113;67;0;0;0;0;0;0;0;0;0;0
44;537;1357642541216;1;2073;1753;83;1117;97;48;95;59;4;0;0;0;0;0;0;0;0;0
45;537;1357642630494;1;2073;1753;4;1117;97;48;94;58;3;0;0;0;0;0;0;0;0;0
46;537;1357643541780;1;2073;1753;9;1117;9;4;141;7;5;0;0;0;0;0;0;0;0;0
47;537;1357642567431;1;2073;1753;3;1117;97;48;30;18;15;0;1;0;0;0;0;0;1;0
48;537;1357643560047;1;2073;1753;2;1117;11;5;138;7;76;1;67;1;0;0;0;0;15;0
49;537;1357642685682;1;2073;1753;9;1117;97;48;74;47;27;2;0;0;0;0;0;0;0;0
50;537;1357643080047;1;2073;1753;4;1117;97;48;0;0;11;2;0;0;0;0;0;0;0;0
51;537;1357643416354;1;2073;1753;6;1117;97;48;18;12;23;0;0;0;0;0;0;0;0;0
52;537;1357642382722;1;2073;1753;6;1117;12;6;114;7;23;2;1;1;1;1;1;1;1;1
53;537;1357643009950;1;2073;1753;7;1117;12;6;89;6;27;2;11;1;1;1;3;1;7;1
54;537;1357643573228;2;2073;1753;22;1113;94;47;77;45;0;0;0;0;0;0;0;0;0;0
55;537;1357642876810;2;2073;1753;4;1113;94;47;32;18;5;0;0;0;0;0;0;0;0;0
56;537;1357643215929;2;2073;1753;3;1113;94;47;69;37;15;0;1;0;0;0;0;0;1;0
57;537;1357642329047;2;2073;1753;8;1113;94;47;98;59;49;25;33;12;10;7;16;10;21;7
58;537;1357643325378;2;2073;1753;79;1113;94;47;35;24;3;3;1;1;1;1;1;1;1;1
59;537;1357643568095;2;2073;1753;8;1113;94;47;37;21;6;0;0;0;0;0;0;0;0;0
60;537;1357643675128;2;2073;1753;3;1113;94;47;57;35;0;0;0;0;0;0;0;0;0;0
61;537;1357642459217;2;2073;1753;6;1113;13;6;134;10;5;1;1;1;1;1;1;1;1;1
62;537;1357642696039;2;2073;1753;1;1113;96;48;50;28;10;2;10;2;10;2;10;2;10;2
63;537;1357643056693;2;2073;1753;278;1113;94;47;41;26;3;1;1;1;1;1;1;1;1;1
64;537;1357643187213;2;2073;1753;7;1113;13;6;70;5;3;0;0;0;0;0;0;0;0;0
65;537;1357642480332;2;2073;1753;6;1113;13;6;114;9;24;3;7;2;0;0;1;0;4;2
66;537;1357642501679;2;2073;1753;5;1113;94;47;64;40;23;0;1;0;0;0;0;0;1;0
67;537;1357643002107;2;2073;1753;0;1113;1;-1;88;88;0;0;0;0;0;0;0;0;0;0
68;537;1357642952418;2;2073;1753;50;1113;94;47;91;47;4;0;0;0;0;0;0;0;0;0
69;537;1357642512238;2;2073;1753;6;1113;13;6;45;5;24;3;7;2;0;0;1;0;4;2
70;537;1357643320372;2;2073;1753;6;1113;94;47;110;67;2;0;0;0;0;0;0;0;0;0
71;537;1357642908454;2;2073;1753;4;1113;94;47;119;71;11;2;0;0;0;0;0;0;0;0
72;537;1357642488290;2;2073;1753;4;1113;94;47;26;14;29;3;1;0;0;0;0;0;1;0
73;537;1357643176411;2;2073;1753;29;1113;7;-1;115;115;15;15;0;0;0;0;0;0;0;0
74;537;1357642975865;2;2073;1753;1;1113;95;47;102;65;0;0;0;0;0;0;0;0;0;0
75;537;1357643489440;2;2073;1753;1;1113;96;-1;50;50;81;81;81;81;92;92;81;81;81;81
76;537;1357643213309;2;2073;1753;9;1113;94;47;62;33;10;3;6;3;1;1;1;1;3;1
77;537;1357643173829;2;2073;1753;8;1113;94;47;120;73;6;1;0;0;0;0;0;0;0;0
78;537;1357643505022;2;2073;1753;2;1113;12;6;37;1;74;0;65;0;0;0;0;0;15;0
79;537;1357643465871;2;2073;1753;6;1113;13;6;117;7;5;1;1;1;1;1;1;1;1;1
80;537;1357642374800;2;2073;1753;1;1113;1;0;2;0;3;0;1;0;0;0;0;0;1;0
