count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;537;1357642685682;1;20983;840;53;840;95;47;143;84;27;1;0;0;0;0;0;0;0;0
2;537;1357643460628;1;20983;840;232;840;95;47;30;17;35;28;1;1;1;1;1;1;1;1
3;537;1357643338479;1;20983;840;58;840;95;47;116;69;4;0;0;0;0;0;0;0;0;0
4;537;1357642491110;1;20983;840;3;840;95;47;29;18;5;3;1;1;1;1;1;1;1;1
5;537;1357642596657;1;20983;840;4;840;95;47;85;47;1;0;0;0;0;0;0;0;0;0
6;537;1357642337099;1;20983;840;7;840;95;47;113;63;34;8;3;0;0;0;0;0;3;0
7;537;1357642541216;1;20983;840;80;840;95;47;100;59;4;0;0;0;0;0;0;0;0;0
8;537;1357643715007;1;20983;840;3;840;95;47;121;69;0;0;0;0;0;0;0;0;0;0
9;537;1357643510209;1;20983;840;7;840;6;3;93;5;5;1;1;1;1;1;1;1;1;1
10;537;1357643672563;1;20983;840;2;840;97;-1;11;11;104;104;104;104;112;112;104;104;104;104
11;537;1357642643451;1;20983;840;1;840;3;1;62;0;0;0;0;0;0;0;0;0;0;0
12;537;1357643207982;1;20983;840;15;840;95;47;16;7;10;3;6;3;1;1;1;1;3;1
13;537;1357642800914;1;20983;840;7;840;95;47;55;31;28;15;21;8;3;3;7;6;5;3
14;537;1357643369808;1;20983;840;1;840;97;48;47;26;10;3;10;3;10;3;10;3;10;3
15;537;1357643173829;1;20983;840;8;840;95;47;115;68;6;1;0;0;0;0;0;0;0;0
16;537;1357642793170;1;20983;840;3;840;95;47;86;50;0;0;0;0;0;0;0;0;0;0
17;537;1357642342447;1;20983;840;7;840;95;47;45;23;0;0;0;0;0;0;0;0;0;0
18;537;1357642703973;1;20983;840;24;840;95;-1;83;83;4;4;0;0;0;0;0;0;0;0
19;537;1357642785416;1;20983;840;5;840;95;47;119;72;29;3;1;0;0;0;0;0;1;0
20;537;1357642317940;1;20983;840;10;840;3;1;1;0;1;0;0;0;0;0;0;0;0;0
21;537;1357643009950;1;20983;840;8;840;6;3;79;3;27;2;11;1;1;1;3;1;7;1
22;537;1357642480332;1;20983;840;8;840;6;3;148;5;24;3;7;2;0;0;1;0;4;2
23;537;1357642355556;1;20983;840;224;840;0;-1;36;36;13;13;0;0;0;0;0;0;0;0
24;537;1357643126942;1;20983;840;33;840;95;47;87;48;13;1;0;0;0;0;0;0;0;0
25;537;1357643426554;1;20983;840;13;840;6;3;123;3;18;4;4;3;0;0;0;0;4;3
26;537;1357643575791;1;20983;840;1;840;97;-1;147;147;113;113;113;113;119;119;113;113;113;113
27;537;1357642427412;1;20983;840;87;840;95;-1;17;17;2;2;30;30;77;77;30;30;9;9
28;537;1357643659416;1;20983;840;2;840;97;-1;43;43;111;111;111;111;118;118;111;111;111;111
29;537;1357642627913;1;20983;840;0;840;1;0;110;0;1;0;0;0;0;0;0;0;0;0
30;537;1357643539162;1;20983;840;1;840;1;0;101;0;1;0;0;0;0;0;0;0;0;0
31;537;1357642884478;1;20983;840;9;840;3;1;146;2;3;0;0;0;0;0;0;0;0;0
32;537;1357643145193;1;20983;840;126;840;95;47;2;0;6;3;1;1;1;1;1;1;1;1
33;537;1357642724585;1;20983;840;10;840;95;47;102;60;5;0;0;0;0;0;0;0;0;0
34;537;1357642769857;1;20983;840;4;840;95;47;109;66;0;0;0;0;0;0;0;0;0;0
35;537;1357643223593;1;20983;840;8;840;95;47;139;82;6;1;0;0;0;0;0;0;0;0
36;537;1357643027943;1;20983;840;86;840;95;47;47;26;3;2;1;1;1;1;1;1;1;1
37;537;1357643341082;1;20983;840;1;840;97;48;89;51;10;3;10;3;10;3;10;3;10;3
38;537;1357642528100;1;20983;840;6;840;6;3;79;4;47;3;31;3;2;2;5;2;12;2
39;537;1357643531121;1;20983;840;5;840;95;47;144;84;25;16;17;10;12;9;12;9;12;9
40;537;1357642780324;1;20983;840;7;840;95;47;61;40;1;0;0;0;0;0;0;0;0;0
41;537;1357643007289;1;20983;840;8;840;6;3;117;4;4;1;1;1;1;1;1;1;1;1
42;537;1357642735119;1;20983;840;8;840;95;47;102;58;12;4;0;0;0;0;0;0;0;0
43;537;1357643361972;1;20983;840;70;840;2;1;122;1;5;1;1;1;1;1;1;1;1;1
