count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;598;1357742682314;6723;199;915;457;4;0;0;0;0;0;0;0;0;0
2;598;1357743570251;6723;80;24;12;11;0;0;0;0;0;0;0;0;0
3;598;1357747097109;6723;13;996;498;0;0;0;0;0;0;0;0;0;0
4;598;1357745077671;6723;2;69;34;1;1;1;1;1;1;1;1;1;1
5;598;1357740944033;6723;86;872;436;7;3;1;1;1;1;1;1;1;1
6;598;1357741199704;6723;8;1199;599;2;2;2;2;2;2;2;2;2;2
7;598;1357747349687;6723;80;1029;514;4;0;0;0;0;0;0;0;0;0
8;598;1357746917562;6723;61;1140;570;3;1;1;1;1;1;1;1;1;1
9;598;1357743184876;6723;53;4;2;6;1;0;0;0;0;0;0;0;0
10;598;1357742048048;6723;3;106;53;2;2;2;2;2;2;2;2;2;2
11;598;1357741242783;6723;2;47;23;4;1;4;1;4;1;4;1;4;1
12;598;1357740845876;6723;1;49;24;2;0;2;0;2;0;2;0;2;0
13;598;1357740523783;6723;16;1011;505;1;1;1;1;1;1;1;1;1;1
14;598;1357741834033;6723;13;1067;533;2;2;2;2;2;2;2;2;2;2
15;598;1357743144173;6723;2;105;52;0;0;0;0;0;0;0;0;0;0
16;598;1357742347361;6723;4;895;447;2;2;2;2;2;2;2;2;2;2
17;598;1357745572500;6723;53;966;483;3;1;1;1;1;1;1;1;1;1
18;598;1357742433814;6723;8;1067;533;2;2;2;2;2;2;2;2;2;2
19;598;1357743398017;6723;4;1113;556;2;1;2;1;2;1;2;1;2;1
20;598;1357747317500;6723;69;9;4;1;0;0;0;0;0;0;0;0;0
21;598;1357745731750;6723;5;68;34;1;1;1;1;1;1;1;1;1;1
22;598;1357746089187;6723;2;103;51;1;1;1;1;1;1;1;1;1;1
23;598;1357740406470;6723;6;334;167;2;0;2;0;0;0;0;0;2;0
24;598;1357743058626;6723;103;282;141;20;1;0;0;0;0;0;0;0;0
25;598;1357743217892;6723;2;27;13;1;0;1;0;1;0;1;0;1;0
26;598;1357742627954;6723;352;282;-1;107;107;2;2;446;446;2;2;46;46
27;598;1357742703220;6723;10;26;-1;16;16;16;16;447;447;9;9;16;16
28;598;1357743239548;6723;1;74;37;0;0;0;0;0;0;0;0;0;0
29;598;1357746674062;6723;56;282;141;4;1;1;1;1;1;1;1;1;1
30;598;1357743812329;6723;4;282;141;1;0;0;0;0;0;0;0;0;0
31;598;1357740879408;6723;8;308;154;3;0;0;0;0;0;0;0;0;0
32;598;1357741609845;6723;2;1;0;1;0;0;0;0;0;0;0;0;0
33;598;1357746165843;6723;115;282;141;11;8;0;0;0;0;0;0;0;0
34;598;1357746014765;6723;4;1002;501;13;13;13;13;13;13;13;13;13;13
35;598;1357747003140;6723;39;1362;681;4;1;1;1;1;1;1;1;1;1
36;598;1357742465658;6723;9;1067;533;1;1;1;1;1;1;1;1;1;1
37;598;1357742037033;6723;4;282;141;1;0;0;0;0;0;0;0;0;0
38;598;1357747520015;6723;64;966;483;1;1;1;1;1;1;1;1;1;1
39;598;1357742444720;6723;4;24;-1;5;5;0;0;0;0;0;0;0;0
40;598;1357745508390;6723;73;294;147;7;0;0;0;0;0;0;0;0;0
41;598;1357743333954;6723;4;1015;507;0;0;0;0;0;0;0;0;0;0
