count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;598;1357745801234;1;101987;1755;27;1755;25;-1;8;8;3;3;447;447;3;3;7;7
2;598;1357746292734;1;101987;1755;76;1755;183;91;37;1;2;0;0;0;0;0;2;0
3;598;1357747392687;1;101987;1755;41;1755;5;2;5;0;0;0;0;0;0;0;0;0
4;598;1357745508390;1;101987;1755;43;1755;15;7;7;0;0;0;0;0;0;0;0;0
5;598;1357742487220;1;101987;1755;2;1755;2;1;2;0;2;0;2;0;2;0;2;0
6;598;1357743154251;1;101987;1755;6;1755;27;13;1;0;0;0;0;0;0;0;0;0
7;598;1357741093501;1;101987;1755;4;1755;212;106;2;2;2;2;2;2;2;2;2;2
8;598;1357746960968;1;101987;1755;55;1755;181;90;20;0;0;0;0;0;0;0;0;0
9;598;1357746716281;1;101987;1755;19;1755;185;92;7;0;1;0;1;0;1;0;1;0
10;598;1357740470001;1;101987;1755;3;1755;217;-1;32;32;32;32;32;32;32;32;32;32
11;598;1357746218968;1;101987;1755;1;1755;26;13;0;0;0;0;0;0;0;0;0;0
12;598;1357746601171;1;101987;1755;4;1755;187;93;7;0;3;0;2;0;2;0;3;0
13;598;1357743725970;1;101987;1755;4;1755;51;25;2;1;1;1;1;1;1;1;1;1
14;598;1357740653829;1;101987;1755;2;1755;9;4;2;0;0;0;0;0;0;0;0;0
15;598;1357742058986;1;101987;1755;3;1755;188;-1;1;1;1;1;1;1;1;1;1;1
16;598;1357743737579;1;101987;1755;3;1755;0;-1;1;1;1;1;447;447;1;1;1;1
17;598;1357745593093;1;101987;1755;2;1755;0;-1;1;1;0;0;0;0;0;0;0;0
18;598;1357745982890;1;101987;1755;14;1755;5;2;8;1;2;1;2;1;2;1;2;1
19;598;1357747445484;1;101987;1755;6;1755;183;91;4;1;1;1;1;1;1;1;1;1
20;598;1357747540578;1;101987;1755;29;1755;10;-1;7;7;2;2;2;2;2;2;2;2
21;598;1357746078468;1;101987;1755;3;1755;5;2;3;1;3;1;2;1;2;1;2;1
22;598;1357740438798;1;101987;1755;10;1755;182;91;5;1;3;1;3;1;3;1;3;1
23;598;1357747413140;1;101987;1755;33;1755;185;92;10;1;1;1;1;1;1;1;1;1
24;598;1357746400125;1;101987;1755;93;1755;181;90;187;38;19;9;15;8;18;8;15;8
25;598;1357746154546;1;101987;1755;14;1755;181;90;3;0;1;0;1;0;1;0;1;0
26;598;1357742973204;1;101987;1755;29;1755;183;91;1;0;0;0;0;0;0;0;0;0
27;598;1357743758658;1;101987;1755;1;1755;5;2;2;2;2;2;2;2;2;2;2;2
28;598;1357746357109;1;101987;1755;1;1755;5;2;2;2;2;2;2;2;2;2;2;2
29;598;1357742764939;1;101987;1755;2;1755;27;13;1;0;0;0;0;0;0;0;0;0
30;598;1357740298173;1;101987;1755;16;1755;2;1;41;0;7;0;0;0;4;0;1;0
31;598;1357747255265;1;101987;1755;10;1755;188;94;4;1;1;1;1;1;1;1;1;1
32;598;1357742135392;1;101987;1755;2;1755;3;1;1;0;0;0;0;0;0;0;0;0
33;598;1357741039689;1;101987;1755;1;1755;4;2;1;0;1;0;1;0;1;0;1;0
34;598;1357741275517;1;101987;1755;129;1755;182;91;188;44;18;10;17;9;17;9;17;9
35;598;1357741318376;1;101987;1755;5;1755;188;94;7;1;7;1;2;0;2;0;2;0
36;598;1357741157376;1;101987;1755;18;1755;185;-1;28;28;7;7;3;3;3;3;5;5
37;598;1357743196267;1;101987;1755;1;1755;4;2;3;0;3;0;3;0;3;0;3;0
38;598;1357745262343;1;101987;1755;7;1755;51;25;2;1;1;1;1;1;1;1;1;1
39;598;1357741952376;1;101987;1755;1;1755;5;2;1;1;0;0;0;0;0;0;0;0
40;598;1357742585251;1;101987;1755;6;1755;196;98;18;3;16;3;12;3;12;3;12;3
41;598;1357741941970;1;101987;1755;20;1755;197;98;8;2;2;2;2;2;2;2;2;2
42;598;1357747097109;1;101987;1755;4;1755;196;98;0;0;0;0;0;0;0;0;0;0
43;598;1357747266000;1;101987;1755;4;1755;187;93;5;0;3;0;2;0;2;0;3;0
44;598;1357742336751;1;101987;1755;24;1755;197;98;4;0;0;0;0;0;0;0;0;0
45;598;1357746004015;1;101987;1755;107;1755;25;12;74;2;0;0;0;0;0;0;0;0
46;598;1357742283064;1;101987;1755;4;1755;51;25;1;0;0;0;0;0;0;0;0;0
47;598;1357742924283;1;101987;1755;3;1755;183;-1;2;2;2;2;2;2;2;2;2;2
48;598;1357741866079;1;101987;1755;2;1755;7;3;11;4;11;4;4;2;6;4;4;2
49;598;1357745337875;1;101987;1755;25;1755;197;98;11;0;0;0;0;0;0;0;0;0
50;598;1357742552767;1;101987;1755;7;1755;188;-1;0;0;0;0;0;0;0;0;0;0
51;598;1357741962658;1;101987;1755;11;1755;185;92;30;11;14;3;4;3;4;3;4;3
52;598;1357743527579;1;101987;1755;6;1755;187;93;2;0;0;0;0;0;0;0;0;0
53;598;1357746208140;1;101987;1755;4;1755;70;35;2;1;1;1;1;1;1;1;1;1
54;598;1357742015845;1;101987;1755;1;1755;4;2;1;0;1;0;1;0;1;0;1;0
55;598;1357745295265;1;101987;1755;2;1755;27;13;1;0;1;0;1;0;1;0;1;0
56;598;1357746548156;1;101987;1755;18;1755;198;99;14;2;2;2;2;2;2;2;2;2
57;598;1357746621609;1;101987;1755;19;1755;185;92;4;0;0;0;0;0;0;0;0;0
58;598;1357743144173;1;101987;1755;2;1755;33;16;0;0;0;0;0;0;0;0;0;0
59;598;1357745402890;1;101987;1755;3;1755;51;25;2;1;1;1;1;1;1;1;1;1
60;598;1357747201406;2;101987;1760;6;1760;199;99;0;0;0;0;0;0;0;0;0;0
61;598;1357740534861;2;101987;1760;2;1760;25;12;2;1;0;0;0;0;0;0;0;0
62;598;1357746494859;2;101987;1760;180;1760;2;1;62;0;0;0;0;0;0;0;0;0
63;598;1357741844861;2;101987;1760;4;1760;25;12;3;1;0;0;0;0;0;0;0;0
64;598;1357743420423;2;101987;1760;2;1760;29;14;0;0;0;0;0;0;0;0;0;0
65;598;1357740622079;2;101987;1760;5;1760;189;94;6;0;3;0;2;0;2;0;3;0
66;598;1357743239548;2;101987;1760;2;1760;29;14;0;0;0;0;0;0;0;0;0;0
67;598;1357742839189;2;101987;1760;2;1760;4;2;1;0;1;0;1;0;1;0;1;0
68;598;1357740353173;2;101987;1760;1;1760;4;2;2;0;2;0;2;0;2;0;2;0
69;598;1357746696015;2;101987;1760;31;1760;55;27;1;0;0;0;0;0;0;0;0;0
70;598;1357746089187;2;101987;1760;2;1760;29;14;1;1;1;1;1;1;1;1;1;1
71;598;1357745251656;2;101987;1760;1;1760;2;1;1;0;1;0;1;0;1;0;1;0
72;598;1357742529970;2;101987;1760;6;1760;199;99;0;0;0;0;0;0;0;0;0;0
73;598;1357740502892;2;101987;1760;2;1760;4;2;1;1;1;1;1;1;1;1;1;1
74;598;1357742304595;2;101987;1760;1;1760;8;4;3;0;1;0;1;0;1;0;1;0
75;598;1357743398017;2;101987;1760;3;1760;199;99;2;1;2;1;2;1;2;1;2;1
76;598;1357742444720;2;101987;1760;3;1760;0;-1;5;5;0;0;0;0;0;0;0;0
77;598;1357747349687;2;101987;1760;22;1760;197;98;4;0;0;0;0;0;0;0;0;0
78;598;1357747509359;2;101987;1760;27;1760;11;-1;9;9;1;1;447;447;1;1;9;9
79;598;1357746133484;2;101987;1760;2;1760;27;13;1;1;1;1;1;1;1;1;1;1
80;598;1357744061783;2;101987;1760;1;1760;5;2;2;2;2;2;2;2;2;2;2;2
81;598;1357746251171;2;101987;1760;35;1760;0;-1;19;19;4;4;447;447;73;73;20;20
82;598;1357743271704;2;101987;1760;3;1760;186;93;0;0;0;0;0;0;0;0;0;0
83;598;1357741018220;2;101987;1760;107;1760;183;91;185;48;32;9;13;7;14;7;13;7
84;598;1357742124533;2;101987;1760;5;1760;22;11;0;0;0;0;0;0;0;0;0;0
85;598;1357747024640;2;101987;1760;10;1760;5;2;8;1;1;1;1;1;1;1;1;1
86;598;1357747489218;2;101987;1760;5;1760;189;94;10;0;10;0;3;0;3;0;4;0
87;598;1357745886140;2;101987;1760;2;1760;32;16;1;1;1;1;1;1;1;1;1;1
88;598;1357741484689;2;101987;1760;3;1760;214;107;6;4;6;4;6;4;6;4;6;4
89;598;1357743964392;2;101987;1760;2;1760;26;13;0;0;0;0;0;0;0;0;0;0
90;598;1357743570251;2;101987;1760;17;1760;0;-1;11;11;0;0;0;0;0;0;0;0
91;598;1357745133187;2;101987;1760;6;1760;25;-1;9;9;3;3;448;448;4;4;8;8
92;598;1357745678062;2;101987;1760;30;1760;183;91;6;1;0;0;0;0;0;0;0;0
93;598;1357744999156;2;101987;1760;15;1760;185;-1;4;4;2;2;2;2;2;2;2;2
94;598;1357746791093;2;101987;1760;8;1760;190;95;3;1;1;1;1;1;1;1;1;1
95;598;1357743484876;2;101987;1760;27;1760;25;-1;6;6;8;8;446;446;59;59;11;11
96;598;1357743293158;2;101987;1760;24;1760;51;-1;13;13;4;4;451;451;9;9;17;17
97;598;1357744072486;2;101987;1760;1;1760;35;17;2;2;2;2;2;2;2;2;2;2
98;598;1357747467468;2;101987;1760;4;1760;51;25;1;0;0;0;0;0;0;0;0;0
99;598;1357745327531;2;101987;1760;221;1760;183;91;95;5;1;1;1;1;1;1;1;1
100;598;1357743801814;2;101987;1760;1;1760;9;4;2;1;2;1;2;1;2;1;2;1
101;598;1357740944033;2;101987;1760;16;1760;183;91;7;2;1;1;1;1;1;1;1;1
102;598;1357747498531;2;101987;1760;414;1760;183;91;140;23;5;4;5;4;5;4;5;4
103;598;1357742176923;2;101987;1760;3;1760;192;96;0;0;0;0;0;0;0;0;0;0
104;598;1357746463078;2;101987;1760;15;1760;7;3;7;0;1;0;1;0;1;0;1;0
105;598;1357740674454;2;101987;1760;1;1760;5;-1;0;0;0;0;0;0;0;0;0;0
106;598;1357741888142;2;101987;1760;5;1760;192;96;1;1;1;1;1;1;1;1;1;1
107;598;1357740771564;2;101987;1760;5;1760;51;25;1;1;1;1;1;1;1;1;1;1
108;598;1357745551859;2;101987;1760;109;1760;2;1;144;0;1;0;0;0;1;0;0;0
109;598;1357740601033;2;101987;1760;2;1760;27;13;1;0;1;0;1;0;1;0;1;0
110;598;1357747402875;2;101987;1760;21;1760;5;2;7;2;1;1;1;1;1;1;1;1
111;598;1357746025796;2;101987;1760;20;1760;183;91;3;0;1;0;1;0;1;0;1;0
112;598;1357742951658;2;101987;1760;7;1760;185;92;2;0;0;0;0;0;0;0;0;0
113;598;1357746526328;2;101987;1760;17;1760;0;-1;21;21;0;0;0;0;0;0;0;0
114;598;1357742315439;2;101987;1760;2;1760;4;2;1;0;1;0;1;0;1;0;1;0
115;598;1357743015236;2;101987;1760;101;1760;183;-1;17;17;0;0;446;446;0;0;0;0
116;598;1357741308048;2;101987;1760;2;1760;10;5;3;0;3;0;0;0;0;0;0;0
117;598;1357744018501;2;101987;1760;13;1760;183;91;25;1;4;1;1;1;1;1;1;1
118;598;1357741899376;2;101987;1760;1;1760;2;1;0;0;0;0;0;0;0;0;0;0
119;598;1357740933298;3;101987;1748;17;1748;0;-1;5;5;2;2;447;447;56;56;6;6
120;598;1357745572500;3;101987;1748;19;1748;186;93;3;1;1;0;1;0;1;0;1;0
121;598;1357746047046;3;101987;1748;2;1748;29;14;1;1;0;0;0;0;0;0;0;0
122;598;1357743665408;3;101987;1748;1;1748;27;13;1;0;1;0;1;0;1;0;1;0
123;598;1357742881986;3;101987;1748;3;1748;189;94;1;1;1;1;1;1;1;1;1;1
124;598;1357747066406;3;101987;1748;3;1748;51;25;1;0;0;0;0;0;0;0;0;0
125;598;1357743601673;3;101987;1748;1;1748;5;2;1;1;1;1;1;1;1;1;1;1
126;598;1357746864953;3;101987;1748;5;1748;189;94;5;0;3;0;2;0;2;0;3;0
127;598;1357742744126;3;101987;1748;4;1748;191;-1;0;0;0;0;0;0;0;0;0;0
128;598;1357742935111;3;101987;1748;2;1748;2;1;1;0;1;0;1;0;1;0;1;0
129;598;1357740308548;3;101987;1748;3;1748;5;2;3;1;3;1;2;1;2;1;2;1
130;598;1357742849283;3;101987;1748;116;1748;184;92;143;28;7;3;7;3;7;3;7;3
131;598;1357743311908;3;101987;1748;386;1748;183;91;225;1;1;1;1;1;1;1;1;1
132;598;1357745613796;3;101987;1748;2;1748;7;3;3;0;0;0;0;0;0;0;0;0
133;598;1357747371468;3;101987;1748;9;1748;189;94;3;1;1;1;1;1;1;1;1;1
134;598;1357745456078;3;101987;1748;3;1748;25;12;4;1;1;0;1;0;1;0;1;0
135;598;1357743779845;3;101987;1748;2;1748;27;13;1;1;1;1;1;1;1;1;1;1
136;598;1357743228689;3;101987;1748;27;1748;183;-1;0;0;0;0;0;0;0;0;0;0
137;598;1357741748595;3;101987;1748;2;1748;7;3;13;0;0;0;0;0;0;0;0;0
138;598;1357746747734;3;101987;1748;3;1748;214;107;5;3;5;3;5;3;5;3;5;3
139;598;1357745477312;3;101987;1748;174;1748;183;91;92;10;0;0;0;0;0;0;0;0
140;598;1357746187312;3;101987;1748;4;1748;51;25;1;0;0;0;0;0;0;0;0;0
141;598;1357742091501;3;101987;1748;20;1748;5;2;7;2;1;1;1;1;1;1;1;1
142;598;1357742617376;3;101987;1748;19;1748;191;-1;5;5;0;0;0;0;0;0;0;0
143;598;1357742606673;3;101987;1748;3;1748;26;13;1;0;0;0;0;0;0;0;0;0
144;598;1357745762828;3;101987;1748;112;1748;2;1;111;0;1;0;0;0;1;0;0;0
145;598;1357745906968;3;101987;1748;10;1748;186;93;11;2;4;0;0;0;0;0;4;0
146;598;1357747035031;3;101987;1748;5;1748;189;94;5;0;3;0;2;0;2;0;3;0
147;598;1357743581095;3;101987;1748;2;1748;5;2;1;1;1;1;1;1;1;1;1;1
148;598;1357747530468;3;101987;1748;21;1748;199;99;8;2;2;2;2;2;2;2;2;2
149;598;1357746853968;3;101987;1748;28;1748;183;91;2;0;1;0;1;0;1;0;1;0
150;598;1357745843968;3;101987;1748;18;1748;184;92;7;1;2;1;2;1;2;1;2;1
151;598;1357745699437;3;101987;1748;12;1748;183;91;4;0;1;0;1;0;1;0;1;0
152;598;1357743260595;3;101987;1748;16;1748;13;-1;4;4;0;0;0;0;0;0;0;0
153;598;1357743123423;3;101987;1748;3;1748;216;108;0;0;0;0;0;0;0;0;0;0
154;598;1357742754689;3;101987;1748;1;1748;31;15;0;0;0;0;0;0;0;0;0;0
155;598;1357741264595;3;101987;1748;193;1748;183;91;69;5;1;0;1;0;1;0;1;0
156;598;1357746068187;3;101987;1748;3;1748;0;-1;4;4;2;2;2;2;2;2;2;2
157;598;1357740792564;3;101987;1748;6;1748;25;12;0;0;0;0;0;0;0;0;0;0
158;598;1357743898392;3;101987;1748;5;1748;51;25;2;1;1;1;1;1;1;1;1;1
159;598;1357741253767;3;101987;1748;1;1748;27;13;1;0;1;0;1;0;1;0;1;0
160;598;1357742400751;3;101987;1748;5;1748;21;10;0;0;0;0;0;0;0;0;0;0
161;598;1357745360203;3;101987;1748;18;1748;1;0;1;0;0;0;0;0;0;0;0;0
162;598;1357745122265;3;101987;1748;80;1748;183;91;179;35;19;9;15;8;18;8;15;8
163;598;1357745381843;3;101987;1748;1;1748;32;16;2;2;2;2;2;2;2;2;2;2
164;598;1357742102376;3;101987;1748;7;1748;192;96;2;2;2;2;2;2;2;2;2;2
165;598;1357743442236;3;101987;1748;5;1748;192;96;0;0;0;0;0;0;0;0;0;0
166;598;1357745927828;3;101987;1748;11;1748;187;93;27;11;11;3;3;2;3;2;3;2
167;598;1357743184876;3;101987;1748;13;1748;0;-1;6;6;0;0;0;0;0;0;0;0
168;598;1357745646562;3;101987;1748;82;1748;25;12;40;1;0;0;0;0;0;0;0;0
169;598;1357741377611;3;101987;1748;3;1748;219;109;0;0;0;0;0;0;0;0;0;0
170;598;1357747520015;3;101987;1748;25;1748;183;91;1;0;1;0;1;0;1;0;1;0
171;598;1357746917562;3;101987;1748;8;1748;190;95;3;1;1;1;1;1;1;1;1;1
172;598;1357742733486;3;101987;1748;22;1748;52;26;0;0;0;0;0;0;0;0;0;0
173;598;1357741231783;3;101987;1748;4;1748;51;25;2;1;1;1;1;1;1;1;1;1
174;598;1357741983939;3;101987;1748;10;1748;5;2;9;1;3;1;2;1;2;1;2;1
175;598;1357740590173;3;101987;1748;1;1748;11;5;0;0;0;0;0;0;0;0;0;0
176;598;1357743932220;3;101987;1748;2;1748;2;-1;1;1;1;1;1;1;1;1;1;1
177;598;1357744126376;3;101987;1748;4;1748;192;96;2;0;0;0;0;0;0;0;0;0
