count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;598;1357742015845;1;7513;6723;1;1353;4;2;683;2;1;0;1;0;1;0;1;0;1;0
2;598;1357742903001;1;7513;6723;13;1353;152;76;437;69;2;0;0;0;0;0;0;0;0;0
3;598;1357741855673;1;7513;6723;2;1353;3;1;533;1;11;2;11;2;2;0;3;0;2;0
4;598;1357741124954;1;7513;6723;1;1353;2;1;682;0;2;0;2;0;2;0;2;0;2;0
5;598;1357741621204;1;7513;6723;1;1353;4;2;694;2;1;0;1;0;1;0;1;0;1;0
6;598;1357740716829;1;7513;6723;70;1353;2;1;358;1;152;1;10;1;1;1;5;1;1;1
7;598;1357740921876;1;7513;6723;4;1353;192;96;553;116;165;75;165;75;165;75;165;75;165;75
8;598;1357741727845;1;7513;6723;24;1353;13;6;625;8;1;0;0;0;0;0;0;0;0;0
9;598;1357742870595;1;7513;6723;13;1353;7;-1;314;314;104;104;167;167;446;446;195;195;170;170
10;598;1357743601673;1;7513;6723;1;1353;4;-1;246;246;1;1;1;1;1;1;1;1;1;1
11;598;1357745752812;1;7513;6723;9;1353;148;74;182;30;3;0;1;0;1;0;1;0;1;0
12;598;1357745875343;1;7513;6723;60;1353;148;-1;435;435;82;82;0;0;0;0;0;0;0;0
13;598;1357747161328;1;7513;6723;6;1353;153;76;605;97;2;0;0;0;0;0;0;0;0;0
14;598;1357747287921;1;7513;6723;3;1353;150;75;806;128;1;0;1;0;1;0;1;0;1;0
15;598;1357743932220;1;7513;6723;1;1353;2;-1;105;105;1;1;1;1;1;1;1;1;1;1
16;598;1357741050267;1;7513;6723;3;1353;159;-1;82;82;0;0;0;0;0;0;0;0;0;0
17;598;1357746463078;1;7513;6723;12;1353;7;3;888;4;7;0;1;0;1;0;1;0;1;0
18;598;1357741082673;1;7513;6723;1;1353;5;2;197;0;1;0;1;0;1;0;1;0;1;0
19;598;1357747509359;1;7513;6723;19;1353;8;-1;534;534;9;9;1;1;447;447;1;1;9;9
20;598;1357740803361;1;7513;6723;4;1353;10;5;50;0;20;2;11;2;2;2;2;2;3;2
21;598;1357743015236;1;7513;6723;79;1353;148;-1;653;653;17;17;0;0;446;446;0;0;0;0
22;598;1357741462829;1;7513;6723;26;1353;151;-1;808;808;6;6;0;0;0;0;0;0;0;0
23;598;1357743408986;1;7513;6723;3;1353;157;78;756;117;0;0;0;0;0;0;0;0;0;0
24;598;1357746906343;1;7513;6723;12;1353;7;3;851;4;6;0;0;0;0;0;0;0;0;0
25;598;1357742924283;1;7513;6723;2;1353;150;-1;518;518;2;2;2;2;2;2;2;2;2;2
26;598;1357745982890;1;7513;6723;11;1353;5;2;504;2;8;1;2;1;2;1;2;1;2;1
27;598;1357746036171;1;7513;6723;7;1353;148;-1;842;842;2;2;1;1;1;1;1;1;1;1
28;598;1357743974923;1;7513;6723;7;1353;0;-1;826;826;5;5;0;0;0;0;0;0;0;0
29;598;1357742219814;1;7513;6723;6;1353;155;77;858;137;2;1;2;1;2;1;2;1;2;1
30;598;1357745240968;1;7513;6723;4;1353;149;74;290;40;1;1;1;1;1;1;1;1;1;1
31;598;1357747540578;1;7513;6723;23;1353;5;-1;564;564;7;7;2;2;2;2;2;2;2;2
32;598;1357742230673;1;7513;6723;1;1353;3;1;716;2;1;1;1;1;1;1;1;1;1;1
33;598;1357740727392;1;7513;6723;17;1353;1;0;273;0;63;0;3;0;1;0;1;0;1;0
34;598;1357746176593;1;7513;6723;15;1353;150;75;323;50;48;2;10;1;5;1;5;1;5;1
35;598;1357741297314;1;7513;6723;1;1353;1;0;524;0;3;0;1;0;1;0;1;0;1;0
36;598;1357745175828;1;7513;6723;1;1353;2;1;437;0;1;0;1;0;1;0;1;0;1;0
37;598;1357746674062;1;7513;6723;19;1353;8;4;279;3;4;1;1;1;1;1;1;1;1;1
38;598;1357741536908;1;7513;6723;21;1353;149;74;333;49;2;1;1;1;1;1;1;1;1;1
39;598;1357742135392;1;7513;6723;2;1353;3;1;843;1;1;0;0;0;0;0;0;0;0;0
40;598;1357746982515;1;7513;6723;15;1353;152;76;226;36;9;0;1;0;1;0;1;0;1;0
41;598;1357742487220;1;7513;6723;1;1353;2;1;653;0;2;0;2;0;2;0;2;0;2;0
42;598;1357743887720;1;7513;6723;1;1353;1;-1;535;535;0;0;0;0;0;0;0;0;0;0
43;598;1357745541406;1;7513;6723;78;1353;2;-1;328;328;126;126;163;163;447;447;180;180;191;191
44;598;1357747024640;1;7513;6723;8;1353;5;2;163;2;8;1;1;1;1;1;1;1;1;1
45;598;1357742913595;1;7513;6723;5;1353;149;-1;277;277;0;0;0;0;0;0;0;0;0;0
46;598;1357746726562;1;7513;6723;16;1353;152;76;96;17;12;0;1;0;1;0;1;0;1;0
47;598;1357741547251;1;7513;6723;4;1353;0;-1;3;3;2;2;1;1;1;1;1;1;1;1
48;598;1357746791093;1;7513;6723;8;1353;155;77;426;69;3;1;1;1;1;1;1;1;1;1
49;598;1357744104626;1;7513;6723;28;1353;0;-1;826;826;9;9;1;1;1;1;1;1;1;1
50;598;1357745710375;1;7513;6723;5;1353;0;-1;488;488;9;9;1;1;447;447;1;1;1;1
51;598;1357743898392;1;7513;6723;4;1353;29;14;784;20;2;1;1;1;1;1;1;1;1;1
52;598;1357743693689;1;7513;6723;3;1353;29;14;71;3;2;1;1;1;1;1;1;1;1;1
53;598;1357745477312;1;7513;6723;136;1353;147;73;397;67;92;7;0;0;0;0;0;0;0;0
54;598;1357744050564;1;7513;6723;56;1353;1;0;28;0;89;0;0;0;0;0;0;0;0;0
55;598;1357747190890;1;7513;6723;3;1353;1;0;674;0;2;0;0;0;0;0;0;0;0;0
56;598;1357740374251;1;7513;6723;2;1353;6;3;490;2;3;1;3;1;3;1;3;1;3;1
57;598;1357741632470;1;7513;6723;3;1353;3;1;288;0;3;0;0;0;0;0;0;0;0;0
58;598;1357743217892;1;7513;6723;1;1353;2;1;314;0;1;0;1;0;1;0;1;0;1;0
59;598;1357745906968;1;7513;6723;8;1353;151;75;611;95;11;2;4;0;0;0;0;0;4;0
60;598;1357742585251;2;7513;6723;4;1330;168;84;189;37;18;4;16;3;12;3;12;3;12;3
61;598;1357746494859;2;7513;6723;146;1330;0;-1;805;805;62;62;0;0;0;0;0;0;0;0
62;598;1357743164298;2;7513;6723;3;1330;157;-1;211;211;0;0;0;0;0;0;0;0;0;0
63;598;1357742080329;2;7513;6723;2;1330;19;9;879;15;0;0;0;0;0;0;0;0;0;0
64;598;1357745720953;2;7513;6723;47;1330;152;76;780;127;40;2;1;0;1;0;1;0;1;0
65;598;1357745066765;2;7513;6723;3;1330;158;79;539;96;0;0;0;0;0;0;0;0;0;0
66;598;1357745896812;2;7513;6723;2;1330;5;-1;802;802;1;1;1;1;1;1;1;1;1;1
67;598;1357740611704;2;7513;6723;4;1330;155;77;379;53;3;0;1;0;1;0;1;0;1;0
68;598;1357747434156;2;7513;6723;12;1330;176;88;571;99;5;0;0;0;0;0;0;0;0;0
69;598;1357742423064;2;7513;6723;2;1330;32;16;713;25;2;1;2;1;2;1;2;1;2;1
70;598;1357744147392;2;7513;6723;83;1330;3;1;750;2;103;0;0;0;0;0;0;0;0;0
71;598;1357745208937;2;7513;6723;2;1330;4;2;806;2;1;0;0;0;0;0;0;0;0;0
72;598;1357743844673;2;7513;6723;43;1330;152;76;152;15;227;51;41;11;15;9;17;9;15;9
73;598;1357740695501;2;7513;6723;1;1330;5;2;102;0;1;1;1;1;1;1;1;1;1;1
74;598;1357743047939;2;7513;6723;3;1330;159;-1;747;747;0;0;0;0;0;0;0;0;0;0
75;598;1357743112720;2;7513;6723;3;1330;0;-1;662;662;0;0;0;0;0;0;0;0;0;0
76;598;1357741973314;2;7513;6723;11;1330;159;79;416;66;16;4;4;1;3;1;3;1;3;1
77;598;1357743303439;2;7513;6723;6;1330;0;-1;165;165;4;4;0;0;446;446;4;4;4;4
78;598;1357747107406;2;7513;6723;30;1330;152;76;18;3;33;4;1;0;1;0;1;0;1;0
79;598;1357747328156;2;7513;6723;12;1330;159;79;425;62;9;2;4;1;3;1;3;1;3;1
80;598;1357740601033;2;7513;6723;1;1330;2;1;474;1;1;0;1;0;1;0;1;0;1;0
81;598;1357740534861;2;7513;6723;1;1330;1;0;43;0;2;0;0;0;0;0;0;0;0;0
82;598;1357742272361;2;7513;6723;8;1330;152;76;201;24;4;0;1;0;1;0;1;0;1;0
83;598;1357745011328;2;7513;6723;1;1330;3;1;711;1;1;0;1;0;1;0;1;0;1;0
84;598;1357743174595;2;7513;6723;4;1330;159;79;813;136;1;1;1;1;1;1;1;1;1;1
85;598;1357740459579;2;7513;6723;1;1330;2;-1;388;388;0;0;0;0;0;0;0;0;0;0
86;598;1357741039689;2;7513;6723;2;1330;4;2;452;0;1;0;1;0;1;0;1;0;1;0
87;598;1357742389939;2;7513;6723;3;1330;154;77;126;23;1;1;1;1;1;1;1;1;1;1
88;598;1357745812234;2;7513;6723;19;1330;1;0;162;0;3;0;0;0;0;0;0;0;0;0
89;598;1357743779845;2;7513;6723;2;1330;3;1;436;0;1;0;1;0;1;0;1;0;1;0
90;598;1357745613796;2;7513;6723;2;1330;7;3;268;1;3;0;0;0;0;0;0;0;0;0
91;598;1357740353173;2;7513;6723;12;1330;4;2;112;0;2;0;2;0;2;0;2;0;2;0
92;598;1357746696015;2;7513;6723;24;1330;12;6;622;9;1;0;0;0;0;0;0;0;0;0
93;598;1357743581095;2;7513;6723;2;1330;5;2;650;3;1;1;1;1;1;1;1;1;1;1
94;598;1357747140437;2;7513;6723;3;1330;183;91;133;24;7;5;7;5;7;5;7;5;7;5
95;598;1357742881986;2;7513;6723;3;1330;154;77;112;19;1;0;1;0;1;0;1;0;1;0
96;598;1357743463079;2;7513;6723;35;1330;1;0;307;0;18;0;1;0;1;0;1;0;1;0
97;598;1357741028611;2;7513;6723;3;1330;159;79;796;126;1;0;1;0;1;0;1;0;1;0
98;598;1357741264595;2;7513;6723;151;1330;152;76;342;41;69;4;1;0;1;0;1;0;1;0
99;598;1357742563267;2;7513;6723;3;1330;183;91;188;37;7;5;7;5;7;5;7;5;7;5
100;598;1357743725970;2;7513;6723;3;1330;31;15;660;19;2;1;1;1;1;1;1;1;1;1
101;598;1357747520015;2;7513;6723;22;1330;152;76;466;81;1;0;1;0;1;0;1;0;1;0
102;598;1357746642656;2;7513;6723;2;1330;0;-1;152;152;0;0;0;0;0;0;0;0;0;0
103;598;1357741866079;2;7513;6723;2;1330;7;3;405;3;11;4;11;4;4;2;6;4;4;2
104;598;1357743133486;2;7513;6723;18;1330;1;-1;213;213;7;7;51;51;446;446;184;184;6;6
105;598;1357740933298;2;7513;6723;13;1330;0;-1;455;455;5;5;2;2;447;447;56;56;6;6
106;598;1357746548156;2;7513;6723;12;1330;168;84;536;92;14;2;2;2;2;2;2;2;2;2
107;598;1357741221158;2;7513;6723;26;1330;152;76;471;62;20;3;1;1;1;1;1;1;1;1
108;598;1357741484689;2;7513;6723;3;1330;183;91;382;76;6;4;6;4;6;4;6;4;6;4
109;598;1357743344642;2;7513;6723;178;1330;151;-1;465;465;90;90;0;0;0;0;0;0;0;0
110;598;1357745762828;2;7513;6723;84;1330;0;-1;487;487;111;111;1;1;0;0;1;1;0;0
111;598;1357741178189;2;7513;6723;4;1330;0;-1;2;2;32;32;0;0;0;0;0;0;0;0
112;598;1357740684829;2;7513;6723;5;1330;156;78;9;2;3;0;2;0;1;0;1;0;2;0
113;598;1357742144173;2;7513;6723;25;1330;4;2;250;2;1;0;0;0;0;0;0;0;0;0
114;598;1357743377079;2;7513;6723;3;1330;185;92;717;139;1;1;1;1;1;1;1;1;1;1
115;598;1357741451970;2;7513;6723;4;1330;0;-1;64;64;11;11;0;0;0;0;0;0;0;0
116;598;1357745823000;2;7513;6723;10;1330;17;8;513;8;9;1;4;1;3;1;3;1;3;1
117;598;1357741114095;2;7513;6723;9;1330;157;78;776;124;29;5;12;3;3;2;3;2;3;2
118;598;1357743997439;2;7513;6723;60;1330;1;0;64;0;35;0;0;0;0;0;0;0;0;0
119;598;1357743737579;3;7513;6723;3;1352;0;-1;800;800;1;1;1;1;447;447;1;1;1;1
120;598;1357745164890;3;7513;6723;19;1352;0;-1;858;858;11;11;1;1;1;1;1;1;1;1
121;598;1357742860189;3;7513;6723;6;1352;157;78;442;65;0;0;0;0;0;0;0;0;0;0
122;598;1357742935111;3;7513;6723;1;1352;2;1;460;0;1;0;1;0;1;0;1;0;1;0
123;598;1357743866470;3;7513;6723;33;1352;152;76;172;21;37;1;2;0;0;0;0;0;2;0
124;598;1357742692814;3;7513;6723;6;1352;153;-1;801;801;5;5;0;0;0;0;0;0;0;0
125;598;1357741199704;3;7513;6723;3;1352;170;85;172;22;2;2;2;2;2;2;2;2;2;2
126;598;1357743069314;3;7513;6723;1;1352;21;10;629;13;1;0;0;0;0;0;0;0;0;0
127;598;1357743228689;3;7513;6723;23;1352;150;-1;629;629;0;0;0;0;0;0;0;0;0;0
128;598;1357741674486;3;7513;6723;4;1352;181;90;82;12;1;1;1;1;1;1;1;1;1;1
129;598;1357740395158;3;7513;6723;5;1352;153;76;619;95;5;1;2;1;2;1;2;1;2;1
130;598;1357745572500;3;7513;6723;16;1352;153;76;758;118;3;0;1;0;1;0;1;0;1;0
