count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;598;1357741328704;1;82292;1566;94;1566;153;76;78;8;2;1;1;1;1;1;1;1;1;1
2;598;1357746864953;1;82292;1566;9;1566;158;79;344;48;5;0;3;0;2;0;2;0;3;0
3;598;1357743725970;1;82292;1566;5;1566;34;17;332;3;2;0;1;0;1;0;1;0;1;0
4;598;1357741286611;1;82292;1566;17;1566;36;18;496;11;6;0;0;0;0;0;0;0;0;0
5;598;1357741609845;1;82292;1566;1;1566;0;-1;659;659;1;1;0;0;0;0;0;0;0;0
6;598;1357742860189;1;82292;1566;10;1566;157;78;518;62;0;0;0;0;0;0;0;0;0;0
7;598;1357740534861;1;82292;1566;2;1566;18;9;81;0;2;0;0;0;0;0;0;0;0;0
8;598;1357746843515;1;82292;1566;3;1566;180;90;44;9;0;0;0;0;0;0;0;0;0;0
9;598;1357741973314;1;82292;1566;11;1566;157;78;426;50;16;3;4;1;3;1;3;1;3;1
10;598;1357743420423;1;82292;1566;1;1566;4;2;326;1;0;0;0;0;0;0;0;0;0;0
11;598;1357745487671;1;82292;1566;5;1566;0;-1;703;703;6;6;0;0;0;0;0;0;0;0
12;598;1357747140437;1;82292;1566;3;1566;182;-1;643;643;7;7;7;7;7;7;7;7;7;7
13;598;1357741178189;1;82292;1566;5;1566;0;-1;213;213;32;32;0;0;0;0;0;0;0;0
14;598;1357741297314;1;82292;1566;1;1566;18;9;430;3;3;0;1;0;1;0;1;0;1;0
15;598;1357746611390;1;82292;1566;37;1566;154;77;396;58;11;0;0;0;0;0;0;0;0;0
16;598;1357743758658;1;82292;1566;2;1566;5;2;232;1;2;2;2;2;2;2;2;2;2;2
17;598;1357747066406;1;82292;1566;3;1566;0;-1;459;459;1;1;0;0;0;0;0;0;0;0
18;598;1357742650673;1;82292;1566;4;1566;36;18;499;5;2;0;2;0;0;0;0;0;2;0
19;598;1357747076453;1;82292;1566;67;1566;152;-1;133;133;11;11;0;0;0;0;0;0;0;0
20;598;1357741093501;1;82292;1566;3;1566;182;-1;7;7;2;2;2;2;2;2;2;2;2;2
