count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;599;1357748229644;8906;10;11;5;1;0;0;0;0;0;0;0;0;0
2;599;1357746643555;8906;6;12;6;1;0;0;0;0;0;0;0;0;0
3;599;1357748174723;8906;6;2;1;2;1;0;0;0;0;0;0;0;0
4;599;1357752311697;8906;12;55;27;7;0;2;0;0;0;0;0;0;0
5;599;1357753573924;8906;5;4;2;2;1;1;1;1;1;1;1;1;1
6;599;1357751420361;8906;25;455;227;1;0;0;0;0;0;0;0;0;0
7;599;1357752257962;8906;3;3;1;1;0;0;0;0;0;0;0;0;0
8;599;1357748804829;8906;3;2;1;0;0;0;0;0;0;0;0;0;0
9;599;1357752217277;8906;4;0;-1;2;2;2;2;1037;1037;2;2;2;2
10;599;1357745785028;8906;3;3;1;0;0;0;0;0;0;0;0;0;0
11;599;1357747832408;8906;4;2;1;1;1;1;1;1;1;1;1;1;1
12;599;1357752094584;8906;4;38;19;1;0;0;0;0;0;0;0;0;0
13;599;1357749529232;8906;3;3;1;0;0;0;0;0;0;0;0;0;0
14;599;1357753009962;8906;3;2;1;0;0;0;0;0;0;0;0;0;0
15;599;1357745799797;8906;59;159;79;21;13;10;10;10;10;10;10;10;10
16;599;1357750918391;8906;2;47;23;0;0;0;0;0;0;0;0;0;0
17;599;1357752014316;8906;2;156;78;0;0;0;0;0;0;0;0;0;0
18;599;1357746005906;8906;3;2;1;1;1;1;1;1;1;1;1;1;1
19;599;1357752611644;8906;2;4;2;0;0;0;0;0;0;0;0;0;0
20;599;1357752337733;8906;2;1;0;1;0;1;0;0;0;0;0;1;0
21;599;1357751879219;8906;2;5;2;1;1;1;1;1;1;1;1;1;1
22;599;1357746319495;8906;4;31;15;11;4;3;2;3;2;3;2;3;2
23;599;1357751069950;8906;75;455;227;25;4;2;2;2;2;2;2;2;2
24;599;1357753890699;8906;2;55;27;1;0;0;0;0;0;0;0;0;0
25;599;1357752584189;8906;25;40;20;21;2;0;0;0;0;0;0;0;0
26;599;1357751906915;8906;3;231;115;3;3;3;3;3;3;3;3;3;3
27;599;1357751327277;8906;2;4;2;0;0;0;0;0;0;0;0;0;0
28;599;1357752068170;8906;12;45;22;36;0;1;0;0;0;0;0;1;0
29;599;1357752954779;8906;1;2;1;0;0;0;0;0;0;0;0;0;0
30;599;1357747695403;8906;2;6;3;1;0;0;0;0;0;0;0;0;0
31;599;1357751056643;8906;19;460;230;1;0;0;0;0;0;0;0;0;0
32;599;1357753519180;8906;1;2;1;0;0;0;0;0;0;0;0;0;0
33;599;1357747818341;8906;2;40;20;1;0;0;0;0;0;0;0;0;0
34;599;1357750644488;8906;96;455;227;39;8;1;1;1;1;1;1;1;1
35;599;1357749435184;8906;2;22;11;0;0;0;0;0;0;0;0;0;0
36;599;1357750795327;8906;2;6;3;1;1;1;1;1;1;1;1;1;1
37;599;1357752598599;8906;1;14;7;1;1;1;1;1;1;1;1;1;1
38;599;1357748872894;8906;2;2;1;0;0;0;0;0;0;0;0;0;0
39;599;1357751340223;8906;2;1;0;1;0;0;0;0;0;0;0;0;0
40;599;1357749312004;8906;1;3;1;0;0;0;0;0;0;0;0;0;0
41;599;1357746239005;8906;1;17;8;0;0;0;0;0;0;0;0;0;0
42;599;1357747900754;8906;2;102;51;1;1;1;1;1;1;1;1;1;1
43;599;1357748997885;8906;1;3;1;1;1;1;1;1;1;1;1;1;1
44;599;1357747326795;8906;280;79;39;26;5;0;0;0;0;0;0;0;0
45;599;1357746212919;8906;2;16;8;0;0;0;0;0;0;0;0;0;0
46;599;1357752913099;8906;2;6;3;2;0;0;0;0;0;0;0;0;0
47;599;1357746185666;8906;1;25;12;1;1;1;1;1;1;1;1;1;1
48;599;1357753089626;8906;1;20;10;1;1;1;1;1;1;1;1;1;1
49;599;1357747503800;8906;1;2;1;0;0;0;0;0;0;0;0;0;0
50;599;1357746629260;8906;2;22;11;4;2;1;1;1;1;1;1;1;1
51;599;1357746985283;8906;2;5;2;0;0;0;0;1037;2;0;0;0;0
52;599;1357753076551;8906;2;1;0;1;0;0;0;0;0;0;0;0;0
