count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;599;1357749569402;1;18104;1975;6;1975;0;-1;1035;1035;1035;1035;1037;1037;1035;1035;1035;1035
2;599;1357753863015;1;18104;1975;4;1975;1;0;4;0;0;0;0;0;0;0;0;0
3;599;1357751782357;1;18104;1975;2;1975;2;-1;6;6;6;6;6;6;6;6;6;6
4;599;1357747996325;1;18104;1975;1;1975;9;4;1;1;1;1;1;1;1;1;1;1
5;599;1357752135116;1;18104;1975;1;1975;5;2;1;1;1;1;1;1;1;1;1;1
6;599;1357751697854;1;18104;1975;2;1975;1;-1;0;0;0;0;0;0;0;0;0;0
7;599;1357752940752;1;18104;1975;1;1975;0;-1;1;1;0;0;0;0;0;0;0;0
8;599;1357749897218;1;18104;1975;2;1975;2;1;4;0;2;0;2;0;2;0;2;0
9;599;1357747190168;1;18104;1975;2;1975;6;3;2;1;2;1;1;1;1;1;2;1
10;599;1357753546521;1;18104;1975;3;1975;2;1;17;0;0;0;0;0;0;0;0;0
11;599;1357753697941;1;18104;1975;2;1975;7;-1;4;4;1;1;1;1;1;1;1;1
12;599;1357750877071;1;18104;1975;1;1975;1;-1;0;0;0;0;0;0;0;0;0;0
13;599;1357749966174;1;18104;1975;1;1975;1;-1;0;0;0;0;0;0;0;0;0;0
14;599;1357750726453;1;18104;1975;1;1975;2;1;0;0;0;0;0;0;0;0;0;0
15;599;1357746494003;1;18104;1975;2;1975;25;12;0;0;0;0;0;0;0;0;0;0
16;599;1357753684614;1;18104;1975;1;1975;1;-1;0;0;0;0;0;0;0;0;0;0
17;599;1357749719039;1;18104;1975;2;1975;6;3;0;0;0;0;0;0;0;0;0;0
18;599;1357752324726;1;18104;1975;1;1975;3;-1;6;6;6;6;6;6;6;6;6;6
19;599;1357752900087;1;18104;1975;1;1975;1;-1;0;0;0;0;0;0;0;0;0;0
20;599;1357748695804;1;18104;1975;1;1975;2;1;0;0;0;0;0;0;0;0;0;0
21;599;1357748777087;1;18104;1975;1;1975;0;-1;1;1;0;0;0;0;0;0;0;0
22;599;1357750326490;1;18104;1975;1;1975;1;-1;0;0;0;0;0;0;0;0;0;0
23;599;1357752392044;1;18104;1975;2;1975;1;0;1;0;0;0;0;0;0;0;0;0
24;599;1357752857866;1;18104;1975;2;1975;12;-1;3;3;3;3;3;3;3;3;3;3
25;599;1357747396267;1;18104;1975;3;1975;10;-1;7;7;1;1;1;1;1;1;1;1
26;599;1357752788697;1;18104;1975;1;1975;2;1;0;0;0;0;0;0;0;0;0;0
27;599;1357748669064;1;18104;1975;2;1975;1;-1;1;1;1;1;1;1;1;1;1;1
28;599;1357748147029;1;18104;1975;2;1975;9;4;1;1;1;1;1;1;1;1;1;1
29;599;1357748024225;1;18104;1975;1;1975;1;-1;0;0;0;0;0;0;0;0;0;0
30;599;1357753229379;1;18104;1975;2;1975;9;4;17;6;17;6;16;6;16;6;16;6
31;599;1357750602686;1;18104;1975;1;1975;0;-1;1;1;0;0;0;0;0;0;0;0
32;599;1357752983205;1;18104;1975;1;1975;1;0;1;0;0;0;0;0;0;0;0;0
33;599;1357751366289;1;18104;1975;1;1975;1;0;1;0;0;0;0;0;0;0;0;0
34;599;1357746562084;1;18104;1975;1;1975;7;3;3;1;2;1;2;1;2;1;2;1
35;599;1357749816091;1;18104;1975;1;1975;1;0;6;0;5;0;0;0;0;0;5;0
36;599;1357749529232;1;18104;1975;1;1975;1;-1;0;0;0;0;0;0;0;0;0;0
37;599;1357749829621;1;18104;1975;9;1975;1;-1;1;1;1;1;1;1;1;1;1;1
38;599;1357751244440;1;18104;1975;8;1975;7;3;10;1;3;1;3;1;3;1;3;1
39;599;1357749147198;1;18104;1975;2;1975;2;-1;1;1;1;1;1;1;1;1;1;1
40;599;1357747272315;1;18104;1975;2;1975;0;-1;4;4;0;0;0;0;0;0;0;0
41;599;1357753836141;1;18104;1975;1;1975;0;-1;0;0;0;0;0;0;0;0;0;0
42;599;1357751490393;1;18104;1975;1;1975;2;1;0;0;0;0;0;0;0;0;0;0
43;599;1357752706475;1;18104;1975;2;1975;0;-1;1;1;0;0;0;0;0;0;0;0
44;599;1357748817921;1;18104;1975;1;1975;10;5;9;3;8;3;8;3;8;3;8;3
45;599;1357750354179;1;18104;1975;2;1975;10;-1;0;0;0;0;0;0;0;0;0;0
46;599;1357749053739;1;18104;1975;2;1975;1;-1;1;1;1;1;1;1;1;1;1;1
47;599;1357750271556;1;18104;1975;4;1975;2;-1;20;20;13;13;1039;1039;10;10;15;15
48;599;1357752651651;1;18104;1975;2;1975;0;-1;1;1;0;0;0;0;0;0;0;0
49;599;1357748009979;1;18104;1975;7;1975;0;-1;4;4;0;0;0;0;0;0;0;0
50;599;1357745925221;1;18104;1975;1;1975;8;4;1;1;1;1;1;1;1;1;1;1
51;599;1357752584189;1;18104;1975;7;1975;9;4;21;2;0;0;0;0;0;0;0;0
52;599;1357749788423;1;18104;1975;2;1975;4;2;2;1;2;1;2;1;2;1;2;1
53;599;1357746763070;1;18104;1975;4;1975;7;-1;8;8;3;3;3;3;3;3;3;3
54;599;1357752489449;1;18104;1975;1;1975;0;-1;8;8;2;2;0;0;0;0;0;0
55;599;1357753009962;1;18104;1975;2;1975;1;-1;0;0;0;0;0;0;0;0;0;0
56;599;1357748872894;1;18104;1975;1;1975;1;-1;0;0;0;0;0;0;0;0;0;0
57;599;1357746549084;1;18104;1975;2;1975;7;3;3;1;2;1;2;1;2;1;2;1
58;599;1357750532920;1;18104;1975;1;1975;1;-1;0;0;0;0;0;0;0;0;0;0
59;599;1357748737147;1;18104;1975;1;1975;1;-1;0;0;0;0;0;0;0;0;0;0
60;599;1357752996967;2;18104;1958;1;1958;1;-1;0;0;0;0;0;0;0;0;0;0
61;599;1357753243928;2;18104;1958;1;1958;2;1;0;0;0;0;0;0;0;0;0;0
62;599;1357751504474;2;18104;1958;9;1958;0;-1;2;2;0;0;0;0;0;0;0;0
63;599;1357751463116;2;18104;1958;1;1958;1;-1;0;0;0;0;0;0;0;0;0;0
64;599;1357753117392;2;18104;1958;2;1958;0;-1;1;1;0;0;0;0;0;0;0;0
65;599;1357748174723;2;18104;1958;2;1958;0;-1;2;2;0;0;0;0;0;0;0;0
66;599;1357748450727;2;18104;1958;2;1958;3;1;0;0;0;0;0;0;0;0;0;0
67;599;1357749312004;2;18104;1958;2;1958;2;1;0;0;0;0;0;0;0;0;0;0
68;599;1357750630606;2;18104;1958;1;1958;1;0;1;0;0;0;0;0;0;0;0;0
69;599;1357753367265;2;18104;1958;2;1958;2;1;0;0;0;0;0;0;0;0;0;0
70;599;1357753285352;2;18104;1958;2;1958;9;4;1;0;0;0;0;0;0;0;0;0
71;599;1357751933102;2;18104;1958;1;1958;2;1;0;0;0;0;0;0;0;0;0;0
72;599;1357750396352;2;18104;1958;6;1958;0;-1;6;6;0;0;0;0;0;0;0;0
73;599;1357750119848;2;18104;1958;2;1958;1;-1;0;0;0;0;0;0;0;0;0;0
74;599;1357746576009;2;18104;1958;2;1958;10;5;6;3;4;2;4;2;4;2;4;2
75;599;1357752217277;2;18104;1958;2;1958;0;-1;2;2;2;2;1037;1037;2;2;2;2
76;599;1357752885291;2;18104;1958;2;1958;1;-1;0;0;0;0;0;0;0;0;0;0
77;599;1357753917950;2;18104;1958;3;1958;0;-1;8;8;0;0;0;0;0;0;0;0
