count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;599;1357751684201;1;16965;1779;4;1779;2;1;1725;0;0;0;0;0;0;0;0;0;0;0
2;599;1357752624626;1;16965;1779;4;1779;1;0;246;0;1;0;0;0;0;0;0;0;0;0
3;599;1357747490396;1;16965;1779;2;1779;1;0;7;0;2;0;0;0;0;0;0;0;0;0
4;599;1357751230692;1;16965;1779;3;1779;1;-1;433;433;13;13;1;1;1;1;1;1;1;1
5;599;1357750091591;1;16965;1779;2;1779;4;2;293;0;0;0;0;0;0;0;0;0;0;0
6;599;1357749256839;1;16965;1779;1;1779;6;-1;827;827;3;3;3;3;3;3;3;3;3;3
7;599;1357746888983;1;16965;1779;3;1779;0;-1;325;325;3;3;1;1;1;1;1;1;1;1
8;599;1357748859100;1;16965;1779;1;1779;2;1;810;0;0;0;0;0;0;0;0;0;0;0
9;599;1357748804829;1;16965;1779;1;1779;2;1;1710;0;0;0;0;0;0;0;0;0;0;0
10;599;1357749448106;1;16965;1779;2;1779;1;-1;41;41;0;0;0;0;0;0;0;0;0;0
11;599;1357750149629;1;16965;1779;3;1779;9;4;864;1;3;0;1;0;1;0;1;0;1;0
12;599;1357753573924;1;16965;1779;2;1779;0;-1;1964;1964;2;2;1;1;1;1;1;1;1;1
13;599;1357750006195;1;16965;1779;1;1779;0;-1;1652;1652;1;1;0;0;0;0;0;0;0;0
14;599;1357751150160;1;16965;1779;2;1779;2;1;1444;0;2;0;0;0;0;0;0;0;0;0
15;599;1357750367968;1;16965;1779;2;1779;0;-1;1222;1222;1;1;0;0;0;0;0;0;0;0
16;599;1357749993134;1;16965;1779;2;1779;5;2;75;0;2;1;2;1;2;1;2;1;2;1
17;599;1357750781719;1;16965;1779;1;1779;2;1;2018;1;1;0;0;0;0;0;0;0;0;0
18;599;1357747353388;1;16965;1779;13;1779;0;-1;782;782;35;35;7;7;0;0;0;0;0;0
19;599;1357752489449;1;16965;1779;2;1779;0;-1;748;748;8;8;2;2;0;0;0;0;0;0
20;599;1357751670727;1;16965;1779;2;1779;1;-1;451;451;0;0;0;0;0;0;0;0;0;0
21;599;1357750244500;1;16965;1779;8;1779;5;2;1482;4;9;0;0;0;0;0;0;0;0;0
22;599;1357753504415;1;16965;1779;2;1779;1;-1;1540;1540;0;0;0;0;0;0;0;0;0;0
23;599;1357750957949;1;16965;1779;1;1779;5;2;1521;1;3;3;3;3;3;3;3;3;3;3
24;599;1357753313256;1;16965;1779;1;1779;1;0;1506;0;1;0;1;0;0;0;0;0;1;0
25;599;1357751110809;1;16965;1779;2;1779;0;-1;301;301;5;5;0;0;0;0;0;0;0;0
26;599;1357747845909;1;16965;1779;1;1779;3;1;14;0;1;1;0;0;0;0;0;0;0;0
27;599;1357751026878;1;16965;1779;1;1779;1;-1;418;418;0;0;0;0;0;0;0;0;0;0
28;599;1357753519180;1;16965;1779;2;1779;2;1;1953;0;0;0;0;0;0;0;0;0;0;0
29;599;1357751490393;1;16965;1779;2;1779;2;1;64;0;0;0;0;0;0;0;0;0;0;0
30;599;1357746103388;1;16965;1779;2;1779;1;-1;1465;1465;0;0;0;0;0;0;0;0;0;0
31;599;1357750713082;1;16965;1779;2;1779;2;-1;1824;1824;1;1;1;1;1;1;1;1;1;1
32;599;1357750658126;1;16965;1779;2;1779;6;-1;258;258;3;3;3;3;3;3;3;3;3;3
33;599;1357747135164;1;16965;1779;2;1779;0;-1;1474;1474;1;1;0;0;0;0;0;0;0;0
34;599;1357749298772;1;16965;1779;2;1779;3;1;1679;2;2;0;0;0;0;0;0;0;0;0
35;599;1357745965343;1;16965;1779;1;1779;1;-1;1910;1910;0;0;0;0;0;0;0;0;0;0
36;599;1357747750551;1;16965;1779;2;1779;0;-1;571;571;1;1;0;0;0;0;0;0;0;0
37;599;1357746669428;1;16965;1779;14;1779;26;13;1021;11;1;1;1;1;1;1;1;1;1;1
38;599;1357752392044;1;16965;1779;1;1779;1;0;415;0;1;0;0;0;0;0;0;0;0;0
39;599;1357752871215;1;16965;1779;2;1779;2;1;1971;0;0;0;0;0;0;0;0;0;0;0
40;599;1357749938612;1;16965;1779;2;1779;1;-1;1877;1877;1;1;1;1;1;1;1;1;1;1
41;599;1357752244860;1;16965;1779;2;1779;2;1;1390;0;0;0;0;0;0;0;0;0;0;0
42;599;1357747451226;1;16965;1779;2;1779;1;0;321;0;0;0;0;0;0;0;0;0;0;0
43;599;1357746426866;1;16965;1779;1;1779;1;0;1729;0;1;0;0;0;0;0;0;0;0;0
44;599;1357751727355;1;16965;1779;2;1779;0;-1;1205;1205;1;1;0;0;0;0;0;0;0;0
45;599;1357747052530;1;16965;1779;1;1779;1;-1;40;40;0;0;0;0;0;0;0;0;0;0
